,AC093525.8,AC131649.2,AC005921.3,AC099811.6,Diagnosis
RNA94_FPKM,9.772133744,0.0,1.046216606,2.88984701,1
RNA95_FPKM,21.04247996,0.255920263,0.603617946,0.842168055,0
RNA97_FPKM,13.75453308,0.021543333,0.222293941,0.175148083,0
RNA98_FPKM,23.31359937,0.089784239,0.324252169,0.425803673,1
R_JS001_FPKM,43.47692901,0.524079722,1.557420124,0.284080728,1
R_JS002_FPKM,41.36427449,0.87043072,1.646633938,1.022202582,1
R_JS003_FPKM,51.51257736,0.216292556,0.520773312,0.683872646,1
R_JS004_FPKM,39.59726335,0.408498855,0.989642058,0.673860952,1
R_JS005_FPKM,59.69100052,0.538951516,0.843769878,1.611652779,1
R_JS006_FPKM,40.15778951,0.187647429,0.890645858,0.813642916,1
R_JS007_FPKM,33.71904285,0.102455687,0.528552214,0.786674923,1
R_JS008_FPKM,49.60567179,0.386522266,1.0768089,1.309308752,1
R_JS009_FPKM,44.6885785,0.268152669,1.106724731,0.726697007,1
R_JS010_FPKM,52.57895435,0.152118354,0.47085607,0.783244168,1
R_JS011_FPKM,41.74035197,0.185209762,1.24856767,1.238081244,1
R_JS012_FPKM,46.75315155,0.625258935,1.798620226,1.026931793,1
R_JS013_FPKM,72.92460442,0.356542762,0.674482956,0.483117619,1
R_JS014_FPKM,55.70030252,0.246580162,1.314568788,0.668235251,1
R_JS015_FPKM,80.96579174,0.251660403,1.142541221,0.909313008,1
R_JS016_FPKM,58.36558078,0.252293661,1.073886415,0.811923827,1
R_JS017_FPKM,53.50829801,0.241697892,0.819458944,0.935708195,1
R_JS018_FPKM,42.92082182,0.656525294,1.155592144,1.30823443,1
R_JS019_FPKM,35.7553997,0.11259711,0.890762836,0.712028696,1
R_JS020_FPKM,46.08976378,0.440429981,0.950236083,1.4106381,1
R_JS021_FPKM,68.82735645,0.088627036,0.438931808,0.720499328,1
R_JS022_FPKM,54.92078126,0.453015061,1.341341725,0.747290631,1
R_JS023_FPKM,47.45212463,0.548940702,1.09510354,0.545473383,1
R_JS024_FPKM,55.11421712,0.181551829,1.082337067,1.31198691,1
R_JS025_FPKM,66.04402155,0.205448008,0.886549229,1.012333292,1
R_JS026_FPKM,43.94692966,0.125172343,0.996355618,1.066128992,1
R_JS027_FPKM,54.45048635,0.182283313,0.318300964,0.911978633,1
R_JS028_FPKM,52.96572308,0.136282793,0.66791711,0.692459985,1
R_JS029_FPKM,51.06089572,0.479719207,0.353571209,0.650045522,1
R_JS030_FPKM,55.47627616,0.324963468,0.521604912,0.538196985,1
R_JS031_FPKM,40.70711153,0.341850247,0.954448686,1.525885605,1
R_JS032_FPKM,54.34600995,0.061885227,0.478906331,0.209619179,1
R_JS033_FPKM,51.10696356,0.288249573,0.237959301,0.260386621,1
R_JS034_FPKM,52.54307474,0.450243533,0.966336465,1.17140197,1
R_JS035_FPKM,37.92608056,0.227560846,0.505751789,0.99621987,1
R_JS036_FPKM,47.78140675,0.466493786,1.626643548,0.56670709,1
R_JS037_FPKM,35.77057541,0.836577466,0.926361074,0.718852388,1
R_JS038_FPKM,55.34549434,0.115929022,0.917054861,0.890145682,1
R_JS039_FPKM,38.01664962,0.296932505,0.865103512,0.710032652,1
R_JS040_FPKM,34.31213188,0.380829144,0.299418874,1.032051631,1
R_JS041_FPKM,45.2041277,0.46865379,0.851121631,0.508011887,1
