,FAH,SALL4,CIRH1A,LRRIQ1,NCCRP1,STAC2,PDP2,FAM47C,ZNF737,MAX,CSTA,MMS19,C2orf91,VENTX,C3orf30,SH3BP5L,NCAM2,PIK3R3,CNNM1,DHCR7,RP4-758J18.2,HECW2,ORM2,TACC1,SYNDIG1,NOXRED1,KCTD17,COL25A1,OR6Y1,DEFB110,RAB20,MAP3K7CL,DUOX1,MMP2,SERPINB2,NXPH1,SIPA1L2,AASDH,TOR1B,PLEKHM3,GLTP,ADAM11,BLID,RP11-178C3.1,SYCP1,MKNK1,TOPBP1,TNFRSF12A,LRRC3C,DCLRE1B,TCFL5,PEX5L,CEBPZ,RBFOX3,ART1,NUS1,CCDC50,DPEP2,LINC00346,NXF1,KIAA1755,TYRO3,LPAR4,TMEM255A,FAM163A,FAM200A,CD5,ARL3,PCP4L1,AC009060.1,PRICKLE1,DBH,TUBB4A,HOMER2,ITGB5,RRAGD,AVPI1,WRB,ST8SIA5,FRG2C,KEL,GLIS3,TCF20,AP3S1,RP11-480I12.4,CTB-129P6.11,UBE3C,OR10J5,RP11-286N22.8,TIMM21,ISOC2,RING1,RMDN1,TMSB4Y,MPHOSPH6,RP11-162A12.2,FSD1,GAGE2C,MRPL14,RP11-257K9.8,SERTAD3,RP11-552I14.1,SLCO1B3,TRAPPC3L,KRT35,CDKAL1,CD53,PQLC2,POU2F3,C19orf18,SMC3,COL4A6,ZNF626,GSTA4,PPFIBP1,ZNF570,OR1J4,CCDC11,HMGB3,PPP1R1A,POR,AKR1B10,B3GALT5,SBK3,LILRB4,STRA6,ZNF619,TXNDC15,LIMS3,NBPF9,C16orf47,TOMM7,AC016586.1,UBAP2L,OR13C2,AL133318.1,EFTUD2,GLT8D2,RNF181,HOXA3,AC008132.1,VILL,OR2A2,NOP10,UTS2R,HKDC1,GABARAPL3,TMEM114,RP11-794P6.2,SRGAP1,RNF187,METTL17,SWSAP1,SLC26A2,HIST1H1B,PRPSAP2,COL3A1,CCDC7,ZBTB26,NMNAT3,FUOM,OSBP,KLRG1,SLC27A6,ARHGEF39,HCAR1,PCDHB14,DNAJC28,WDR5B,FLJ00325,EBLN1,SCN1A,XPNPEP3,NOX1,GDF9,CHST8,RP11-58C22.1,SUN5,MLX,ASPH,DYNAP,RNF151,FAM208A,C3orf36,TRMU,EMC7,CCDC113,SFRP2,PEA15,ARID3A,NFE2L1,OR5AN1,ASS1,FAM71F1,TCTEX1D4,FBXL16,DEDD,MED25,CYP7B1,SIDT2,Diagnosis
SEQ12137,7.795951307,7.021036295,7.772391954,7.02923445,5.760976219,6.39911153,6.936134332,5.060442088,6.019352649,8.470373899,6.464551739,7.568085236,6.777821992,5.655647026,5.709935266,6.891536778,8.712712091,8.677999902,7.758063821,7.347881776,5.1974179,9.559355862,5.760976219,9.37249469,8.035922623,7.161410201,6.39911153,10.16387871,5.389288692,5.060442088,8.426161133,8.408084892,6.918477064,7.87321761,6.807201612,7.429321273,8.237581338,7.139012176,6.451746896,9.629609153,7.562572882,6.797482724,4.727253356,6.144204885,6.987727284,8.408084892,7.748429624,5.134874843,5.940624446,6.807201612,7.176137925,7.643046075,6.344026129,9.466785592,7.061530868,7.176137925,7.404773566,5.347197824,5.566717587,6.438804016,7.441432804,7.037382333,5.501078352,7.205119828,7.219381089,6.300935229,7.500443991,7.767632178,7.176137925,5.428695771,8.680507465,6.767877613,5.735829615,9.781704057,9.796757274,7.762856171,6.315477914,7.632581564,7.975544234,5.30183162,6.489760564,9.591594106,9.900087845,8.039857566,6.489760564,5.534633457,9.424148142,5.347197824,7.367109239,6.209555537,6.177364707,5.855080701,5.940624446,4.727253356,6.514455734,7.459402727,7.045480603,6.329839811,6.953557419,6.438804016,5.91993456,5.501078352,5.501078352,6.538660604,5.347197824,11.36382272,6.663919578,7.616735806,7.823709828,5.809236789,7.453438751,7.658596908,6.477221889,6.300935229,9.462432967,5.877189345,4.727253356,6.477221889,6.056556117,6.177364707,8.932555627,6.056556117,7.190706599,5.566717587,6.37189165,6.797482724,5.980754912,6.835926875,7.805265305,7.347881776,7.240495354,6.177364707,5.940624446,7.709215341,4.727253356,5.060442088,7.643046075,7.557038534,5.428695771,7.500443991,7.423225303,6.996133399,4.963114555,5.428695771,5.389288692,7.616735806,5.134874843,5.389288692,5.627100102,9.522203096,6.160910326,5.980754912,5.30183162,6.797482724,4.727253356,8.83474112,6.256166349,7.398567518,6.550586007,8.734590541,5.428695771,7.523360183,7.219381089,8.244400586,6.489760564,8.685509445,4.963114555,5.877189345,5.785429308,4.727253356,5.1974179,7.447448855,8.163929497,6.256166349,5.855080701,7.979650783,6.074672746,6.674707633,6.19357697,9.310866336,5.501078352,5.1974179,8.004042313,5.30183162,7.328380285,6.438804016,7.226455785,5.501078352,6.425719609,8.532837467,6.696010913,5.060442088,7.929565024,6.864028974,5.465850324,6.000236202,6.344026129,6.882431849,8.470373899,6.835926875,0
SEQ12116,7.828892926,6.833534083,7.916078697,6.923810714,5.772441652,6.440396686,7.116990098,5.137023374,6.030526151,8.268256405,6.410473275,7.624388655,6.689083363,5.609519051,5.609519051,6.875978441,8.675631163,8.611325394,7.65214093,7.398751811,5.460543427,9.260477111,5.925923327,9.101130399,8.025522473,6.969959674,6.97642235,9.49717667,5.185009104,5.304840464,8.401281907,8.33511364,7.139995118,7.765197909,6.535087612,7.217552192,8.587205326,7.151351616,6.631433822,9.601862014,7.750641549,6.854929598,5.228284085,6.248206079,6.774684987,8.154826799,7.663867587,5.563118285,5.910043017,6.440396686,7.336057303,7.454188023,6.459937643,9.775853458,6.868999921,6.995622828,7.702259378,5.017489783,5.538808329,6.535087612,7.54190043,7.033208407,5.487611503,7.244207198,7.116990098,6.248206079,7.422122298,7.702259378,7.093583617,5.43234558,8.258078777,6.956938548,6.138415413,9.771417179,9.566440575,7.628387293,6.282535415,7.516166015,7.485524683,5.267981522,6.358858357,9.809995263,9.87759458,7.954566433,6.099228471,5.460543427,9.38077974,5.304840464,7.612323326,6.379776332,6.525943742,5.860775841,5.82645034,4.727253356,6.605891149,7.481091348,7.069760395,6.001724703,6.943787419,6.3158638,5.877481123,5.910043017,5.43234558,6.410473275,5.339374749,11.01952326,6.553173249,7.546143392,7.746978685,5.987014364,7.398751811,7.656060788,6.369363929,6.400329191,9.478782531,5.734540622,5.017489783,6.400329191,6.138415413,6.138415413,9.260477111,5.808800346,7.045504209,5.714955465,6.440396686,6.789651209,6.001724703,7.122778412,7.445102321,7.238917949,6.875978441,6.337559733,6.163774001,7.706041121,4.932654237,5.017489783,7.750641549,7.249475914,5.371958862,7.111176696,7.027017602,7.201303724,5.082421097,5.460543427,5.609519051,7.698467368,5.371958862,5.753694648,5.487611503,9.291819675,6.390097471,6.001724703,5.694912554,6.622977569,5.137023374,8.835904167,5.972087507,7.311157969,6.410473275,8.295874935,5.694912554,7.624388655,7.105337974,7.79031313,6.488667023,8.444493357,4.727253356,5.772441652,5.694912554,4.727253356,5.017489783,7.168208718,8.270789466,6.085841158,5.893899421,7.998180182,6.400329191,6.896692665,6.212801161,9.181003889,5.586668057,5.487611503,8.067030641,5.339374749,7.587873978,6.369363929,7.290906164,5.538808329,6.588566771,8.936236422,6.76713593,4.727253356,8.508022467,6.614463643,5.808800346,6.3158638,6.200746234,7.063737595,8.771437712,7.222925294,1
SEQ12104,7.828542709,6.917484189,7.855849547,6.990628083,5.960732201,6.441302409,7.107325762,5.174960053,5.960732201,8.075742122,6.343238626,7.627238884,6.574843163,5.647302896,5.407563363,6.949330447,8.883678085,8.531106973,7.472436845,7.601527583,5.407563363,9.177159693,5.858654662,9.111463029,8.0849678,6.851367609,6.89581532,9.39888569,5.093290352,5.243538082,8.348552794,8.317669473,7.179827309,7.834046711,6.290942471,7.265299892,8.412037006,7.231755006,6.37684027,9.669059137,7.652483815,6.695337512,5.093290352,6.326067892,6.793577419,7.939830526,7.664936792,5.357916405,6.075249405,6.441302409,7.500632318,7.421663808,6.56070567,9.586125996,6.862622604,7.14406504,7.955034339,5.30371962,5.407563363,6.616312256,7.811900029,7.050254781,5.647302896,7.265299892,7.14406504,6.308638956,7.314115283,7.760753216,6.959776724,5.357916405,8.22911118,7.153095022,6.096716689,9.768912823,9.614831039,7.588491398,6.290942471,7.486606533,7.443653209,5.243538082,6.236145317,10.04440106,9.895151852,7.955034339,5.713085574,5.680841891,9.440474417,5.243538082,7.652483815,6.290942471,6.393287389,5.744158904,5.936193906,4.727253356,6.757616815,7.458120143,7.134974019,6.117760456,7.107325762,5.936193906,5.858654662,6.075249405,5.713085574,6.178542147,5.174960053,11.01383787,6.326067892,7.500632318,7.32208393,5.984683116,7.458120143,7.725587298,6.56070567,6.360159975,9.571555898,5.744158904,4.727253356,6.56070567,6.030956017,6.138400597,9.346577007,5.774167756,6.851367609,5.612319313,6.425511562,6.769716026,5.744158904,7.361244843,7.683410198,7.581927144,6.828560476,6.37684027,6.308638956,7.63991855,4.727253356,5.093290352,7.743280727,7.376600821,5.575710308,7.231755006,7.107325762,7.188621613,4.727253356,5.407563363,5.713085574,7.384214787,5.174960053,5.858654662,5.30371962,9.468712497,6.236145317,5.960732201,5.647302896,6.793577419,4.986426734,8.904535499,5.984683116,7.214666253,6.308638956,8.10777234,5.537253214,7.646215349,7.030675205,7.949984596,6.456887717,8.309842777,4.986426734,5.936193906,6.053337015,4.727253356,4.986426734,7.030675205,8.382514153,6.272968516,6.053337015,8.047698575,6.546404073,6.757616815,6.456887717,9.219345607,5.174960053,5.575710308,7.903703745,5.243538082,7.528264129,6.290942471,7.069550684,5.537253214,6.37684027,8.835608845,6.840014201,4.986426734,8.802642902,6.393287389,5.831342328,6.096716689,6.290942471,7.030675205,8.596773094,7.030675205,0
SEQ12115,7.722187321,6.790494921,7.870616222,6.976138076,5.737726436,6.686603211,6.886616061,5.102753473,6.345953268,8.392337749,6.588118608,7.590941501,6.543400929,5.737726436,5.59713011,7.080130717,8.625577286,8.808673462,7.584042859,7.391427127,5.256812988,9.50562944,6.345953268,9.144734344,8.308026803,7.109809294,6.602672268,9.732438179,4.993145661,5.318502145,8.328558401,8.519076045,7.039504745,7.957991676,7.195101306,7.080130717,8.547329392,7.240255811,6.8394464,9.512784088,7.89850795,6.898146378,4.727253356,6.398461166,6.943278117,8.244591431,7.765355995,5.472075845,6.085495087,6.713381413,7.09998937,7.597806055,6.327913587,9.693627025,6.909575869,7.283955743,7.415075026,5.256812988,5.424916508,6.558487769,7.624930257,6.986911986,5.516192521,7.119557796,7.231344517,6.272040124,7.445985922,7.783457026,7.008200052,5.704735585,8.55430625,6.602672268,6.272040124,9.561894668,9.491212522,7.957991676,6.398461166,7.527582999,7.549025783,5.256812988,6.448738005,9.648879092,9.887657235,8.035263658,6.309588855,5.424916508,9.35252087,5.472075845,7.527582999,6.345953268,6.448738005,5.704735585,5.96584319,4.727253356,6.909575869,7.483674148,7.231344517,6.363718105,6.700063065,6.363718105,5.940129604,5.318502145,5.374045695,6.448738005,5.516192521,11.01234526,6.8394464,7.684094156,7.584042859,5.913730157,7.334609502,7.651535879,6.700063065,6.345953268,9.474818917,5.886596463,5.186502926,6.327913587,6.015381387,5.737726436,9.167598901,5.913730157,7.148385642,5.769514458,6.886616061,6.802907957,5.704735585,6.943278117,7.715910153,7.176608758,6.8394464,6.085495087,6.213283542,7.56313885,4.993145661,4.727253356,7.881839357,7.513101075,5.472075845,7.556100271,7.129235976,7.461185023,5.102753473,5.858674094,5.186502926,7.777449294,5.318502145,5.670413536,5.516192521,9.299705473,6.192993501,6.172325046,5.990914167,6.874982959,4.727253356,8.752226995,6.213283542,7.422868092,6.345953268,8.468245889,5.55775432,7.56313885,7.231344517,8.282991237,6.512658553,8.934109754,5.102753473,5.80020842,5.634606956,4.727253356,5.102753473,7.292529766,8.13213242,6.107867023,5.829901465,7.684094156,6.290968218,6.686603211,6.381217713,9.305899512,5.59713011,5.55775432,7.942016257,5.374045695,7.275327389,6.543400929,6.8394464,5.59713011,6.272040124,9.093113184,6.765303386,4.993145661,7.870616222,6.726561526,5.769514458,6.062641511,6.290968218,7.342872088,8.113281638,6.99759881,1
SEQ12103,7.908983224,6.884559381,7.721864751,7.286525053,6.256973035,6.336543451,6.669983419,5.1147252,6.411012781,8.454627012,6.297447154,7.408897929,6.95666963,5.863565183,5.394432056,7.047062525,8.59820068,8.516847344,7.458176722,7.21132812,5.583644132,9.347857876,6.171387668,9.255431358,7.999452875,7.268112433,6.834174213,9.825841651,5.394432056,4.727253356,8.249792385,8.010364357,7.002637042,7.954943443,6.781749028,7.32262027,8.486076262,6.909039708,6.669983419,9.539165218,7.625172846,6.808227922,4.727253356,6.028929684,6.884559381,8.355889885,7.581586336,5.583644132,5.976793829,6.727092701,7.152056281,7.653489952,6.336543451,9.798052032,6.933070604,7.090053294,7.230521585,5.273599157,5.801496597,6.44656098,7.566748224,6.754712824,5.662741378,7.002637042,7.392071298,6.44656098,7.761339264,7.735147063,7.047062525,5.921814829,8.695464284,6.979853274,6.374367679,9.63306496,9.619011603,7.708455032,6.028929684,7.441945655,8.084473395,5.583644132,6.61016128,9.339306951,9.831944974,8.042602119,6.374367679,5.583644132,9.269004578,5.394432056,7.708455032,6.297447154,6.297447154,6.125973047,5.976793829,4.727253356,6.808227922,7.340316185,7.172104247,7.172104247,6.808227922,6.256973035,5.863565183,5.801496597,5.1147252,6.909039708,5.273599157,11.12808232,6.547318402,7.861472038,7.581586336,5.863565183,7.152056281,7.625172846,6.336543451,6.214999889,9.308971778,5.801496597,5.273599157,6.214999889,6.028929684,6.078563565,9.146878321,5.734885413,7.068731013,5.921814829,6.44656098,7.047062525,5.976793829,6.859610889,7.954943443,7.536587147,6.859610889,5.921814829,6.078563565,7.441945655,4.727253356,5.1147252,7.694915359,7.474218922,5.273599157,7.37503584,7.536587147,7.13170518,4.727253356,5.273599157,5.662741378,7.748304435,5.1147252,5.662741378,5.583644132,9.381561994,6.547318402,6.256973035,5.662741378,7.090053294,4.727253356,8.964137465,5.976793829,7.625172846,6.481085445,8.372828544,5.394432056,7.610795303,7.13170518,8.21259094,6.514651636,8.872160328,4.727253356,5.801496597,5.662741378,4.727253356,5.1147252,7.32262027,8.135128764,6.214999889,5.583644132,8.084473395,6.336543451,7.047062525,6.078563565,9.227894207,5.921814829,5.394432056,7.849339138,5.273599157,7.408897929,6.256973035,7.474218922,5.273599157,6.214999889,9.091911454,6.481085445,4.727253356,8.074121174,7.111041006,5.801496597,6.481085445,5.921814829,7.13170518,8.539498075,7.21132812,0
SEQ12119,7.646659,6.705136904,7.922260151,7.056678687,5.974775381,6.379824138,6.921499663,4.727253356,6.136191115,8.488303877,6.644801659,7.542719548,6.802337275,5.925959648,5.610870088,7.075818213,8.622152082,8.789955715,7.515470863,7.420553242,5.610870088,9.428812167,5.700886776,9.354079504,8.071739367,7.14374303,6.524374106,9.90519224,5.356868235,5.283486894,8.288620652,8.388261064,6.892715593,7.880512186,6.77872012,7.275582726,8.59252277,7.100918348,6.730139358,9.457182745,7.793102426,6.997550984,5.242675586,6.252343874,7.04376462,8.429603753,7.777989809,5.390352779,5.838743476,6.746538943,7.520049721,7.395765421,6.484814201,9.605002968,6.825529429,7.113294089,7.286463649,5.025884208,5.561735978,6.608976437,7.44006674,7.004252319,5.742509595,7.202649426,6.984045648,6.335074974,7.650825696,7.634083606,6.885419455,5.283486894,8.564448723,6.870703587,6.202214764,9.693089908,9.669044788,7.811766986,6.300346062,7.629866443,7.844750129,5.390352779,6.524374106,9.249785285,9.842090399,8.074819584,6.252343874,5.509162517,9.445429593,5.657114956,7.556145494,6.108619389,6.635941146,5.990532861,5.679287949,4.727253356,6.635941146,7.551684612,7.088427165,6.094563504,7.069468825,6.357663475,5.974775381,5.561735978,5.242675586,6.357663475,5.14883397,11.17375633,6.59985698,7.69182178,7.5108768,5.974775381,7.390753725,7.506267426,6.514603997,6.401575442,9.388865802,5.721949364,4.727253356,6.312038733,6.006049666,5.634325113,8.960136034,5.742509595,6.8999712,5.610870088,6.635941146,6.863282833,5.838743476,6.977240889,7.675567646,6.977240889,6.833168578,6.108619389,6.136191115,7.556145494,5.025884208,4.727253356,7.866316341,7.40075889,5.283486894,7.591325433,7.030724016,7.313291764,5.242675586,5.742509595,5.610870088,7.642479805,5.283486894,5.481361243,5.452395797,9.308080947,6.227559225,6.136191115,5.856836501,6.840762926,5.092675647,8.802936664,5.925959648,7.459307587,6.300346062,8.462772909,5.700886776,7.4106917,7.196873143,8.277995247,6.514603997,8.778734782,5.092675647,5.700886776,5.721949364,4.727253356,5.092675647,7.34480461,8.135057163,6.189322921,5.762597886,7.932506582,6.214958864,6.77872012,6.323614125,9.252487014,5.481361243,5.356868235,8.096195425,5.481361243,7.380675092,6.300346062,7.017554178,5.586694794,6.412303005,9.113738273,6.810114381,4.727253356,7.929099378,6.885419455,5.925959648,6.401575442,6.312038733,7.29187168,8.782484869,7.14374303,1
SEQ12101,7.970139729,6.911179469,7.829101318,6.996764584,6.055140834,6.70631606,7.142396393,5.123014486,5.916906285,8.296940013,6.461720772,7.445527921,6.819604535,5.682180774,5.462011594,6.936205664,8.753033729,8.691122032,7.559633621,7.590579799,5.350121671,9.28888421,5.946113482,9.327747608,8.215907383,7.008550231,6.630013773,9.984494113,5.211208691,5.007536019,8.395388279,8.319919998,6.996764584,7.835536655,6.691420439,7.384727528,8.369206676,7.273778715,6.614180415,9.387390814,7.707908525,6.77828583,5.211208691,6.105640495,7.054673398,8.310772497,7.643130874,5.350121671,6.080691555,6.819604535,7.357822795,7.590579799,6.287051252,9.81320249,6.898484788,7.020232011,7.437004968,5.408535169,5.823577988,6.514679669,7.428428927,7.08824694,5.601539666,7.1841982,7.043291728,6.34821125,7.721904303,7.672292908,6.960764007,5.350121671,8.531376834,6.996764584,6.34821125,9.785574783,9.697618304,7.672292908,6.34821125,7.672292908,8.02170258,5.211208691,6.514679669,9.286565077,9.908190152,7.841942638,6.461720772,5.408535169,9.367783328,5.211208691,7.567435095,6.105640495,6.244387872,5.974486031,5.974486031,4.727253356,6.80597831,7.264112437,7.008550231,6.58189636,6.960764007,6.406323526,5.601539666,5.755709409,5.462011594,6.614180415,5.557903251,11.13184478,6.80597831,7.657788154,7.650478786,5.790280054,7.254376936,7.575192948,6.002081534,6.406323526,9.251321467,5.511565588,4.727253356,6.130021303,6.222437344,5.974486031,9.049933231,6.130021303,7.043291728,5.682180774,6.514679669,7.065958675,5.886799273,6.885665608,7.816141469,7.453998466,6.83308858,5.790280054,6.265919657,7.707908525,4.727253356,5.007536019,7.885985104,7.411114781,5.462011594,7.462417273,7.142396393,7.163459395,5.007536019,5.557903251,5.682180774,7.735761351,5.511565588,5.855718226,5.511565588,9.363389564,6.130021303,6.105640495,5.601539666,6.691420439,4.727253356,8.841154492,6.105640495,7.311771876,6.461720772,8.483412782,5.511565588,7.273778715,7.283376803,8.176113398,6.598143283,8.736102905,5.123014486,5.886799273,5.642864424,4.727253356,5.211208691,7.384727528,8.220804105,6.244387872,6.028951206,8.02170258,6.514679669,6.996764584,6.287051252,9.163033874,5.511565588,5.408535169,8.004723311,5.285216747,7.321107042,6.461720772,7.131739907,5.557903251,6.244387872,9.085075529,6.80597831,4.727253356,7.975962827,6.948542129,5.719730342,6.265919657,6.461720772,7.194449309,8.433780285,6.948542129,0
SEQ12162,7.699156284,6.462177293,8.081770393,7.355412838,5.767675649,6.16986753,6.766300325,5.336505921,6.372671745,8.228558414,6.462177293,7.398114099,6.372671745,5.336505921,5.336505921,7.218662907,8.827061161,8.748537995,7.218662907,7.398114099,5.767675649,9.026475233,5.767675649,9.325518568,8.029254396,7.218662907,7.01171467,9.599964462,4.727253356,5.336505921,8.251612001,8.540386707,6.894765308,7.699156284,6.696908566,7.311336731,8.915939527,7.479731602,6.832125761,9.608860491,7.76523648,6.462177293,5.582696367,6.16986753,7.01171467,7.88872638,7.518797922,5.336505921,5.582696367,6.462177293,7.01171467,7.479731602,6.54548236,9.68654352,6.766300325,6.766300325,7.699156284,5.336505921,5.336505921,6.832125761,7.265789275,7.355412838,5.767675649,7.355412838,7.169837167,6.372671745,6.766300325,7.699156284,7.265789275,5.767675649,8.361585892,7.265789275,6.275776048,9.760248693,9.626489285,7.699156284,6.372671745,7.355412838,7.629793257,5.336505921,6.766300325,9.661112123,9.694921794,7.858856827,5.767675649,5.582696367,9.314678646,4.727253356,8.081770393,6.372671745,6.766300325,5.767675649,5.767675649,4.727253356,6.623490729,7.518797922,7.629793257,6.623490729,6.372671745,5.920526918,5.336505921,6.052627656,5.582696367,6.54548236,5.336505921,10.97207995,6.275776048,7.699156284,7.732586608,6.16986753,7.311336731,7.066527256,6.696908566,6.052627656,9.314678646,5.336505921,4.727253356,6.275776048,5.767675649,5.920526918,9.153653936,6.052627656,7.218662907,6.052627656,6.54548236,7.066527256,5.336505921,7.732586608,8.029254396,8.132407315,6.696908566,5.767675649,6.16986753,7.699156284,5.336505921,4.727253356,7.479731602,7.593771769,4.727253356,7.593771769,7.518797922,7.355412838,4.727253356,6.052627656,5.767675649,7.169837167,4.727253356,6.052627656,5.336505921,9.259218017,6.372671745,6.462177293,5.767675649,6.894765308,4.727253356,8.930231325,5.920526918,7.732586608,6.275776048,8.403301887,5.582696367,7.828338726,7.355412838,7.828338726,6.275776048,8.682463692,4.727253356,5.336505921,5.767675649,4.727253356,4.727253356,7.311336731,8.665457167,5.582696367,5.920526918,7.858856827,6.275776048,7.066527256,6.372671745,9.429647437,5.582696367,6.052627656,7.917975021,5.336505921,7.439527467,6.275776048,6.766300325,5.336505921,5.920526918,8.665457167,7.311336731,5.336505921,8.382596575,6.894765308,5.582696367,6.623490729,6.275776048,6.954538035,8.540386707,7.518797922,1
SEQ12163,7.753384125,6.962172788,7.87177331,7.212677419,5.561150391,6.542522555,6.580235335,4.727253356,6.079409657,8.359085171,6.463418714,7.798958778,6.720613543,5.320952271,5.320952271,6.816555173,9.096906842,8.511586037,7.257628838,7.068073267,5.320952271,9.349642983,5.891220542,9.42329911,8.019824861,7.093281816,6.503613778,9.766615093,4.727253356,5.561150391,8.276241147,8.286864337,6.847009872,7.673963785,6.652385841,7.813826922,8.493391576,7.257628838,6.93431725,9.743809744,7.572273694,6.75339914,5.320952271,6.287505607,6.847009872,8.165397653,7.51849337,5.320952271,6.188350288,6.962172788,7.235339362,7.673963785,6.503613778,9.277317333,7.142318484,7.235339362,7.589746825,5.451883572,5.451883572,6.421835311,7.404215374,7.016179484,5.656466633,7.093281816,6.905858097,6.616832468,7.462537837,7.607002902,7.257628838,4.727253356,8.511586037,7.166181616,5.819540223,9.697086004,9.704979348,7.813826922,6.287505607,7.589746825,7.624047437,5.148532081,6.287505607,9.656956796,9.822096766,8.176879648,6.239018696,5.656466633,9.529385822,5.148532081,7.51849337,6.079409657,6.421835311,6.020459388,6.287505607,5.320952271,6.720613543,7.27955856,6.9894518,6.239018696,6.876766143,6.580235335,6.020459388,5.957929725,5.656466633,6.652385841,5.148532081,11.2289058,6.75339914,7.690213176,7.589746825,5.891220542,7.257628838,7.443370224,6.68696008,6.135248692,9.701038085,5.819540223,5.148532081,6.287505607,5.656466633,6.239018696,9.293124928,5.891220542,7.235339362,5.891220542,6.503613778,6.580235335,6.135248692,7.142318484,7.657522877,7.690213176,7.257628838,6.135248692,6.079409657,7.813826922,4.727253356,4.727253356,8.006989624,7.481442685,5.741806182,7.166181616,7.343306581,7.212677419,4.727253356,5.656466633,5.320952271,7.607002902,5.320952271,5.656466633,5.451883572,9.359684506,6.378747464,5.891220542,5.561150391,6.720613543,4.727253356,8.918006817,6.020459388,7.51849337,6.463418714,8.590708642,5.561150391,7.51849337,7.118024206,8.297408759,6.463418714,8.502517796,5.320952271,5.741806182,5.656466633,4.727253356,5.320952271,7.481442685,8.465657421,5.891220542,5.741806182,7.783931317,6.463418714,6.68696008,6.378747464,9.408866569,5.451883572,5.320952271,8.082309048,5.320952271,7.27955856,6.68696008,7.142318484,5.148532081,6.33402213,8.736915936,6.962172788,4.727253356,7.96776869,7.016179484,4.727253356,6.239018696,6.239018696,7.257628838,8.590708642,6.816555173,0
SEQ12109,7.766952788,6.688995449,7.760329817,7.398480945,5.745769142,6.4638612,6.965835718,5.119055494,5.990014192,8.537145177,6.56540922,7.657026038,6.828223853,5.813038345,5.672900679,6.801560947,8.727249852,8.672474927,7.628136063,7.300265292,5.343946575,9.396711687,6.092721116,9.298636596,8.366172364,7.327758351,6.56540922,9.975248655,5.206382082,5.279668686,8.404574566,8.313303476,6.841351937,8.100657182,6.659223668,7.553171253,8.626372425,7.281623757,6.644069414,9.28958618,7.560852508,6.953905978,5.119055494,5.96265007,7.012505335,8.17183392,7.560852508,5.454769659,5.710111738,6.644069414,7.184374345,7.753675371,6.532489477,9.746583788,7.023920214,7.153781926,7.204390711,5.004723624,5.875710291,6.4638612,7.664155898,7.309491322,5.54976294,7.111879182,7.214288861,6.186374927,7.850320033,7.746989142,6.941867164,5.279668686,8.658447163,6.732379514,6.140557408,9.731637434,9.567361503,7.837812225,6.251733962,7.568491459,8.105861519,5.454769659,6.515692034,9.515932337,9.748234958,7.923116854,6.446077882,5.745769142,9.360442786,5.503857451,7.591159248,6.140557408,6.659223668,5.710111738,5.813038345,5.004723624,6.732379514,7.576088586,7.253173808,6.409698438,6.90507406,6.313521642,5.780033254,5.633941749,5.454769659,6.428026799,5.279668686,11.1307966,6.760501969,7.606068177,7.568491459,5.905558841,7.318655385,7.457509008,6.230368504,6.313521642,9.121215381,5.844898206,5.119055494,6.208588761,6.042633699,5.934517279,8.939167301,6.016660305,7.224115163,5.905558841,6.549059577,6.867216167,5.875710291,7.090426559,7.963906269,7.318655385,6.867216167,6.333400908,6.313521642,7.440900571,4.727253356,5.119055494,7.929016684,7.457509008,5.54976294,7.628136063,7.529868722,7.415606139,5.004723624,5.206382082,5.54976294,7.760329817,5.279668686,5.592995863,5.503857451,9.126310161,6.251733962,6.042633699,5.633941749,6.774334691,5.004723624,8.597244663,6.230368504,7.47391974,6.4638612,8.582455124,5.633941749,7.407070221,7.143428088,8.263051658,6.409698438,8.7961013,5.004723624,5.592995863,5.745769142,4.727253356,5.343946575,7.407070221,8.063681065,6.163705564,5.844898206,7.99233583,6.352945697,7.090426559,6.067975062,9.300890325,5.503857451,5.592995863,7.963906269,5.206382082,7.318655385,6.272703481,6.977658501,5.633941749,6.4638612,9.173830025,6.965835718,4.727253356,7.969638189,6.892576366,5.780033254,6.58154496,6.409698438,7.345784378,8.533303662,6.989376381,1
