,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,IGLV2-18,IGHV4-31,IGKV1-16,IGLV4-60,IGKV1-6,IGKV3-20,IGKV2-28,IGHV3-72,IGHV3-13,IGKV1D-33,IGKV1D-39,IGHV1-46,IGLV7-43,IGLV3-1,IGKV2-30,IGHV3-11,Diagnosis
RNA185_FPKM,2.725209195,0.665525257,0.393518284,17.5690403,12.52853573,2.973582692,19.07691339,1.530961048,0.125096068,0.765480524,2.936412908,9.105021553,5.767393123,0.443683504,3.344687036,32.74777624,1.493417044,0.0,1.035848393,0.432652699,0.618237936,7.243035954,1.405343731,1.269776686,0.364233202,1.639889138,10.82920092,0.83676955,6.508443126,11.21439758,2.610115093,2.3176639,1
RNA2_FPKM,11.87153107,0.453021097,2.008781869,19.3296492,12.59178799,1.214334909,9.512209998,2.009758194,0.0,0.558306693,1.399160098,6.507316489,8.606167804,1.019112512,3.414754196,29.27441871,2.831951848,0.0,1.903421782,0.441758142,0.420832756,6.395787364,2.049987651,0.432206614,2.045139258,2.825349939,7.016568199,0.488294496,3.1149163,4.41914513,1.844854958,3.380529318,0
RNA201_FPKM,3.773463645,1.658714769,0.490333057,4.781654612,10.24619566,6.093776459,7.740344829,4.542912935,0.0,2.089782133,2.92745996,4.538750824,8.846025038,0.645012531,1.634501014,17.41265643,2.481628594,0.0,1.893135283,0.179761694,1.369612053,4.553960077,1.334493795,1.670348267,0.302508892,1.703051637,5.017524258,0.496641257,1.858714642,9.153516127,1.000782343,3.988560509,1
RNA205_FPKM,6.915520609,0.469136096,0.832186141,14.25289416,16.97300994,3.144208789,11.49276717,0.0,0.0,0.346937937,2.069874666,5.96895842,4.45636604,0.82088145,2.080276047,35.5495343,3.384093928,0.386927668,1.533180697,4.116836163,1.089506855,6.830642907,1.910634219,3.132762916,1.155208797,2.60092908,10.78975216,0.632080313,9.247290985,5.616688535,4.245896752,2.97567055,0
RNA209_FPKM,5.428016211,0.0,1.741589246,13.40764504,19.71211668,2.632320661,8.836543861,1.210086186,0.138454434,0.484097963,1.299708326,8.463217008,5.154650585,0.490954874,2.394709007,24.1580065,5.19397376,3.239207482,1.604644991,0.478644169,0.912142477,4.765470925,3.55482257,1.170942529,1.007467103,1.134158994,9.217655216,0.132324391,1.800396155,2.830249088,2.221788389,5.495595459,0
RNA213_FPKM,28.03279901,1.333451961,1.77402717,91.35410307,52.17270383,5.958531271,27.55931837,2.629872136,0.0,4.492545605,1.765157034,47.25563155,22.00305,1.111209968,4.730932939,113.162149,11.97142002,0.366595438,2.07543449,0.21671664,4.129225302,19.41769162,5.230292711,2.014397555,2.189521453,3.491495664,17.94449734,2.156034759,13.44941659,20.89506687,12.47235818,16.58674011,0
RNA219_FPKM,4.541873293,0.231060834,1.229615194,27.6084663,11.62276598,3.510369791,13.86345557,2.278337278,0.0,0.113916864,0.611733559,5.500859912,5.776520861,0.693182503,3.074037986,19.55702584,2.666958296,0.381142404,0.6473371,0.450632456,0.643930062,4.078223728,1.045698392,0.992000366,1.517478596,1.921676102,12.79849825,0.373577746,3.389692449,9.221941452,1.045698392,2.414170494,0
RNA23_FPKM,20.02169277,0.679115944,1.003726513,11.591156,7.590512712,6.068339252,9.053981306,2.231749453,0.382951962,0.0,4.794083101,9.848254961,5.65867097,1.131680317,5.420505449,16.18815464,5.007508525,3.360227533,1.47971817,5.076673007,2.733405874,10.98649987,3.482819929,1.295698136,1.672299284,1.777879283,13.17510193,0.853944226,3.528051357,8.833318947,2.253689765,15.70994722,1
RNA246_FPKM,10.47514495,0.199851716,0.0,10.09709556,9.346908146,8.036576297,5.995179674,1.576300618,0.112695936,2.561603074,4.056162084,10.66357007,3.597144986,0.299777575,2.481410946,19.27481256,1.537644745,0.494492915,0.746536041,1.558882932,0.556955178,4.938007783,0.723565701,0.857923348,0.984385896,2.400664661,13.13299942,0.323119035,2.198717519,12.58431015,1.085348552,4.026755723,1
RNA253_FPKM,15.9971457,0.919050718,1.83421988,45.02877735,46.03249125,19.91931429,7.812770306,2.945611887,0.129528859,13.25478064,1.013986523,24.52294734,79.50615925,2.068043944,15.48932232,107.4994931,80.23059448,0.0,4.506293286,2.91306369,20.06523502,52.11619879,4.783675984,3.617328178,1.131813198,4.88385768,60.62020802,2.476784422,10.11304426,63.79108382,12.68709347,20.57877966,1
RNA26_FPKM,1.192707424,0.24270864,0.215266708,0.828589458,0.0,0.216901645,3.397920962,0.0,0.0,0.239318855,0.0,0.398493721,0.48541728,0.0,0.0,595.2789492,0.0,0.0,0.0,0.0,0.0,2.570284499,0.219682436,833.7285117,0.0,0.0,0.455724202,0.0,0.0,0.861066834,0.0,0.905667547,0
RNA277_FPKM,2.704885376,0.0,0.488322827,3.570376477,4.371899871,3.689323475,11.28427637,0.814182054,0.0,0.678389045,0.0,0.903725269,1.926569522,0.0,0.488322827,12.64087437,0.0,0.0,0.0,0.805185568,0.511453909,0.971504664,0.498339706,0.262638494,0.225871373,0.381514628,3.100546801,0.14828197,1.514167145,0.732354712,0.747377373,1.437799242,0
RNA288_FPKM,1.932201004,0.85793851,0.0,7.614569087,4.920806645,3.258262337,19.94528556,0.0,0.120912697,0.422978065,1.703489841,4.401468163,3.217084779,0.428969255,4.565175783,18.29328456,0.825210611,0.176848944,0.400483323,0.0,0.99616748,2.081946582,0.776544344,1.329947742,4.753723042,2.675524749,9.261960711,0.11555931,6.292357529,3.043523304,1.164705104,1.600607367,0
RNA29_FPKM,15.70920717,1.042386742,1.6641521,14.51952288,8.463335362,0.0,12.09190989,1.233393921,0.0,3.083595086,1.28786882,15.40344949,4.795202701,1.042386742,7.396429952,46.09893415,1.604196272,0.343890206,0.778756656,0.60988263,0.774657937,9.751204182,6.604657952,0.696145308,2.567180371,2.504560295,16.24557381,1.572969551,2.484941693,3.698115778,3.207878378,15.71458948,0
RNA295_FPKM,3.72832125,0.189751975,1.17762257,10.61953459,120.3511395,3.72912071,5.500556553,0.374032901,0.0,0.654600255,0.669518893,6.851175257,0.379330818,0.189665409,1.514064225,15.68086384,0.547373912,0.0,0.708485601,0.185034384,0.528647962,3.849962818,1.373372088,1.628642058,0.155773133,0.438206812,2.849179107,0.20443325,0.347802022,2.691686795,3.090243905,1.415473347,0
RNA3_FPKM,4.163596863,0.535245295,1.898637297,7.490198993,11.8064033,3.347506297,1.873050566,1.846890642,0.150911812,4.485132321,2.125049317,8.127112589,2.675610542,0.535091312,4.508819719,15.4492389,2.059012655,0.0,1.499248823,0.782606827,0.497214708,6.611596717,3.632655851,0.382842799,0.658845748,1.35989701,9.043052178,0.720985131,1.226611067,6.407457016,1.45311809,2.99521307,0
RNA302_FPKM,4.351403351,0.637580969,0.565492668,15.38095076,13.69084912,2.089172488,11.47596874,0.83812786,0.119874113,2.514544203,0.750124435,8.025255616,4.462903882,0.743790164,1.696333525,17.98769795,2.248564394,0.0,0.99230415,0.828866779,0.592279163,4.125971906,0.961771715,0.506879688,0.174514407,1.66923795,5.985494184,0.11456671,3.117698965,6.031584674,5.193537773,2.220363027,0
RNA303_FPKM,2.618840006,0.0,0.378085456,7.422943213,25.20793475,6.667430667,17.47952763,0.21016482,0.120190105,1.156000756,2.445605078,10.84967019,2.771223885,0.426378897,2.835980007,32.58868529,7.381312257,0.0,0.995403458,0.415685114,1.584156643,3.762456375,0.964775659,2.033760203,1.399952382,1.477382255,11.40716935,0.229737422,1.172731202,7.373514108,1.543537241,6.045284587,1
RNA31_FPKM,7.525037393,0.0,0.62687637,4.986449128,5.82124351,2.105317072,21.20274622,0.929068862,0.132896915,0.232267216,1.45525862,10.05671664,5.889520138,0.471114239,2.925353034,16.2304271,0.0,0.388559174,1.320088864,0.229816213,1.313141028,1.871225965,3.198462475,0.337157832,1.740675316,1.41504848,8.404737391,0.380911138,0.863913384,5.432648436,0.426418786,0.879070025,1
RNA314_FPKM,14.7021282,1.071776453,1.188054757,9.695334286,21.27957203,15.08425359,20.89778556,2.113333576,0.151133324,2.113474296,4.728709821,13.41665582,6.965833378,0.937768718,4.039588697,34.98258893,2.061507957,3.756439956,0.750602188,0.522425873,2.23995495,9.457671531,4.365040416,0.766831424,1.319663382,5.81810546,24.90162684,0.288730025,6.386855019,13.78249843,2.182520208,5.998469916,1
RNA319_FPKM,5.166837917,0.217505221,1.350582789,10.39728443,9.982845569,8.359614157,21.9712801,1.072551017,0.0,1.287018455,3.071556464,3.571666295,17.83803035,0.0,2.122426812,24.83568021,3.557162066,0.358781976,1.422042195,0.424195265,0.0,4.223437981,1.575157161,2.075427712,1.428630913,2.412317314,10.21164772,0.586218724,2.792373766,7.91058381,1.378287051,2.922320975,0
RNA32_FPKM,11.07468964,0.0,0.999507309,1.538716989,5.71780464,3.02106479,7.887688267,1.944381256,0.47649294,0.972190628,2.485932675,4.856431323,5.352433659,0.845127898,2.748473363,8.317670359,0.541843016,0.464617727,1.578466392,0.823990554,0.0,4.723522704,0.509888172,0.940660121,0.693685071,0.780968974,4.496150784,0.455396306,0.774765144,5.246898163,1.274954109,5.886583422,1
RNA328_FPKM,4.246047192,0.225365667,0.799728502,27.85644893,14.91903686,8.863251945,26.59786171,2.889257795,0.127083196,0.555650872,2.983845184,9.437066753,8.340029271,0.901569782,5.597719508,30.31869914,1.517586337,1.301294826,0.420921061,1.318784821,1.46566891,5.56973091,2.244220845,2.903159843,1.665437136,3.436830352,17.14099694,0.242913223,3.720000819,10.19582589,0.81613319,3.7008293,0
RNA331_FPKM,14.08657002,0.0,0.0,5.26418077,9.072062103,3.180123627,20.95523227,0.389796957,0.0,0.292399635,1.046790694,8.276776774,2.372330184,0.988400706,2.45472328,7.52331063,1.901392094,0.0,0.738542241,0.385489808,0.0,4.710558122,2.505076578,0.565832807,1.136109548,2.374885367,11.32154058,0.319630746,2.53761004,8.065599406,1.789258714,2.213088148,0
RNA334_FPKM,1.12095697,0.391070253,0.346853767,5.339666449,5.17609561,1.921919916,35.9739228,0.385608378,0.0,0.771119429,0.51759214,6.098976174,1.5640836,0.293253337,2.601140616,16.676565,1.504418286,0.0,1.825844735,0.381347512,0.0,4.140911331,1.592591199,0.466330615,1.123563847,0.903362971,6.974892965,0.421519998,5.019376963,6.762860546,0.530863733,1.459131734,0
RNA335_FPKM,9.409856055,0.0,0.45286579,14.46887217,22.98208337,7.301359997,16.3401541,3.524519595,0.0,3.272655756,0.450601461,6.078207814,7.914645735,1.404207049,5.43462547,48.41322341,3.192399893,2.316285459,2.622672424,5.477183295,2.846151133,8.336714055,1.848621379,0.365415998,1.467183738,1.533521938,15.81998665,0.963189324,1.638672747,12.0017694,0.462155345,4.572898387,1
RNA336_FPKM,8.560258427,0.889541921,0.788965573,17.15764062,4.121313871,9.738003965,12.89805161,2.411923932,0.125373893,0.877118152,11.57874069,10.04066972,4.892378486,0.55593818,3.944646787,19.40607736,0.641755425,0.0,2.28430891,0.867426238,2.892086866,4.906334616,3.824321447,1.803401689,1.27798265,3.185222852,16.07579145,0.359578994,4.281884541,4.536416238,2.415448448,2.821389535,0
RNA35_FPKM,10.13490511,1.258476351,0.744124207,9.308290629,7.40364077,5.248230438,15.93980505,0.827266577,0.0,1.654422793,1.295706276,9.814100899,3.984951262,0.629238175,1.302217363,22.155884,2.420722848,1.902721791,0.783495859,0.613594132,0.0,5.922833598,3.037350563,0.900490848,0.688747522,1.841214392,6.497802654,0.339116146,1.923126198,3.162329342,2.657656416,1.565335278,0
RNA358_FPKM,51.2974073,1.123369612,20.17758372,337.3212862,86.75136867,17.82089143,28.36724016,2.215653609,0.0,15.92403834,1.98300998,200.8251609,17.6944849,3.370406416,26.15624435,157.9309359,7.83438701,0.231690724,15.7372018,2.738746424,1.565465086,45.85424985,17.28683659,2.81353519,21.9040908,4.022830165,46.67181115,4.995067948,99.65939337,11.70790247,49.06385623,87.40644843,0
RNA365_FPKM,8.053647463,0.281071188,0.498330219,17.84014237,12.14917928,3.766245448,8.70949349,0.554009573,0.0,2.631756713,1.23972246,13.60778802,2.24771258,1.404784657,3.239526444,23.9645203,1.621545268,0.0,0.262481824,3.013522834,0.521935335,4.215005948,1.525915675,0.536041695,0.0,2.596277403,10.28695144,0.454280239,1.030313908,4.236186883,1.780062593,2.516095973,0
RNA368_FPKM,7.611048209,0.43213118,0.766712282,28.92112629,17.54587619,5.021395532,21.39494543,0.426095828,0.0,2.983324604,1.144234486,6.031986538,5.618842026,0.864451808,3.066849127,32.47150913,3.117987361,0.0,0.807279069,1.264347499,2.409090695,6.865741294,2.542971936,1.855605755,1.419309247,1.497776651,8.927126313,0.232889017,3.764812596,4.408553612,1.369226629,1.451601622,0
RNA37_FPKM,4.640747238,0.453304026,0.804102116,10.36831894,5.600361466,3.645941495,5.439648311,0.446972964,0.0,2.681837785,1.400037923,2.232785877,3.626432208,1.019874632,2.613226464,13.68138095,1.961938666,0.560706838,0.0,0.442034036,1.894819711,5.600361466,1.641193038,0.973015527,0.0,0.942449595,4.894004623,0.488599454,3.325014466,3.015277522,2.666831109,3.213769759,0
RNA379_FPKM,10.06844915,0.315298372,3.075226753,18.50902041,16.41225635,6.478938786,8.195356051,0.310894763,0.0,0.0,1.390951291,15.26721521,4.09784957,0.945552027,2.795577694,18.61383595,3.941528333,0.0,1.177460823,0.307459462,0.0,6.397952051,4.850310485,2.556244715,2.070140423,3.641075224,7.102343472,0.849435903,5.202078712,8.946335496,3.423693776,4.234250114,1
RNA38_FPKM,1.035858989,0.0,0.186912749,4.749731747,4.464686718,3.390935349,7.377886293,0.623540816,0.0,0.623540816,2.046297936,3.634062965,2.108011049,0.0,1.308794694,7.192234294,1.622047854,0.0,0.984296165,0.616650862,0.391674574,2.790479626,0.954010129,0.402260373,1.211396019,0.779177438,6.332888961,0.22723105,1.159623959,2.617454238,0.572378493,0.786604546,0
RNA383_FPKM,5.26023962,0.917569404,2.44128301,20.82969091,16.39631412,5.12474546,13.30390241,1.583214578,0.0,0.678565642,0.607222048,16.57050341,8.257484177,2.17906722,4.068741901,50.11695125,9.045590555,0.756780373,1.713567826,0.0,1.278560525,6.680007738,3.529411429,2.735506023,1.882975903,1.483745599,11.84391854,0.741760305,5.888735782,12.81687782,5.397980195,5.306664049,0
RNA385_FPKM,28.179725,0.751191399,1.332644943,17.13181926,11.00511978,8.727654604,7.812799521,1.629597386,0.084751975,3.407392361,1.591126502,22.69481796,7.512352174,1.352232155,2.798463697,28.68730928,13.87344209,1.363074449,0.98222232,0.292977662,1.116534774,6.629650793,2.039905772,2.078475359,1.480117677,3.262758727,13.400262,1.214600383,6.750144365,8.661868262,1.903867986,7.961093677,1
RNA386_FPKM,12.47868906,0.499489528,2.436905467,15.51925968,13.00498795,10.04473482,26.22601185,2.709185407,0.0,0.123188623,2.42472094,13.32800209,6.743964342,1.623524333,4.209180639,31.30185275,1.201206161,0.0,2.332500852,0.243654845,0.696112783,6.833147549,1.356527474,1.548929972,1.025215491,4.847051565,14.30402922,0.94223277,3.206262944,9.525789309,2.260731595,5.778560295,0
RNA39_FPKM,2.297246677,0.0,0.621983276,2.553429538,1.856409935,0.417733865,9.115595579,0.921814954,0.131860171,0.230453738,1.856409935,2.302589111,0.934871823,0.701153867,0.414585117,7.208008928,1.348813706,0.578386317,0.436520838,0.0,1.085669001,4.950566588,0.423089427,0.892031844,0.767464543,1.403892313,3.072122857,0.503831685,1.500153499,4.146273573,1.057831335,1.395567789,1
RNA392_FPKM,27.6285603,1.297431,1.15073654,11.16195581,10.99187932,16.4646525,3.892293,1.279310455,0.0,0.0,0.6870336,9.373005399,2.854447658,0.778508329,6.904419241,13.62077706,2.495875439,0.42798996,1.69622446,0.253131871,0.723193264,5.724914287,1.878991239,3.713457916,1.91709895,2.877512761,20.21995672,0.559327337,2.141175451,8.745641812,0.939383091,3.679548851,0
RNA409_FPKM,7.426162331,1.259411999,4.914518568,72.39784112,56.67794255,43.44043028,55.66109096,11.17542208,0.142063942,1.365906697,4.445285835,62.64810814,17.8819609,4.155637225,36.18810661,99.15233503,6.540771448,0.0,8.232126816,1.228100651,0.93589581,26.22749339,10.94233201,5.646726291,5.169038999,10.0078034,103.3302069,2.171715918,25.40186115,28.36965451,7.066932125,32.70549672,0
RNA41_FPKM,1.91557006,0.0,0.377202776,8.710414044,8.631280087,1.710086053,13.39502944,0.0,0.0,1.886826791,3.377419955,12.21827937,4.890243675,0.956776191,2.828659929,16.32231746,2.863139036,0.876841204,1.588490385,0.829270596,0.987600093,5.629176893,0.962277013,1.52136034,1.745525745,1.866570761,9.781046183,0.229201076,4.288886732,2.262927943,0.962277013,2.538897952,0
RNA418_FPKM,8.955893331,0.446398932,0.98962378,13.86577903,13.39189616,5.584100143,19.63828985,1.760442734,0.0,2.640556849,5.120351834,9.709645748,7.141077648,0.892689092,2.375174251,18.15650107,0.858530935,0.36817482,1.250422423,0.870389097,0.207340556,4.52962323,0.807899623,1.170986406,1.648723529,3.50573198,9.847042542,0.601328648,5.933789527,11.67790791,2.625919906,4.829828685,0
RNA431_FPKM,36.32991488,1.874156221,3.87876736,81.26207174,47.96694566,10.04980021,14.05690893,1.232084167,0.176111034,0.770016255,1.378329097,43.59487497,25.92735142,2.655226677,18.83983928,174.831802,10.2157495,1.545740995,3.500683585,1.218469977,5.513371179,19.29712787,10.74427231,0.447081925,3.846499806,5.051604156,64.81239956,3.19859702,12.60219051,13.8528153,12.72330475,12.58880893,1
RNA44_FPKM,5.037920702,0.683560911,0.0,4.666457497,9.449221852,2.035983818,11.39089445,0.224594696,0.0,1.797102393,1.809521767,4.114504694,2.506001443,0.0,1.818614841,21.52483871,2.629491582,0.0,0.0,0.0,0.846583955,6.634638819,2.062086174,0.978119874,0.0,0.736801841,8.341402215,0.613903518,2.088866514,2.020637206,4.330338762,0.680130873,1
RNA442_FPKM,9.774598663,0.450307748,1.997155463,12.91491231,14.70535447,9.458167388,32.20060139,2.886537782,0.126963766,1.110150663,2.980847903,7.763964725,4.503500705,0.562990491,6.391047631,23.49187875,6.497761095,1.671468591,1.682299575,0.658668378,0.836624396,11.92320486,3.464866144,1.288954743,2.403210525,5.930424074,19.87201473,1.334881209,2.684105262,9.187177891,1.630536511,7.226182134,0
RNA454_FPKM,25.82192921,0.557897637,1.237394871,37.9097369,18.71302125,12.46699309,6.975159021,2.475862822,0.0,12.24236795,1.969840305,18.09456154,11.43912479,2.092573862,9.403412276,18.48949313,10.46613946,0.460135201,2.605486741,1.088309561,4.406039506,15.26568531,4.04046132,1.863300066,0.916204793,4.640864162,19.90746942,1.202955911,5.116228509,5.196640888,6.566015979,8.745298408,0
