,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,TMEM198B,UOX,CRYZL2P,CDIPTOSP,AL590556.2,FMO6P,CETN4P,SLC66A1L,OACYLP,AC104162.1,AHSA2P,SLC22A20P,MBL1P,CUTALP,GUCY1B2,EGFEM1P,MGAT4EP,Diagnosis
RNA145_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125476721,1.156117726,1.036587467,0.0,0.1233727,0.121476339,1.658562737,0.085546887,1.069761591,0.0,0.0,0.859780723,0.204315478,0.0,0.039493259,0.0,0.434341799,0.6819299,0.058163363,0.611713951,0.0,0.07282431,0.0,0.0,0.0,0.0,0.0,4.477536331,0.101961659,0.0,0.073361648,0.042613174,0.0,0.0,0
RNA150_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168044033,1.163933729,1.683705219,0.0,0.072866277,0.171683587,1.534834938,0.300020376,0.996818705,0.02421514,0.0,0.81034525,0.113133813,0.080863721,0.087473021,0.0,0.217599416,1.713720996,0.064403404,0.425054709,0.0,0.040324365,0.0,0.0,0.0,0.0,0.064063365,8.548840432,0.310535058,0.0,2.158708146,0.031456611,0.054447392,0.0,1
RNA151_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055051774,1.287082699,0.926346378,0.038669821,0.081665486,0.156227777,0.78959144,0.028309769,1.338271614,0.0,0.0,0.635746676,0.426038309,0.072501011,0.078432041,0.0,0.318319531,0.572937716,0.0,0.7502987,0.051596433,0.0,0.0,0.008496672,0.0,0.0,0.0,4.881745976,0.050622949,0.0,1.290326845,0.0141055,0.0,0.0,0
RNA152_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178025017,1.169476391,1.034133076,0.044827654,0.085213493,0.243705991,1.883014584,0.213366906,1.285646952,0.0,0.0,1.747775176,0.329279815,0.056045771,0.0,0.0,0.694404176,1.562394328,0.022318652,0.441814173,0.059812716,0.041922572,0.0,0.049238031,0.0,0.0,0.044401626,6.220837575,0.161382883,0.0,2.292059107,0.016351678,0.0,0.021317282,0
RNA155_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134274176,1.537078662,1.109269417,0.0,0.193637577,0.141135673,2.139547275,0.045776544,1.255709941,0.0,0.0,1.292015417,0.284239334,0.078145029,0.0,0.0,0.468484178,1.845406712,0.082984159,0.53907719,0.0,0.038968633,0.0,0.009155666,0.0,0.0,0.0,5.459561153,0.027280083,0.0,2.590601589,0.0,0.0,0.019815229,0
RNA165_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036325,1.053211958,1.16343928,0.140492381,0.138464944,0.274069567,1.775900405,0.257198114,1.241076378,0.052594847,0.0,1.121916512,1.056514763,0.146354097,0.047484439,0.024425663,0.887091799,2.184142736,0.0,0.533663245,0.0,0.08755979,0.0,0.051441631,0.0,0.0,0.069578592,8.606355712,0.153274698,0.0,4.20920311,0.017076117,0.0,0.0,0
RNA174_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23401319,1.577957118,1.973849069,0.128333869,0.2078149,0.32408752,1.297890181,0.266286359,0.999167486,0.0,0.0,1.788567929,0.314246344,0.160419564,0.021695444,0.0,0.965655397,1.512674281,0.042596309,0.737870796,0.0,0.0,0.0,0.018798652,0.0,0.0,0.0,8.455192254,0.098005681,0.0,0.247521802,0.031208029,0.0,0.0,1
RNA179_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216548523,1.339328288,2.369920288,0.0,0.10173151,0.212034523,1.047406765,0.09618821,1.202825563,0.024589453,0.0,1.049004513,0.528397746,0.082113696,0.06661887,0.0,0.333332495,1.032173589,0.0,0.647344174,0.058421812,0.0,0.0,0.0,0.0,0.0,0.0,5.802284277,0.171967266,0.0,2.032663496,0.0,0.009214838,0.020821563,0
RNA18_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197227932,0.817053035,0.219200553,0.0,0.052105961,2.097781149,0.43348336,1.544134279,0.0,0.0,1.483050752,0.0,0.0,0.0,0.0,0.163020102,0.642332732,0.109134883,1.16146498,0.0,0.0,0.0,0.096327064,0.0,0.0,0.0,13.61642891,0.0,0.0,0.749315122,0.0,0.0,0.0,1
RNA185_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147024439,1.051563573,0.444481905,0.083486288,0.105802809,0.210833312,2.070245812,0.290416888,1.197286346,0.02344264,0.0,0.80402077,0.35045463,0.078284044,0.063511872,0.010890021,0.502562987,2.572635907,0.166240497,0.655742103,0.0,0.0,0.0,0.018343907,0.0,0.0,0.04134643,5.103127494,0.013664306,0.0,2.185087759,0.060906194,0.0,0.039700957,1
RNA2_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373675691,1.111982638,1.172374763,0.127841761,0.081014912,0.168408999,1.765565764,0.327719123,0.954208105,0.047872009,0.0,0.600650763,0.178903143,0.079917076,0.0,0.011113155,0.203734531,2.138629236,0.0,0.853291394,0.0,0.0,0.0,0.0,0.0,0.0,0.042216591,6.11776681,0.432455112,0.0,3.962955701,0.015538537,0.0,0.0,0
RNA201_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184521047,0.499235089,0.27697555,0.034687491,0.183128345,0.289534662,1.618804715,0.304774105,1.351477901,0.009740119,0.0,1.401142568,0.27295984,0.021684016,0.0,0.0,0.721475765,1.021969995,0.05179208,1.324610461,0.0,0.0,0.0,0.03810026,0.020676971,0.0,0.0,6.634731119,0.045406786,0.123505596,3.882810754,0.0,0.0,0.0,1
RNA205_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188530347,1.826637529,0.783301671,0.044137804,0.158483523,0.180963811,1.879955406,0.129288469,0.854657927,0.0,0.0,1.451452308,0.393704104,0.027591643,0.0,0.0,0.390726695,1.181723101,0.0,0.598195328,0.117784525,0.0,0.0,0.009698117,0.0,0.0,0.0,5.252087503,0.202261377,0.0,0.279149338,0.0,0.0,0.0,0
RNA209_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13845631,1.080480821,1.639469424,0.092360975,0.058538828,0.192126929,0.80852773,0.152220378,0.78261355,0.0,0.0,1.193475254,0.339310727,0.202117896,0.046842171,0.01205291,0.498860785,1.648925873,0.0,0.455285031,0.0,0.0,0.0,0.040596643,0.0,0.0,0.0,5.473264901,0.120947918,0.0,2.163056376,0.0,0.0,0.0,0
RNA213_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417225,1.542763862,0.853576105,0.0,0.194348436,0.228638161,1.195730651,0.168464338,1.12874297,0.0,0.0,1.375364659,0.416966207,0.052283521,0.063626459,0.0,0.47391435,1.612767018,0.062461325,0.347826861,0.0,0.0,0.0,0.0,0.0,0.0,0.082842053,5.511145102,0.123200631,0.0,3.967787205,0.01525402,0.0,0.0,0
RNA219_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127075178,1.408274545,1.466121748,0.043477865,0.119394006,0.18731527,1.014777706,0.0,0.905089268,0.024416846,0.0,1.409436536,0.296598089,0.108716394,0.044100824,0.011342577,0.461897104,1.464334734,0.064939868,0.348222716,0.0,0.12198077,0.0,0.0,0.0,0.0,0.043064664,6.600882465,0.14232154,0.0,3.861678478,0.0,0.009150154,0.0,0
RNA23_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191518181,1.111326807,1.322881859,0.042578684,0.080969338,0.218931798,1.590571895,0.655047946,1.386674116,0.0,0.0,0.780410165,0.156456914,0.079882682,0.0,0.0,0.312970209,2.34539332,0.042397883,0.892166532,0.0,0.0,0.0,0.056144386,0.0,0.017383593,0.147659311,9.130461581,0.055767849,0.0,5.737529953,0.0,0.0,0.0,1
RNA246_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146543673,1.015011235,3.336947118,0.075210721,0.158865836,0.198876988,1.579814337,0.082624621,0.864722676,0.031678337,0.0,1.024668554,0.295985794,0.094032197,0.038144177,0.0,0.296288231,1.336143324,0.037445677,0.47491905,0.0,0.0,0.0,0.024788354,0.0,0.0,0.0,4.766947713,0.123086884,0.0,1.609237907,0.0,0.0,0.017882803,1
RNA253_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178223345,0.933678033,1.458057153,0.043222317,0.191800345,0.236388056,2.094094875,0.237497401,1.020473765,0.012136666,0.0,0.893817304,0.2268824,0.027019349,0.0,0.0,0.666067225,1.776656235,0.0,0.586044745,0.0,0.0,0.0,0.0,0.0,0.0,0.085645434,5.02272354,0.127380826,0.0,2.571931011,0.031548663,0.009096373,0.0,1
RNA26_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229318554,0.410916786,1.864287085,0.182678358,0.125412673,0.408450378,2.744868699,0.986705612,1.06128582,0.0,0.0,0.407675144,0.407411063,0.085647601,0.046323952,0.0,0.933997616,1.930424819,0.13642699,0.379845,0.0,0.0,0.0,0.040138744,0.0,0.0,0.090471119,9.328953595,0.373739967,0.0,3.945805306,0.033317577,0.009611415,0.0,0
