,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,Diagnosis
RNA78_FPKM,7.817352662,0.908986681,1.209317708,8.534127531,8.02210712,36.96245325,3.863278285,0.672302206,0.0,1.904660942,2.005451866,7.275801879,8.86287481,1.931639142,3.628103706,85.2902919,1
RNA86_FPKM,6.458427456,0.219055039,0.582862529,5.982375143,7.732219872,0.391526222,3.504640961,0.215995611,0.0,0.539989028,1.933160721,9.17068387,4.599916157,0.657165118,2.914100076,14.51588532,1
RNA87_FPKM,8.503915098,0.494308193,1.75416808,8.439741399,7.199580118,2.209239716,10.87755259,2.681407865,0.0,1.584406156,10.25390296,9.538514379,1.730494527,1.60684817,5.043171757,25.30428813,0
RNA89_FPKM,1.396677359,0.426368418,0.5672414,12.51633755,10.91038778,2.857422424,13.64196885,0.420413552,0.0,3.257756251,0.376270129,5.949571054,3.410401186,1.172331097,1.89048173,12.8669264,0
RNA94_FPKM,5.941390574,0.0,0.0,0.0,0.0,0.0,15.16802812,0.0,0.0,0.108354545,0.0,0.0,0.0,0.0,4.484274906,10.96185241,1
RNA95_FPKM,3.953801801,0.0,1.019362748,3.923995896,9.331768623,2.670736652,2.528580238,0.90675224,0.0,0.680003422,2.23147206,4.529139073,4.137811193,0.689635199,2.854346857,11.16143969,0
RNA97_FPKM,17.53037217,2.980302994,1.441941434,14.24434951,8.129429311,5.326820035,21.67484776,4.274305093,0.152764941,2.805116007,4.782080519,16.23650631,6.502423854,0.948333632,6.488060754,26.13221906,0
RNA98_FPKM,6.704184973,2.258086333,0.751040649,5.0108115,4.483712674,6.306206293,4.516172665,2.226548814,0.0,1.252433708,1.245475743,15.98866521,4.233911874,0.987912771,3.755203245,16.66826261,1
R_JS001_FPKM,8.20434106,0.263705308,0.701377599,1.620039633,2.791771936,0.471038761,3.426858672,1.299788358,0.148702834,1.039766084,1.395741422,5.843176357,2.636070331,1.186346303,1.402755198,15.73999013,1
R_JS002_FPKM,22.56161658,0.912195427,0.970905797,10.21396582,5.31282809,9.944955662,6.749916998,0.719523643,0.0,1.798809108,4.668854429,11.2322254,2.736380555,0.820955312,3.074200503,15.68050079,1
R_JS003_FPKM,8.539467451,0.226714929,0.603041495,7.273773387,9.601428027,6.887057765,8.839827398,0.447097038,0.0,0.558758735,1.400128499,4.279757053,4.306670391,1.359947102,1.206285488,12.34384646,1
R_JS004_FPKM,29.08554223,0.670099822,0.396223178,24.70486255,7.687018708,5.189548495,6.030368464,4.844910631,0.12595593,0.330370443,1.379847216,6.234090592,5.807001857,0.223366607,4.160108359,31.65400386,1
R_JS005_FPKM,2.297008732,0.0,0.0,0.159562523,2.68126147,1.044225626,5.141498606,0.230429677,0.0,0.0,0.412469122,2.11050451,0.701080661,0.0,1.243625494,3.986848152,1
R_JS006_FPKM,5.991073756,0.471935941,0.209175835,11.43893831,6.663511928,6.32610477,9.910401435,3.257412597,0.0,0.581618375,5.205931569,8.523174637,4.955200718,0.825824566,2.720633932,26.62950483,1
R_JS007_FPKM,5.451848377,0.214812621,0.380833018,4.544964508,4.926721359,2.686514246,18.89569928,1.270393276,0.121132357,0.846888735,2.084431827,4.054358875,2.576775031,0.322096879,3.999287955,15.35668857,1
R_JS008_FPKM,8.75775138,0.0,0.0,9.126230404,8.149715546,3.04044927,8.991918526,0.0,0.274070621,1.317975243,3.217016729,5.586151569,1.215200135,0.364585608,2.371030839,15.94550408,1
R_JS009_FPKM,2.549323911,0.518816386,0.0,4.073213963,6.180339969,3.476904764,7.522034482,2.557587769,0.0,0.255785174,2.975824245,4.045725001,3.112630611,0.0,3.220618818,11.91304916,1
R_JS010_FPKM,1.56671316,0.191367699,0.509019452,3.526308943,5.57053139,3.760696297,11.09427007,0.377198168,0.0,0.094347483,2.700910512,2.04133596,3.060521826,0.669495227,1.526885865,11.04455167,1
R_JS011_FPKM,3.81506326,0.155350774,0.964032193,2.226290372,3.425556955,2.497722242,9.16075271,2.143316506,0.0,1.148248788,1.370191623,2.804258013,3.88165094,0.543462908,1.101661607,4.380712022,1
R_JS012_FPKM,13.07435493,0.0,1.690464161,17.56939289,15.34912632,10.85907612,17.1545324,1.174589274,0.268691987,1.409650197,2.523273853,16.03874022,6.909403982,0.71473591,4.015109762,28.92106219,1
R_JS013_FPKM,1.836071136,0.0,0.331357993,6.505360024,3.462181493,2.671319985,7.472704571,2.21046553,0.0,0.82894684,0.659402406,2.760585757,3.736352285,0.653888749,1.98830819,5.393356275,1
R_JS014_FPKM,5.290841748,0.258396917,1.031258408,6.351466195,5.472846705,4.387514236,13.95343352,1.146482812,0.0,0.636970054,2.052317514,6.363775238,2.583969171,0.387595376,1.145905926,13.13953718,1
R_JS015_FPKM,9.676299252,0.422008696,0.374294145,3.601253156,5.957877823,3.959265171,2.953559476,1.040204401,0.0,2.392288844,3.723636766,7.100847555,3.16464739,0.42192513,1.496880109,14.67308874,1
R_JS016_FPKM,2.436036362,0.793199878,0.351758237,2.166211918,4.724825858,3.189699595,7.535021129,0.586591251,0.0,0.293295625,0.524999169,2.767282443,1.189799817,0.297449954,0.879395594,6.245095448,1
R_JS017_FPKM,8.890474903,0.217154074,0.192601478,5.336359269,13.02810889,4.656308743,5.644625297,0.64216911,0.122452697,1.391398817,1.149482706,6.77257795,4.341898085,0.325632495,0.962832457,14.6720363,1
R_JS018_FPKM,6.165135,0.728449276,0.43064159,7.957991315,7.071421345,7.378014632,7.770032002,2.394343644,0.0,0.119758717,4.071507019,7.574666246,3.642246379,0.364224638,2.584347682,38.39601424,1
R_JS019_FPKM,3.672363441,0.707958315,1.04644633,6.284159029,4.165303937,3.163408675,16.04747776,1.861688362,0.0,0.581683854,2.082651968,4.455885721,3.303974516,0.353979158,0.837292002,7.742034252,1
R_JS020_FPKM,9.07247287,3.272700807,1.339789814,10.65734315,9.108921038,8.999437272,16.11225118,2.730680338,0.0,1.489349517,3.110381288,7.233559319,4.783285356,0.62938699,3.349350869,22.13454878,1
R_JS021_FPKM,6.389101795,0.445835219,0.0,10.3482126,7.670985503,0.0,10.47528854,1.098925732,0.0,0.769171658,2.163545587,4.025360016,3.120265764,0.334328017,3.953580338,18.1336608,1
R_JS022_FPKM,3.651377283,0.742949482,0.219649219,4.904170583,4.152909995,3.320208714,12.38399227,0.976764123,0.0,0.610600906,2.622832429,1.829934429,3.962897538,0.247649827,0.439298437,8.288047695,1
R_JS023_FPKM,17.14966939,0.460181993,1.428635462,5.341656212,1.421492285,3.906993352,12.88557242,3.403279015,0.0,1.361264609,0.609271068,5.855841765,4.371848086,0.345196073,2.653089558,48.16153973,1
R_JS024_FPKM,5.193899756,0.0,0.0,5.88874152,2.910133789,4.080549727,7.610012525,0.250101218,0.0,0.750418803,1.343249657,4.164859568,3.804889484,0.380465593,0.89986167,9.486947377,1
R_JS025_FPKM,16.92831585,0.46981201,1.041535036,10.7446429,7.254682298,6.087139633,12.21334105,3.936973387,0.132462971,0.578953833,0.621913648,8.676592576,3.758053278,0.352359007,2.08326644,23.88677418,1
