,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,Diagnosis
RNA50_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139481916,1.033261522,0.035148698,0.0,0.12547318,0.214140103,2.125814388,0.377028407,1.456996542,0.0,0.0,0.539531749,0.041568866,0.074253163,0.0,0.0,0.610009516,1
RNA504_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170904519,1.633867756,0.805727122,0.06335041,0.178410288,0.2189572,2.476508869,0.278357857,1.226687634,0.041502744,0.0,0.734102639,0.277010631,0.118792757,0.010713203,0.0,0.67670841,0
RNA519_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151100706,1.410945565,0.715684241,0.0,0.113572532,0.187705937,1.437911124,0.13125612,1.024898588,0.025161843,0.0,2.399694736,0.399682523,0.084012358,0.022712844,0.0,0.725890008,0
RNA52_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177841878,0.167023811,0.0,0.107184158,1.286349038,0.134548975,3.044126948,0.0,0.0,0.094154203,0.0,0.0,0.0,0.0,0.05618553,0
RNA521_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103898123,1.003311983,1.123279252,0.030139323,0.095491267,0.239090078,2.831309411,0.342115413,1.601308658,0.059241071,0.0,0.693798978,0.158140165,0.094204216,0.030571166,0.02358839,0.925848445,0
RNA528_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236379407,1.085071177,2.181544658,0.0,0.097978795,0.190188112,1.109685009,0.06794371,1.021727185,0.0,0.0,1.11139168,0.462450561,0.115986546,0.047039316,0.0,0.665241718,0
RNA53_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121015124,0.575097533,1.940449463,0.067280797,0.262926171,0.162925163,2.061096267,0.184782512,0.842811741,0.028338297,0.0,1.691120278,0.141223803,0.021029453,0.0,0.0,0.148913136,0
RNA535_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155993223,1.872816483,0.603159091,0.0,0.197406001,0.19184903,1.958184827,0.140005183,1.305894089,0.011924472,0.0,1.496823099,0.356665264,0.026546951,0.043096725,0.011078765,0.654371249,1
RNA58_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126220904,1.187747729,2.464069813,0.091021875,0.048077028,0.206931146,1.089006292,0.166688303,0.484816843,0.0,0.0,1.090683548,0.38218036,0.028450023,0.023081514,0.0,0.07253666,0
RNA6_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146822493,1.057611851,1.313562691,0.0,0.147137889,0.297517275,1.397183699,0.207243464,1.080183494,0.0,0.0,0.695434893,0.342689962,0.054421576,0.0,0.0,0.651371603,0
RNA60_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113337649,0.560309718,1.815703164,0.177903471,0.075169636,0.178416443,0.986283877,0.244321796,0.86673752,0.024983882,0.0,0.689620145,0.233401717,0.055620564,0.022550635,0.0,0.637935175,0
RNA62_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152732747,1.344692805,2.371189661,0.045300419,0.08609855,0.181660628,1.189177647,0.099504356,0.98663838,0.0,0.0,0.659601221,0.617885341,0.056613403,0.045930474,0.0,0.44905893,0
RNA63_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168822495,1.777933876,2.560177319,0.039510033,0.008345999,0.116251124,1.475874727,0.07236598,1.21015806,0.0,0.0,1.968153268,0.290334298,0.0,0.040093281,0.0,0.108462298,0
RNA64_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030037867,0.72129208,1.351621662,0.200422733,0.008470881,0.167920666,1.754122768,0.249518352,0.863506548,0.045017686,0.0,1.280523435,0.0,0.075178763,0.0,0.0,0.141940055,0
RNA66_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075314739,1.321560961,1.166223234,0.115952484,0.02449351,0.244623281,1.917104134,0.198159496,1.263112317,0.0,0.0,0.980621271,0.040558051,0.024169219,0.078415433,0.0,0.407214993,0
RNA67_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129403405,0.876371364,1.885864865,0.265633362,0.046756282,0.29335107,1.782540273,0.389090913,0.830562949,0.0,0.0,1.726444937,0.511114488,0.027685985,0.044898203,0.0,0.540902971,0
RNA69_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152451088,1.195295652,1.510467254,0.04152904,0.228003664,0.204761761,1.841046549,0.228035767,1.100384363,0.023310428,0.0,0.877706411,0.152503321,0.051895024,0.021062038,0.0,0.650542773,0
RNA7_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11866451,0.474873595,2.302849818,0.0,0.120782703,0.171197132,0.692947567,0.080533215,0.82511891,0.0,0.0,1.260504042,0.415452543,0.027485526,0.0,0.0,0.295937122,0
RNA72_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097643131,0.915854036,2.095602127,0.12212792,0.120402476,0.195978698,1.829348597,0.283281835,0.699748763,0.0,0.0,1.396398828,0.149551663,0.050905567,0.0,0.0,0.501034213,0
RNA74_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128287487,0.992551373,0.202551291,0.114124048,0.136601952,0.28482456,2.01988302,0.181090384,1.703481822,0.010677919,0.0,0.661262354,0.0,0.0,0.0,0.0,0.814989323,0
RNA75_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064993752,0.90512551,0.369408188,0.034683248,0.080606141,0.22572315,1.963429935,0.215953073,1.813743347,0.009738927,0.0,1.613463258,0.145621259,0.065044092,0.0,0.0,0.506729494,0
RNA78_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144211539,1.462065563,1.935322438,0.042776141,0.063231223,0.152467114,0.598847192,0.062633671,0.79185516,0.0,0.0,1.145149031,0.224386223,0.0,0.0,0.0,0.431579055,1
RNA86_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101933643,1.44631248,1.426471864,0.082437557,0.095766931,0.25472855,1.6835447,0.301862966,1.356883149,0.02314816,0.0,0.464750736,0.043259541,0.077300662,0.062714054,0.0,1.025367724,1
RNA87_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122016732,0.627828999,1.155845918,0.046532158,0.029476987,0.229439588,1.845771349,0.221439549,1.221741763,0.039183523,0.0,1.26759459,0.341742416,0.232642085,0.070771863,0.0,0.901915337,0
RNA89_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087170239,1.118730684,1.032187996,0.0,0.059307951,0.134666099,1.240419673,0.102813569,1.446624467,0.0,0.0,1.450986429,0.736644843,0.025076316,0.040688849,0.0,0.468720238,0
RNA94_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54170076,0.206822475,0.0,0.204020684,3.234308068,0.49985152,2.242857706,0.0,0.0,0.252627971,0.0,0.0,0.0,0.0,0.051270176,1
RNA95_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327413933,0.505966896,1.842506908,0.086495282,0.063963352,0.192783653,1.918233189,0.142557813,0.753876891,0.024287554,0.0,0.528373391,0.27238179,0.027049676,0.0,0.0,0.375289493,0
RNA97_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175753018,0.59631111,2.307286566,0.152927804,0.0,0.24387965,1.99312989,0.410715189,1.227894742,0.0,0.0,1.293414458,0.106999556,0.286832806,0.051706328,0.0,0.451347497,0
RNA98_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12339325,0.621244495,1.084047004,0.053111972,0.134630865,0.214624726,1.456637241,0.058347487,1.092823866,0.0,0.0,0.773548671,0.250837073,0.066403239,0.0,0.0,0.540753974,1
R_JS001_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241636179,1.294305105,1.496665268,0.09917927,0.188605488,0.309508815,1.881380041,0.526766766,0.960579857,0.12536454,0.0,1.258456306,0.260288903,0.093018422,0.050300165,0.012945067,0.588462007,1
R_JS002_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177510243,1.760512241,1.858210732,0.171644449,0.123271408,0.211129736,1.301974168,0.213697712,0.938962172,0.038555525,0.0,1.322469404,0.432317982,0.128763914,0.0,0.0,0.300868037,1
R_JS003_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460276168,1.573352142,1.930265717,0.042660112,0.198205738,0.263587187,0.821262036,0.218657699,0.588470071,0.0,0.0,1.06201915,0.649039598,0.159980548,0.08652092,0.0,0.36626202,1
R_JS004_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258269759,2.155388668,1.417199182,0.294210494,0.159799334,0.250993402,1.471393658,0.307802989,1.052923348,0.047207551,0.0,1.02673261,0.132333,0.105096184,0.021316143,0.0,0.721820485,1
R_JS005_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247175273,2.017915965,2.458545672,0.131919762,0.139341542,0.216900342,1.129050705,0.12882112,0.739816182,0.0,0.0,1.549534546,0.599978827,0.164932671,0.044603311,0.011471815,0.490548896,1
R_JS006_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219618582,1.038668878,3.112726895,0.088802445,0.103166188,0.168863577,1.450863271,0.178844216,0.999537246,0.0,0.0,1.793973654,0.372796391,0.166537874,0.0,0.011577247,0.585695817,1
R_JS007_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21195987,2.035782417,1.254914727,0.040420499,0.110949698,0.224493178,1.155229505,0.162750875,0.787313659,0.011349926,0.0,1.765377857,0.25443401,0.151549748,0.061476182,0.063245834,0.178852842,1
R_JS008_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253607162,1.522372777,3.53048378,0.137205458,0.08693864,0.286691421,1.013961499,0.334915545,0.808060032,0.051360039,0.0,1.589855868,0.383954104,0.085770556,0.046382322,0.0,0.400799538,1
R_JS009_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354800113,0.746532166,2.208873557,0.195247531,0.1546422,0.291482404,0.911320979,0.089354082,0.708858229,0.0,0.0,1.307033622,0.307345065,0.030513526,0.123752625,0.0,0.367276915,1
R_JS010_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142965776,1.198251844,3.225990191,0.107990268,0.144460528,0.214957749,1.428158851,0.35586604,0.932243667,0.030323266,0.0,0.659502139,0.453290065,0.112504727,0.018262449,0.0,0.401501087,1
R_JS011_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271508458,1.314392269,4.433516295,0.204522821,0.240692761,0.202265724,1.500236848,0.203274798,0.845128987,0.041022225,0.0,1.331470475,0.413940731,0.200904856,0.044459084,0.0,0.486277249,1
R_JS012_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204955394,1.815218952,2.546237086,0.224148699,0.189405954,0.275742769,1.308004502,0.426843223,0.86276217,0.025176049,0.0,1.34804538,0.517570758,0.084072568,0.022736035,0.0,0.599334896,1
R_JS013_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300331133,0.917246184,1.59095134,0.105448146,0.170786294,0.2130753,0.984587997,0.231710302,0.680739281,0.049358625,0.0,0.924877563,0.239800532,0.131857786,0.0,0.0,0.398356764,1
R_JS014_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185838914,1.04994661,2.545710782,0.12154191,0.143789839,0.147357208,1.305085269,0.293775168,0.614958195,0.08191658,0.106310154,0.947999745,0.306173242,0.030394572,0.061641693,0.0,0.322843718,1
R_JS015_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359988905,2.107390448,4.05127439,0.158784191,0.092239882,0.261855457,0.370630036,0.188981351,0.437229691,0.0,0.0,1.510726987,0.833261374,0.04963981,0.020128423,0.0,0.140580907,1
R_JS016_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240481137,2.383593351,4.006458499,0.149253495,0.094576287,0.185142305,1.066830868,0.081983083,0.582553917,0.0,0.0,1.612753104,0.939821357,0.069976564,0.037848007,0.0,0.502100826,1
R_JS017_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413307021,1.984818519,2.64638168,0.0,0.077666845,0.21726857,0.667432001,0.179515087,0.613090383,0.034410499,0.059534247,1.228322471,1.672072221,0.076606645,0.020723273,0.0,0.546108515,1
R_JS018_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277358982,1.808820947,2.027283284,0.137069613,0.260588149,0.247077054,1.546331737,0.468481474,0.801838235,0.102631424,0.0,1.631408207,0.503495989,0.142798383,0.092697982,0.023834704,0.533944037,1
R_JS019_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196349944,1.55823032,1.497434856,0.044420539,0.178221894,0.261243164,1.425128951,0.11383008,0.822299489,0.087285062,0.0,0.771911935,0.046594784,0.111043724,0.0,0.0,0.302712954,1
R_JS020_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369219557,2.472128692,1.429300557,0.142094325,0.070051287,0.233649314,1.160951025,0.312240992,0.865748949,0.026609529,0.0,1.046031746,0.472307617,0.088826709,0.048061168,0.0,0.616500738,1
R_JS021_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330019187,2.07540904,3.87056979,0.083891169,0.053155181,0.229283228,0.9299342,0.230368514,0.568501109,0.023556329,0.061142126,2.108294545,0.396124515,0.078652309,0.042546589,0.0,0.360153734,1
R_JS022_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227027142,1.341873219,2.729594985,0.139798063,0.177203424,0.221559943,1.767634031,0.290127507,0.569705202,0.013084926,0.0,1.379439677,0.34239498,0.145681522,0.02363352,0.012156917,0.251687676,1
R_JS023_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451036178,1.324525785,2.68959361,0.0,0.100606396,0.321618861,1.364280815,0.221978104,0.79129052,0.048628721,0.0,2.563087391,0.613461111,0.081209073,0.043915719,0.022589938,0.283656884,1
R_JS024_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325524908,1.116598096,2.626178484,0.190908819,0.110908799,0.214151951,0.919111393,0.192266454,0.722130249,0.013401622,0.0,2.242515809,0.500948144,0.119341868,0.072616574,0.0,0.274674376,1
R_JS025_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351089103,1.232702945,2.666935761,0.044201396,0.196050417,0.238994916,0.825227826,0.307491726,0.529554054,0.024823176,0.0,2.055619294,0.463832708,0.138130938,0.044834723,0.0,0.336491765,1
R_JS026_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320270202,1.256307805,2.32798538,0.084606197,0.134070404,0.262753407,0.938202357,0.185922638,0.691342237,0.023757106,0.0,2.981839201,0.377454681,0.105804603,0.107304354,0.0,0.442020018,1
R_JS027_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211354212,1.582175836,1.354376418,0.06635941,0.091110869,0.263212889,0.483992259,0.12150132,0.851316677,0.037266952,0.0,2.244659655,0.226337238,0.103696973,0.0,0.0,0.340732633,1
R_JS028_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410830708,1.015462531,2.432335449,0.08062875,0.119204943,0.200006391,1.364173284,0.19187779,0.936675603,0.0,0.0,0.984752649,0.571090635,0.100779823,0.102219364,0.031546362,0.549552318,1
R_JS029_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443581502,1.495515404,1.331117451,0.202700338,0.111324857,0.332456585,0.662355695,0.163293892,0.897917061,0.068296479,0.0,1.771332184,0.489288874,0.126713041,0.061677315,0.0,0.549132583,1
R_JS030_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409786688,1.153062278,2.312433625,0.042715974,0.054139287,0.237353016,0.972140335,0.20336463,1.008198456,0.0,0.0,0.943278868,0.537992683,0.080108465,0.086656034,0.0,0.279864166,1
R_JS031_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29597519,1.883748789,1.731196792,0.237893513,0.130665766,0.243169688,0.999521552,0.34847671,0.938699077,0.093519461,0.0,1.788399202,0.274664999,0.178455807,0.120651049,0.0,0.433888492,1
R_JS032_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329217053,0.889301779,1.494337866,0.036592587,0.092789854,0.205573145,0.640825828,0.107245177,0.682313933,0.041117875,0.0,1.479087832,0.461032798,0.160183431,0.018558446,0.0,0.304644396,1
R_JS033_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166984989,1.309234557,1.735155058,0.136420697,0.07684253,0.260761313,1.592016171,0.249763782,0.660429934,0.0,0.0,0.854543592,0.119304415,0.113716228,0.06918768,0.023722439,0.161028436,1
R_JS034_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424772645,1.917192405,4.424663149,0.127865716,0.216051844,0.257042932,1.467124807,0.374537659,0.758204026,0.011968073,0.0,2.18235723,0.626155839,0.10654805,0.0648489,0.011119273,0.731931689,1
R_JS035_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235920703,1.86344453,1.948148117,0.124255477,0.113741988,0.231374827,1.039298848,0.27302457,1.363598478,0.023256065,0.0,1.226001613,0.130407426,0.051774,0.084031569,0.0,0.399710878,1
R_JS036_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36798533,1.643884464,2.094217826,0.114196956,0.233168102,0.27142918,1.399249657,0.292710427,0.750918098,0.021377388,0.0,2.002879519,0.339555487,0.142774735,0.019305532,0.00993063,0.47851227,1
R_JS037_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184536007,1.520423444,1.628110277,0.048302509,0.142775751,0.299819222,1.577659198,0.159110377,0.987550593,0.027110723,0.0,1.270266546,0.228006282,0.18110113,0.0,0.0,0.265009652,1
R_JS038_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479677772,1.439713602,3.286213538,0.091437265,0.135204838,0.263528965,1.040396727,0.301352095,1.018129693,0.012837622,0.066641923,1.782767776,0.407848567,0.085739575,0.046373698,0.0,0.283322592,1
R_JS039_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148676706,3.123727381,0.77022838,0.041324602,0.305570468,0.230870174,1.471122516,0.317833847,1.235567097,0.0,0.0,1.16507236,0.433772823,0.103358683,0.041916709,0.0,0.574473294,1
R_JS040_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356968715,1.428546836,1.675531671,0.085816842,0.117839319,0.293251794,1.101733734,0.392849069,1.064699767,0.0,0.0,1.008026832,0.360285198,0.1072925,0.043523221,0.0,0.463481806,1
R_JS041_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405571681,2.195115386,2.401177703,0.088712524,0.16866493,0.378263614,0.93179953,0.389847223,0.869732593,0.024910147,0.0,1.167060712,0.581917252,0.138656192,0.06750001,0.0,0.475177559,1
