,PIEZO1,UBE2Q1,TTYH3,Diagnosis
RNA442_FPKM,14.42176064,17.07552758,6.780219516,0
RNA454_FPKM,12.66700165,16.98751389,12.13793159,0
RNA457_FPKM,17.19622203,17.36322331,29.15712688,0
RNA466_FPKM,20.5117381,15.60093283,13.49382093,0
RNA471_FPKM,18.51442794,17.76140515,15.63264579,0
RNA476_FPKM,21.38089402,18.77237578,14.28171966,0
RNA483_FPKM,13.07782014,16.58931312,8.207062537,0
RNA488_FPKM,17.07013641,17.8866837,12.97065654,0
RNA499_FPKM,17.43209801,17.9022945,10.47225325,0
RNA50_FPKM,13.95127659,24.5199152,7.050495815,1
RNA504_FPKM,20.40314186,20.18631918,14.8495096,0
RNA519_FPKM,15.4072417,19.1926743,10.31710718,0
RNA52_FPKM,7.554411393,22.19305818,0.316599603,0
RNA521_FPKM,21.77232865,20.6006389,11.15752166,0
RNA528_FPKM,17.61814617,18.81177165,13.10312149,0
RNA53_FPKM,18.23886023,16.89670615,9.784594973,0
RNA535_FPKM,13.07029326,18.89954296,8.407998405,1
RNA58_FPKM,14.6881309,15.23096113,8.299115512,0
RNA6_FPKM,16.40888966,16.31203366,8.455270602,0
RNA60_FPKM,19.06227426,18.12144521,7.489592544,0
RNA62_FPKM,10.09957233,15.68655433,7.625741556,0
RNA63_FPKM,9.905714794,15.63597353,4.877058949,0
RNA64_FPKM,9.957185419,14.9295371,2.458258795,0
RNA66_FPKM,6.659487838,19.10153148,4.748401285,0
RNA67_FPKM,16.09583252,18.23268308,9.849268427,0
RNA69_FPKM,14.42189664,18.57730752,8.919219889,0
RNA7_FPKM,11.18910676,14.63607918,6.87463399,0
RNA72_FPKM,14.94997327,18.6385907,8.860892212,0
RNA74_FPKM,18.82852728,21.27438021,8.85134464,0
RNA75_FPKM,16.58498921,18.22699725,9.954219416,0
RNA78_FPKM,11.18390611,12.98750044,11.3170333,1
RNA86_FPKM,19.18453182,19.61093382,7.583615914,1
RNA87_FPKM,21.40142492,17.7032215,14.85293853,0
RNA89_FPKM,9.696153754,17.94820586,10.04096338,0
RNA94_FPKM,4.621927498,16.00041917,0.215250681,1
RNA95_FPKM,16.36410098,15.2368663,13.69862491,0
RNA97_FPKM,16.09826088,18.03328288,5.429141064,0
RNA98_FPKM,14.99851151,15.09631893,13.35569577,1
R_JS001_FPKM,27.1086253,16.43342907,16.48344969,1
R_JS002_FPKM,27.64958883,14.27554657,10.54582107,1
R_JS003_FPKM,37.33068054,12.90659342,25.34937548,1
R_JS004_FPKM,25.52754338,18.08019597,19.57380956,1
R_JS005_FPKM,26.72149873,13.98678027,19.3208492,1
R_JS006_FPKM,24.87870768,14.39944819,15.65387419,1
R_JS007_FPKM,19.5869905,17.05512516,14.55271004,1
R_JS008_FPKM,25.90700876,14.47721997,15.66333912,1
R_JS009_FPKM,28.50225044,12.72370528,24.58182402,1
R_JS010_FPKM,12.76084127,14.8888101,8.334947406,1
R_JS011_FPKM,23.04699231,18.01567523,10.50692006,1
R_JS012_FPKM,20.53146473,17.86953518,6.849086753,1
R_JS013_FPKM,37.78026532,14.48965425,25.92394689,1
R_JS014_FPKM,22.54009673,12.87221178,20.91938388,1
R_JS015_FPKM,19.20759024,10.29076537,15.20595203,1
R_JS016_FPKM,29.27139029,12.58079808,21.24041947,1
R_JS017_FPKM,24.18176604,13.03807075,19.39820706,1
R_JS018_FPKM,34.81642977,14.36406138,22.14601434,1
R_JS019_FPKM,23.51910391,13.8297457,22.81110013,1
R_JS020_FPKM,43.19975125,12.83734415,25.61110881,1
R_JS021_FPKM,16.32279493,10.94871454,15.72128015,1
R_JS022_FPKM,26.62700774,12.78379839,20.81383595,1
R_JS023_FPKM,39.00768244,13.1183466,25.58914826,1
R_JS024_FPKM,29.88711627,9.758219222,25.71704888,1
R_JS025_FPKM,39.7546998,10.30283952,26.99882273,1
R_JS026_FPKM,37.12366598,11.48174457,28.74195147,1
