,PIEZO1,UBE2Q1,TTYH3,CAMTA2,RAB2A,GTF3C6,ZNF222,DENND4B,POLR3GL,RARRES2,MFSD4B,HCFC1,SNX33,HSPA5,RSKR,APH1A,PLXND1,ENSA,ZRSR2,NUP210,SNX20,C9orf78,PACS2,ATP5PF,TAF12,CSRP2,PPID,CASP4,ARHGEF10L,APEH,NCOR2,RSL1D1,HNRNPM,CIR1,MRFAP1,H4-16,SCNM1,KCNC1,FOXK1,SMIM11A,CRNKL1,RAB7A,CAPZB,HTATSF1,MGRN1,PSMC5,OSMR,SBF1,PIGBOS1,ZMAT2,TNS3,SET,SAP30BP,NOL6,LETM1,RARS2,MRPL44,TNFSF12-TNFSF13,MED8,NAALAD2,MAVS,VPS13C,PLEC,GRINA,CLTA,CNBP,ZDHHC24,MTRNR2L8,GINM1,TAF11,GRN,COLGALT1,ATM,CAD,TBC1D10B,RNF26,CSTF1,NPIPB4,MRPL16,Diagnosis
RNA140_FPKM,16.68968909,16.49773595,16.39779893,9.71292135,9.897937324,23.29753648,1.238173408,19.69248341,14.57908107,0.076022268,0.223447449,6.378779268,1.077736283,106.8865271,1.06889193,17.13575849,6.115177077,9.677480194,13.0429183,26.6274092,11.89257642,12.5711883,3.235437085,12.67800561,10.91665227,0.0,10.55541173,15.73737047,2.876007504,12.80012168,6.626354636,10.18345903,14.03368677,19.15157124,22.19197592,0.876393363,10.55337061,0.020117954,5.0031219,0.952998141,4.82247727,17.74885404,8.017021344,9.5989998,4.019459909,8.3465588,0.290427352,20.17024931,5.048961307,42.1065132,1.901576179,33.15686497,4.727677106,3.308463508,3.6304466,7.748891265,16.49119955,15.50598318,5.94425983,0.073464145,5.093819941,5.372516158,37.7270821,19.98023815,8.214827063,25.87371346,5.603687675,3.069008365,9.892230507,9.302464494,67.33255836,21.49033394,3.794383558,3.414875656,10.44039839,17.24751737,2.149464832,0.350577912,12.0697836,1
RNA145_FPKM,13.08859117,18.06804689,11.4264432,12.25070494,11.21155878,15.2462246,1.247581615,18.54319839,11.26240156,0.018200245,0.174091453,5.651963194,0.761260216,120.9783373,0.962242304,10.94940061,4.945523607,8.913507873,16.21050051,22.77884631,11.65770241,12.68579404,2.997445189,14.41241036,12.89183577,0.0,11.75322248,21.97990478,2.081179759,10.01123848,6.997758734,6.748343793,13.48205136,27.08378086,22.36298471,0.466045493,12.94701473,0.008253975,3.983810544,0.857341892,4.81629622,18.32486727,9.011919238,7.006144544,3.463802646,6.424269062,0.057514003,19.30697123,7.04216779,47.05016198,1.075976926,26.25034985,5.280196597,1.991392509,2.964834597,7.146710613,16.78010564,0.0,5.228509475,0.044751504,4.05934758,2.349781248,22.21874799,20.28841894,8.759920596,18.92571335,4.246383541,1.355830785,8.848860045,9.22386039,53.98029313,21.46912945,1.630278694,2.216718301,14.88267925,11.78489551,2.027362116,0.220050922,9.702704012,0
RNA150_FPKM,21.51503195,15.41131117,16.09214424,11.61593875,10.00631925,12.03324761,1.727026852,23.19932812,8.614764816,0.0,0.411298433,7.571118762,0.858810739,110.0654835,1.807523351,9.246069761,6.387727369,6.617382039,18.3503537,33.12327645,17.29517003,10.88668192,2.719959647,8.510572517,9.313500281,0.149284137,10.24725872,22.81611617,2.337999547,7.821844781,8.336491439,7.39128379,13.35692644,30.89001304,16.36074963,0.946225068,8.886273311,0.024372002,6.54491422,0.964642444,4.200502368,11.06047875,8.211041837,7.031056822,6.343778377,5.986782037,0.371555801,25.39277639,6.002005602,36.9001183,1.390180122,23.97156008,4.061011798,3.729188325,3.657543898,5.417854168,18.77459243,0.0,4.972819544,0.25487011,6.765028874,4.484359992,39.95837157,16.74813637,5.95815881,17.34263323,4.310739953,1.564074589,9.112998779,7.950170996,46.32683247,18.58624297,4.964959552,3.349471304,12.05942036,12.8185452,2.1896172,0.499569217,8.391198313,1
RNA151_FPKM,16.49184338,16.31968216,27.83599477,7.555694113,10.02972613,18.35815156,1.331647521,22.49982893,10.92811885,0.0,0.190969834,5.910446836,0.798259787,113.3713182,1.167089993,14.62837778,5.122674198,6.552481735,15.31704328,21.34409599,21.36624008,11.01652004,2.363609259,12.17804558,10.27552692,0.076488299,13.97343916,36.52128254,5.788485596,8.572496335,6.105072384,6.790626695,10.80112271,47.6922163,20.9223738,0.077129882,11.09158687,0.0,3.772750641,0.681022208,5.069390406,16.32299303,7.238763588,6.551999912,3.128662447,5.252365477,0.190367532,12.21241453,8.363438612,38.93687134,2.75994976,20.13536066,4.02155572,2.29312696,2.779563632,5.641134673,30.23106423,0.0,7.115461193,0.07617367,3.903669046,4.01294289,28.76862367,26.12838081,12.28218015,18.0315681,4.466013195,1.45843129,7.191312817,7.31844665,128.5644368,22.6028887,1.708458679,1.647674501,10.75036891,10.00756938,2.072824026,0.382362911,13.45792758,0
RNA152_FPKM,22.50491188,19.46321858,12.64484957,11.00024041,10.84401756,14.40666002,1.400186158,25.5914483,13.75132419,0.083760307,0.232840321,8.934688534,0.876286183,114.961919,1.493210255,10.972054,7.02684813,8.891390659,13.09201594,36.44671208,15.24228819,12.83011037,3.555748043,12.50961268,7.332922225,0.044331351,13.46979153,18.92545742,1.884758495,11.46049284,7.736851083,7.824929633,15.9140107,22.66172643,18.97167613,0.035770599,11.50673185,0.019000113,6.051752811,1.034252977,4.225244809,9.852615742,8.984059911,9.033141151,3.978607216,7.339898861,0.187582191,27.32478236,5.284965766,34.62906611,0.980525165,26.55578211,5.169415105,3.255363709,4.07157745,6.176427297,15.78099704,0.0,5.52288625,0.176611584,5.6389576,4.437473576,35.08827581,17.04680672,8.548503302,18.89044934,4.866571799,2.861276329,8.109801861,9.710289752,45.18512771,20.11971669,3.817934876,3.704962553,14.22956939,12.14558521,3.073081346,0.278628581,8.664438339,0
RNA155_FPKM,11.96145183,15.90299193,11.36801201,11.2164595,11.70057022,20.45481113,0.901145309,18.66769111,13.3784523,0.0,0.186296632,6.464486106,0.761341913,114.9475128,0.997122809,11.35413505,4.040643,10.38063491,23.18771905,22.37231873,13.62396789,12.14568668,2.879602599,14.31533484,13.60710297,0.0,11.19819314,21.025381,2.438900413,9.671322995,7.157297178,8.517656038,16.2251124,34.66243279,22.30886538,0.465472861,14.06420464,0.00588815,3.92522792,0.880749502,5.046854023,17.6907487,11.27601655,8.889937995,2.395381339,7.006336129,0.082060398,18.89873298,6.686268603,50.85940603,0.897144223,30.18368566,5.662709953,2.123614942,2.670979528,6.562151382,17.21610391,2.195220147,6.401439881,0.034207543,4.400101455,3.16326324,22.78012072,14.29134197,9.866181357,19.42518655,4.444456565,2.236808269,9.288319483,8.66239957,52.24673323,24.11174112,1.267614121,2.117504734,14.27630995,11.57193885,2.52393204,0.435631706,12.36322703,0
RNA165_FPKM,21.57992437,18.02572848,13.82760138,13.01381561,10.03625803,13.47679466,1.237711052,28.65382011,9.508595822,0.021873591,0.330970272,9.326758466,0.958210408,127.5578081,1.713716008,12.10018713,5.426903372,7.529038992,11.24020072,39.80914608,10.76810044,16.19922561,3.566205634,9.988031467,9.325862851,0.023153828,8.461525725,15.38910041,2.142055043,9.531604522,10.03781502,7.104394704,12.9464391,21.77297406,21.21839919,0.616486449,8.490610486,0.0430056,8.366201408,1.105204298,5.069419681,19.03498307,9.219912251,6.765349422,6.530131872,5.941943316,0.288182012,28.42048038,4.192677927,32.73467977,1.563446559,27.2170096,4.925754075,3.633618446,4.294932365,6.01859493,13.20961995,0.0,3.106709734,0.146062998,6.498105536,4.224487225,37.30257353,14.11519968,6.068805509,17.47748066,5.923859412,3.260826701,8.912670876,9.170696498,49.53913143,19.65916086,6.912278909,3.968367938,13.42886675,14.32943447,1.97933242,0.668150813,10.79566613,0
RNA174_FPKM,19.59381392,18.37022963,14.73868618,12.37650244,10.6244331,13.62398992,1.404799569,24.16910238,9.296845222,0.039975814,0.499065648,8.235464371,0.969152007,104.2291405,1.846534859,14.8851184,6.24256542,9.55498498,9.658017246,35.48309332,12.23777114,13.10699629,3.196639976,10.43198872,10.40047128,0.031736665,10.1366728,18.9741787,2.918800942,10.13013056,8.009209776,10.19229657,12.51913495,23.63277623,19.98184214,1.348200187,8.318778979,0.018131181,5.324545047,1.017179342,5.193184134,14.63735107,9.153952815,8.476373964,4.897614948,6.118903262,0.336978685,23.20880506,4.891990226,38.6249019,1.945397749,27.11649649,3.918958724,4.018276607,4.044765125,6.265967584,14.82304468,0.0,5.507274345,0.154503123,6.094753242,6.141744946,39.88735049,15.10564457,9.029652186,21.23619907,4.695564794,2.42036945,9.163653121,11.04554957,50.54852399,20.84644858,5.509575972,3.69404167,12.48900425,13.0327884,2.613053229,0.658728839,11.29075628,1
RNA179_FPKM,12.67582888,15.08371764,11.84696806,11.81865768,11.34756346,9.850654459,0.981918479,21.81198293,5.83905936,0.020458547,0.22184492,5.036297011,0.679962452,124.7994582,1.170959652,11.87134868,7.830616175,6.253256422,9.995391068,22.59329026,13.89546768,9.035253139,2.202106604,7.680710131,11.49442972,0.054130126,8.578285831,25.27119108,2.137751544,6.45443009,6.86525428,7.402481192,9.515747624,27.65928535,20.00774268,1.222715205,8.057408803,0.03711752,4.42018051,0.539831633,6.678564916,22.15286551,8.235209676,5.94147496,5.569789332,3.711588771,0.485026616,15.32980581,5.589274033,38.00106927,1.512270688,22.67312176,3.455350405,2.036959179,2.573876124,5.728905911,15.07441598,10.76391727,4.115215528,0.251581161,5.176301995,3.818912953,26.93137561,17.55380267,7.225596456,20.20786124,3.120237657,3.048976039,10.04462811,7.137691508,48.51316966,18.82720899,4.494628456,2.217864888,13.04825513,7.171363598,2.448823021,0.668037087,8.800791436,0
RNA18_FPKM,5.792315584,13.92827683,0.545928415,3.517287568,20.00485131,13.64390539,2.844620621,10.87262053,11.30967666,0.0,0.207225513,1.778473912,0.120168012,213.7057553,1.84464487,4.808146288,2.459556814,3.977821484,21.04954012,13.60928142,9.936954999,12.2860663,1.22811394,22.40473648,12.72982582,0.140948481,18.48687148,32.92208621,0.601035567,2.595777085,2.397906386,10.20558585,13.48595556,43.8259119,21.98322716,0.892104595,7.27212361,0.0,1.913979597,0.888120424,12.21129824,20.2379989,10.35052208,14.81555982,1.581042375,5.379039573,0.572060543,5.099828519,8.901087022,51.82683476,0.913694165,50.43475371,4.530247477,1.689485977,1.653650607,9.925587385,27.26983534,4.981972623,6.527874326,0.511076208,2.994252684,9.127621259,7.591890961,10.8720636,7.274674487,36.16196772,1.876898712,1.653882716,13.61278694,10.88960191,16.6840376,11.35801885,9.022341267,1.685147439,3.073144007,4.994555789,2.531393226,0.662785629,17.3168035,1
RNA185_FPKM,23.57373705,19.84450516,13.14888255,10.99013747,9.580371039,13.35555273,1.103356423,23.65289153,10.97352672,0.097521966,0.321704312,10.05805104,1.021982022,195.7093679,0.985815813,15.81177886,10.24813009,7.324175641,17.06215147,48.02593286,11.38681237,16.27729103,3.311374025,9.680474164,8.934357084,0.041291926,8.924519687,15.15606504,1.723078975,10.54486258,9.671523343,9.32754957,14.43760083,18.19889762,22.19921671,0.249801183,6.907246088,0.026540537,8.129366697,0.874941244,6.057293683,9.809641553,8.071524553,8.539145724,3.585395066,6.930698636,0.400765703,27.96738027,4.810703621,38.05619026,1.163044808,32.63842156,4.674481289,3.268828371,5.107407313,7.153669408,20.44517638,12.76315467,4.714710402,0.185034125,5.986049049,7.134677499,27.00718774,13.69286383,6.728652667,19.93405013,6.079419072,1.150661808,8.48893662,10.32175982,35.95822807,20.72562484,6.196371172,3.302654027,12.92406117,18.59818281,2.506840441,0.418706527,11.28581786,1
RNA2_FPKM,22.47631192,16.67267188,12.363568,11.96618587,10.34993174,15.19251946,0.989958924,24.56706861,8.373647364,0.0,0.274016735,8.379189406,0.661881266,96.07550366,1.753058496,11.51759801,13.87110774,7.586384723,17.8853309,33.90438918,10.16739298,14.95595168,3.877556196,9.628813257,9.369920656,0.084310406,9.027222814,15.77730733,3.039301422,8.554666699,7.536494372,8.441140684,13.69869584,20.12589734,9.474979325,0.578101104,8.831775626,0.036133309,7.021317445,0.76569081,4.248764011,14.53772666,6.611037982,9.912501904,2.967655773,5.774643674,0.230816242,19.46836332,4.533875731,35.42445907,1.957836011,30.11275099,3.900280642,3.065002311,3.531753786,8.118126526,19.31232419,6.119311489,4.948315116,0.153931364,5.627217282,5.441357301,37.33837731,15.39359626,8.203605688,21.23165662,5.299925786,3.89537138,9.191485222,10.79488248,61.64965998,26.19440003,4.669567363,3.351419175,12.14640786,13.84643932,2.658323515,0.596081939,13.3564885,0
RNA201_FPKM,19.73969877,21.31970752,24.47806637,9.031850741,8.198757411,22.59723817,0.611106009,21.38655849,14.52239025,0.0,0.186059224,6.057309131,1.051837872,115.0794224,0.813605379,16.64540281,12.20537649,10.67993632,14.35010987,56.63990655,11.96949417,18.73654994,3.956521741,12.42118134,6.682736423,0.051450714,10.60541954,11.08602059,3.749825967,12.98987355,9.503903573,12.82033896,18.62208195,15.555701,19.59372036,0.235214567,10.8873146,0.009800629,6.889905744,1.117858998,4.576786808,17.48539589,8.18094674,10.60652606,2.763174944,8.89889962,0.110991155,27.65536706,3.53564274,41.50943297,2.463596223,36.60334602,3.439969194,3.313138001,4.752986127,6.585889265,24.45847084,0.0,5.396206459,0.102484158,5.396730585,5.113085395,31.99824773,20.4419364,9.675425635,19.34955965,7.613608387,0.80503106,8.608839755,10.28294434,72.37162384,24.24960113,3.352742497,3.859282503,11.86317022,24.03063751,2.279362861,0.284172834,12.38307902,1
RNA205_FPKM,9.919688282,18.56477751,9.555795238,8.834935504,10.39378405,17.53913664,1.025212245,16.26014761,11.07000769,0.0,0.21612178,5.778417067,0.669329551,112.2515544,1.470348071,14.510565,6.217043507,12.19128396,13.59540828,25.160008,11.94499027,13.17692095,2.797432792,12.28873251,7.07795299,0.032745526,9.261110857,19.43696514,2.019056444,9.317433765,5.991744493,7.424935371,16.25749837,27.58411243,23.1821189,0.563473977,9.419383286,0.015592521,5.112057371,1.135027034,5.295248119,10.25180902,9.181542565,8.328664749,2.912938038,5.546524668,0.152120728,17.33954326,5.673587305,42.63325346,1.173856837,28.57041885,4.994714088,2.876347738,2.46181409,6.925138555,19.95117642,9.027198397,5.68236018,0.043474513,4.281538793,2.839610032,24.2055863,17.31324098,7.961558763,25.6894278,4.739283717,2.6253689,8.496725176,9.875515313,42.15155455,16.77803368,1.927530274,2.086734352,12.72861249,14.13138927,2.650625789,0.318011135,12.75513317,0
RNA209_FPKM,13.93528597,13.92593904,8.39511601,13.37279171,10.25057468,11.944242,1.109913173,21.52960761,8.314829344,0.043155464,0.237975834,6.312880033,0.565434241,108.3468554,1.126971055,11.96690015,4.504329903,8.713061932,11.59165214,29.37363043,11.57033855,11.12869086,2.880347463,8.839593544,10.15506838,0.034265972,8.132669091,17.44514661,1.451340973,9.48939385,7.289523264,5.79598403,14.11587113,25.67469644,18.52460547,0.22113285,8.928953538,0.006525655,5.287436309,0.886807198,4.802696957,15.32281338,9.102798722,6.04981901,4.691957354,5.731578026,0.250155954,22.10021299,4.872834769,43.32326928,0.813659189,24.3925712,4.845260767,3.34643728,3.181566615,6.36478781,13.38944544,0.0,4.396179825,0.128914538,4.764646878,3.214480824,36.09634807,14.00641399,6.600078968,19.60011,4.451625773,2.412451649,8.12311858,8.085989623,46.05333926,19.26625246,5.365693896,3.015730324,15.63558791,11.17718292,2.131045847,0.378482328,8.869340131,0
RNA213_FPKM,15.81154155,17.2995089,9.319180535,11.29761582,11.58024585,18.33067307,1.20598016,22.45037819,11.06361545,0.117237495,0.263558895,7.748037038,0.57311438,141.0233109,1.059675485,12.58235016,7.262139733,9.586186372,14.81347685,33.22879713,13.73150663,10.13138565,3.193791156,14.42376711,11.03403091,0.103416061,12.54064645,15.85072803,1.900347081,11.63066801,7.371087054,7.646401255,14.45049973,26.76493149,20.61412366,0.433818409,10.4779454,0.005909267,4.680183112,1.119732994,4.96990027,15.06062091,9.7084484,9.33218224,4.820442426,7.267092941,0.133851135,24.62739189,5.709894317,43.25282508,0.996760333,29.62209734,3.794559303,2.599328823,3.843524123,6.586354962,16.02548998,0.0,5.483601457,0.102997418,5.043221196,3.383633966,34.92840069,13.60690651,8.285088282,17.71491357,5.070984234,2.791121247,9.716103881,9.586691888,35.22895612,19.76947267,2.346196322,3.551166513,14.28424868,13.53163304,2.41466989,0.384061904,10.98533896,0
RNA219_FPKM,8.341189002,13.90829707,7.64404231,10.41445732,10.35915514,12.83163387,1.427871392,18.65246102,8.948585727,0.0,0.194391967,4.060399728,0.421043001,104.091576,0.979251878,12.06116255,4.359348323,9.191337507,12.66329339,25.6664793,10.10933553,12.95813712,2.329113646,12.39485618,10.29030877,0.021503948,8.547743704,18.69211391,1.238954087,8.327607292,4.399394897,7.737705798,12.9672841,28.56083753,7.473365333,0.503056096,9.581849255,0.009215631,5.365081802,0.696929439,4.545787383,19.37291043,9.281792651,6.399429604,3.148250222,5.921888072,0.160559989,18.61688126,3.623309685,45.61310658,0.575693688,26.87329452,5.391064617,2.115523608,2.517579752,5.63894064,14.58385319,0.0,4.052408709,0.049969484,4.415560975,2.930438525,25.43086166,20.26419237,6.341249791,19.84177824,3.795336725,3.532515018,9.156990282,8.182492652,46.765825,16.10768687,1.766585493,1.96478989,13.17514628,12.80747207,2.241369736,0.405421499,9.047088829,0
