,PIEZO1,UBE2Q1,TTYH3,CAMTA2,Diagnosis
RNA1_FPKM,12.56315439,15.33701028,8.389547122,9.998549464,0
RNA102_FPKM,16.72665929,16.49921814,9.847642372,13.73129326,1
RNA104_FPKM,15.90350143,19.73275742,10.78794442,9.977270474,0
RNA108_FPKM,16.9889054,15.33517082,9.232865196,12.53266355,0
RNA110_FPKM,9.632752893,18.56545826,8.118813298,11.14404826,0
RNA114_FPKM,13.60393333,15.52504923,10.05845341,9.6860953,0
RNA115_FPKM,10.95440303,19.79323282,7.957216921,10.88948753,0
RNA116_FPKM,10.83083556,19.68774257,3.928500077,9.07578214,0
RNA126_FPKM,9.119144018,19.82438826,3.623484172,5.844197963,0
RNA132_FPKM,18.81518896,19.20659267,4.912359615,9.739162972,0
RNA140_FPKM,16.68968909,16.49773595,16.39779893,9.71292135,1
RNA145_FPKM,13.08859117,18.06804689,11.4264432,12.25070494,0
RNA150_FPKM,21.51503195,15.41131117,16.09214424,11.61593875,1
RNA151_FPKM,16.49184338,16.31968216,27.83599477,7.555694113,0
RNA152_FPKM,22.50491188,19.46321858,12.64484957,11.00024041,0
RNA155_FPKM,11.96145183,15.90299193,11.36801201,11.2164595,0
RNA165_FPKM,21.57992437,18.02572848,13.82760138,13.01381561,0
RNA174_FPKM,19.59381392,18.37022963,14.73868618,12.37650244,1
RNA179_FPKM,12.67582888,15.08371764,11.84696806,11.81865768,0
RNA18_FPKM,5.792315584,13.92827683,0.545928415,3.517287568,1
RNA185_FPKM,23.57373705,19.84450516,13.14888255,10.99013747,1
RNA2_FPKM,22.47631192,16.67267188,12.363568,11.96618587,0
RNA201_FPKM,19.73969877,21.31970752,24.47806637,9.031850741,1
RNA205_FPKM,9.919688282,18.56477751,9.555795238,8.834935504,0
RNA209_FPKM,13.93528597,13.92593904,8.39511601,13.37279171,0
RNA213_FPKM,15.81154155,17.2995089,9.319180535,11.29761582,0
RNA219_FPKM,8.341189002,13.90829707,7.64404231,10.41445732,0
RNA23_FPKM,17.2353764,19.70125436,8.509403367,10.15364757,1
RNA246_FPKM,17.27356636,16.50894768,13.34129928,14.21874334,1
RNA253_FPKM,20.77369756,18.49007841,14.72182433,11.71345455,1
RNA26_FPKM,16.14899701,19.16057488,7.265647008,8.821213449,0
RNA277_FPKM,16.45021522,18.75680219,8.181231472,10.84964522,0
RNA288_FPKM,10.87117717,20.58097765,3.765044234,8.477403374,0
RNA29_FPKM,8.072991759,17.81436189,2.828868853,7.935176258,0
RNA295_FPKM,16.4701099,15.86599122,14.22805079,12.69480467,0
RNA3_FPKM,18.45139933,20.6414019,10.54545915,11.03582912,0
RNA302_FPKM,8.238572133,14.04204039,6.666477444,12.28512329,0
RNA303_FPKM,9.27382168,16.16452318,6.425940713,10.87384508,1
RNA31_FPKM,10.08822634,19.08709232,12.53110153,8.781362433,1
RNA314_FPKM,13.89380465,20.4463264,8.376345636,12.41140306,1
RNA319_FPKM,11.45847643,18.5580794,8.239019125,9.594985926,0
RNA32_FPKM,11.06356374,14.18925274,13.56560472,13.56390104,1
RNA328_FPKM,13.36317097,18.07512481,4.635027394,12.4657565,0
RNA331_FPKM,16.44302021,20.59896649,6.567815497,9.603545847,0
RNA334_FPKM,9.570020722,21.50810308,5.736461191,7.784152658,0
RNA335_FPKM,21.77601186,20.68545709,6.723267855,10.56702716,1
RNA336_FPKM,10.56663921,16.60161706,6.548145539,9.561910736,0
RNA35_FPKM,17.42631557,19.16936467,15.65223602,12.97213057,0
RNA358_FPKM,24.34508571,17.52810006,13.63310298,11.61440933,0
RNA365_FPKM,20.62531908,17.57257474,11.1909704,12.06033031,0
RNA368_FPKM,11.35466142,18.51097895,8.381414322,9.106790553,0
RNA37_FPKM,21.80359586,15.5716157,15.24197169,12.16150421,0
RNA379_FPKM,23.17513595,16.1605044,13.88944105,11.52389614,1
RNA38_FPKM,11.41938318,12.30960593,12.58380978,8.551175095,0
RNA383_FPKM,17.774214,15.29886421,11.33447639,11.9468953,0
RNA385_FPKM,17.51010173,19.7511126,16.09918396,12.28104911,1
RNA386_FPKM,14.31786444,17.79982558,11.05832942,9.810526334,0
RNA39_FPKM,19.55443994,16.36592317,10.27477635,11.82280523,1
RNA392_FPKM,18.30042415,17.88180544,16.59750081,12.27141619,0
RNA409_FPKM,18.79487705,16.44998107,13.12371168,11.31603315,0
RNA41_FPKM,5.585653007,16.84394357,9.309360836,10.38963658,0
RNA418_FPKM,15.77782531,16.92248677,13.89154645,10.9845764,0
RNA431_FPKM,11.56596836,16.46904866,5.167155133,10.34750722,1
RNA44_FPKM,12.76305171,16.8183726,5.417587307,10.47211341,1
RNA442_FPKM,14.42176064,17.07552758,6.780219516,9.110398926,0
RNA454_FPKM,12.66700165,16.98751389,12.13793159,9.661260258,0
RNA457_FPKM,17.19622203,17.36322331,29.15712688,10.03884908,0
RNA466_FPKM,20.5117381,15.60093283,13.49382093,12.40363796,0
RNA471_FPKM,18.51442794,17.76140515,15.63264579,12.61436966,0
RNA476_FPKM,21.38089402,18.77237578,14.28171966,10.45308733,0
RNA483_FPKM,13.07782014,16.58931312,8.207062537,13.0544316,0
RNA488_FPKM,17.07013641,17.8866837,12.97065654,12.31583929,0
RNA499_FPKM,17.43209801,17.9022945,10.47225325,10.44099687,0
RNA50_FPKM,13.95127659,24.5199152,7.050495815,7.791636675,1
RNA504_FPKM,20.40314186,20.18631918,14.8495096,10.22006273,0
RNA519_FPKM,15.4072417,19.1926743,10.31710718,17.25680225,0
RNA52_FPKM,7.554411393,22.19305818,0.316599603,3.162276041,0
RNA521_FPKM,21.77232865,20.6006389,11.15752166,9.178571279,0
RNA528_FPKM,17.61814617,18.81177165,13.10312149,12.63605576,0
RNA53_FPKM,18.23886023,16.89670615,9.784594973,11.34530831,0
RNA535_FPKM,13.07029326,18.89954296,8.407998405,11.62085344,1
RNA58_FPKM,14.6881309,15.23096113,8.299115512,12.37465175,0
RNA6_FPKM,16.40888966,16.31203366,8.455270602,9.774513415,0
RNA60_FPKM,19.06227426,18.12144521,7.489592544,12.24427131,0
RNA62_FPKM,10.09957233,15.68655433,7.625741556,11.14956586,0
RNA63_FPKM,9.905714794,15.63597353,4.877058949,14.07219688,0
RNA64_FPKM,9.957185419,14.9295371,2.458258795,7.726555531,0
RNA66_FPKM,6.659487838,19.10153148,4.748401285,8.560638917,0
RNA67_FPKM,16.09583252,18.23268308,9.849268427,12.41468937,0
RNA69_FPKM,14.42189664,18.57730752,8.919219889,13.06964397,0
RNA7_FPKM,11.18910676,14.63607918,6.87463399,11.02890717,0
RNA72_FPKM,14.94997327,18.6385907,8.860892212,11.74970005,0
RNA74_FPKM,18.82852728,21.27438021,8.85134464,11.83824944,0
RNA75_FPKM,16.58498921,18.22699725,9.954219416,11.51432319,0
RNA78_FPKM,11.18390611,12.98750044,11.3170333,12.68181515,1
RNA86_FPKM,19.18453182,19.61093382,7.583615914,12.56055754,1
RNA87_FPKM,21.40142492,17.7032215,14.85293853,11.86795442,0
RNA89_FPKM,9.696153754,17.94820586,10.04096338,9.577043749,0
RNA94_FPKM,4.621927498,16.00041917,0.215250681,7.431191393,1
RNA95_FPKM,16.36410098,15.2368663,13.69862491,10.7806337,0
RNA97_FPKM,16.09826088,18.03328288,5.429141064,9.788865067,0
RNA98_FPKM,14.99851151,15.09631893,13.35569577,12.06621198,1
R_JS001_FPKM,27.1086253,16.43342907,16.48344969,13.90935,1
R_JS002_FPKM,27.64958883,14.27554657,10.54582107,13.12362017,1
R_JS003_FPKM,37.33068054,12.90659342,25.34937548,16.60553622,1
R_JS004_FPKM,25.52754338,18.08019597,19.57380956,11.63294843,1
R_JS005_FPKM,26.72149873,13.98678027,19.3208492,16.21028365,1
R_JS006_FPKM,24.87870768,14.39944819,15.65387419,12.31526744,1
R_JS007_FPKM,19.5869905,17.05512516,14.55271004,14.12557628,1
R_JS008_FPKM,25.90700876,14.47721997,15.66333912,16.77839358,1
R_JS009_FPKM,28.50225044,12.72370528,24.58182402,13.98273868,1
R_JS010_FPKM,12.76084127,14.8888101,8.334947406,12.56979576,1
R_JS011_FPKM,23.04699231,18.01567523,10.50692006,10.85864073,1
R_JS012_FPKM,20.53146473,17.86953518,6.849086753,14.36987186,1
R_JS013_FPKM,37.78026532,14.48965425,25.92394689,16.7873955,1
R_JS014_FPKM,22.54009673,12.87221178,20.91938388,13.62940399,1
R_JS015_FPKM,19.20759024,10.29076537,15.20595203,19.9993369,1
R_JS016_FPKM,29.27139029,12.58079808,21.24041947,15.5202092,1
R_JS017_FPKM,24.18176604,13.03807075,19.39820706,14.19648961,1
R_JS018_FPKM,34.81642977,14.36406138,22.14601434,16.79012801,1
R_JS019_FPKM,23.51910391,13.8297457,22.81110013,14.47792659,1
R_JS020_FPKM,43.19975125,12.83734415,25.61110881,19.18219953,1
R_JS021_FPKM,16.32279493,10.94871454,15.72128015,15.55512321,1
R_JS022_FPKM,26.62700774,12.78379839,20.81383595,16.64789772,1
R_JS023_FPKM,39.00768244,13.1183466,25.58914826,18.42964891,1
