,ENSG00000183111,ENSG00000282998,ENSG00000174417,ENSG00000089597,Diagnosis
0,0.195304525348758,0.2456140350877192,0.4999999999999999,0.0055197792088317,0.0
1,0.1697856413746171,0.2807017543859649,0.2499999999999999,0.2463661453541858,0.0
2,0.2381762504253147,0.3508771929824561,0.2083333333333333,0.2145354185832566,0.0
3,0.1425654984688669,0.3508771929824561,0.2916666666666666,0.2662373505059797,0.0
4,0.413405920381082,0.3508771929824561,0.75,0.6191352345906164,0.0
5,0.1810139503232391,0.4736842105263157,0.3333333333333333,0.5206991720331188,0.0
6,0.2664171486900306,0.1929824561403508,0.625,0.5586016559337627,0.0
7,0.184416468186458,0.2631578947368421,0.2083333333333333,0.2434222631094756,0.0
8,0.0830214358625382,0.3333333333333333,0.4999999999999999,0.2864765409383625,0.0
9,0.2119768628785301,0.5087719298245614,0.6666666666666666,0.1755289788408464,0.0
10,0.2439605307927866,0.4912280701754386,0.7916666666666666,0.2195032198712051,0.0
11,0.1803334467505954,0.3333333333333333,0.7083333333333334,0.7354185832566696,0.0
12,0.0707723715549506,0.3157894736842105,0.1666666666666666,0.2520699172033118,0.0
13,0.1020755358965634,0.2982456140350877,0.4583333333333333,0.2231830726770929,0.0
14,0.0,0.7543859649122806,0.2916666666666666,0.0695492180312787,0.0
15,0.0966315073154134,0.2807017543859649,0.3333333333333333,0.278196872125115,0.0
16,0.153453555631167,0.3333333333333333,0.125,0.2338546458141674,0.0
17,0.5358965634569581,0.2456140350877192,0.4166666666666666,0.9400183992640296,0.0
18,0.2902347737325621,0.2280701754385964,0.0416666666666666,0.3010119595216192,0.0
19,0.1177271180673698,0.4210526315789473,0.2083333333333333,0.2445262189512419,0.0
20,0.181354202109561,0.2105263157894736,0.2083333333333333,0.0154553817847286,0.0
21,0.1687648860156515,0.087719298245614,0.2499999999999999,0.2693652253909844,0.0
22,0.0646478394011568,0.2456140350877192,0.2916666666666666,0.3582336706531739,0.0
23,0.0945899965974821,0.4912280701754386,0.5833333333333334,0.1192272309107635,0.0
24,0.1694453895882953,0.4035087719298245,0.625,0.3589696412143515,0.0
25,0.1902007485539299,0.3684210526315789,0.5416666666666666,0.3190432382704692,0.0
26,0.0677101054780537,0.2631578947368421,0.1666666666666666,0.0,0.0
27,0.1418849948962231,0.0350877192982456,0.3749999999999999,0.0513339466421343,0.0
28,0.2027900646478393,0.2982456140350877,0.4583333333333333,0.2349586016559337,0.0
29,0.2357944879210615,0.4912280701754386,0.2499999999999999,0.2897884084636615,0.0
30,0.4678462061925825,0.3684210526315789,0.125,0.3492180312787488,0.0
31,0.164681864579789,0.1228070175438596,0.2499999999999999,0.4436062557497701,0.0
32,0.1129635930588635,0.5614035087719298,0.2916666666666666,0.498620055197792,0.0
