,ENSG00000104129,ENSG00000108688,ENSG00000125703,ENSG00000128487,ENSG00000130300,ENSG00000130669,ENSG00000133519,ENSG00000151240,ENSG00000152705,ENSG00000154099,ENSG00000160181,ENSG00000161847,ENSG00000161921,ENSG00000169981,ENSG00000170180,ENSG00000173193,ENSG00000185475,ENSG00000186526,ENSG00000188599,ENSG00000196136,ENSG00000196247,ENSG00000197334,ENSG00000197467,ENSG00000197536,ENSG00000198074,ENSG00000202169,ENSG00000204310,ENSG00000204711,ENSG00000205592,ENSG00000226314,ENSG00000226469,ENSG00000227536,ENSG00000228429,ENSG00000229357,ENSG00000230146,ENSG00000230306,ENSG00000230480,ENSG00000230606,ENSG00000232874,ENSG00000233154,ENSG00000233955,ENSG00000234265,ENSG00000234498,ENSG00000235924,ENSG00000235964,ENSG00000236662,ENSG00000237032,ENSG00000237317,ENSG00000237674,ENSG00000238020,ENSG00000239238,ENSG00000239808,ENSG00000240641,ENSG00000242308,ENSG00000244625,ENSG00000248408,ENSG00000251171,ENSG00000252062,ENSG00000253119,ENSG00000253974,ENSG00000254314,ENSG00000255945,ENSG00000259721,ENSG00000261150,ENSG00000261997,ENSG00000265684,ENSG00000268020,ENSG00000270718,ENSG00000272839,ENSG00000273004,ENSG00000273512,ENSG00000274818,ENSG00000275206,ENSG00000275217,ENSG00000276929,ENSG00000278390,ENSG00000279355,ENSG00000280187,ENSG00000280364,ENSG00000282692,Diagnosis
sample_63,813,0,377,1698,18,859,918,3936,53,292,0,510,238,283,0,423,173,1,91,68,500,4,8,488,1,2,1448,25,6,227,19,23,0,0,1,6,7,44,7,8,0,0,11,5,0,31,1,0,0,2,0,0,0,0,199,0,0,10,3,318,0,0,1,969,76,6,0,0,2,15,0,4,0,0,0,19,53,173,0,39,1
sample_64,699,0,276,1539,16,899,686,2822,60,465,0,502,185,240,0,445,170,0,60,51,440,10,8,387,0,2,828,12,2,191,15,30,0,0,2,3,0,41,6,2,0,0,7,6,0,50,0,0,0,4,0,0,0,0,205,1,0,9,1,235,0,0,1,274,68,15,0,0,0,12,0,4,0,0,0,27,29,196,0,41,1
sample_65,702,0,325,2175,13,838,833,3100,72,633,0,457,261,264,0,427,164,0,74,228,388,13,1,447,0,2,1233,20,4,354,35,31,1,0,0,3,4,46,5,0,0,0,9,2,0,16,0,0,0,2,0,0,0,0,167,0,0,19,1,244,0,0,0,442,80,6,0,0,0,14,0,2,0,0,0,40,46,234,0,124,1
sample_66,828,0,355,2269,8,1010,1013,3122,69,630,0,560,267,287,0,475,200,1,87,188,334,11,7,498,0,2,1480,22,2,341,37,24,0,0,3,7,7,47,7,2,0,0,10,4,0,21,0,0,0,4,0,0,0,1,174,0,0,6,0,233,2,0,1,382,66,11,0,0,0,11,0,9,0,0,0,22,38,210,0,92,1
sample_67,760,0,454,2371,9,907,608,4664,34,331,0,482,309,245,2,494,147,0,95,136,296,9,10,330,0,2,1149,69,5,315,8,21,0,0,1,6,13,22,4,3,0,0,3,7,0,16,0,2,0,6,0,0,0,0,146,0,0,4,1,194,0,0,0,592,98,6,1,0,0,15,0,4,0,0,0,47,62,222,0,29,1
sample_68,808,0,375,2254,21,1016,939,3503,67,581,0,531,231,325,1,698,158,1,63,59,423,10,4,506,1,2,1332,17,7,168,12,23,0,0,4,2,9,32,9,1,0,0,11,1,0,19,1,0,0,7,0,0,0,0,196,0,0,12,3,299,0,0,2,660,108,8,0,0,0,14,0,1,0,0,0,39,53,247,0,40,1
sample_69,1093,0,563,2639,4,1687,1453,4727,48,328,0,741,564,440,0,1293,302,2,94,146,667,8,5,621,0,4,2780,36,9,244,17,39,1,0,6,3,7,66,9,1,0,0,12,14,0,38,1,3,0,4,0,0,0,0,266,0,0,8,0,376,0,0,1,1715,69,13,0,0,0,14,0,3,0,0,0,29,78,393,0,22,1
sample_70,1013,0,563,3065,2,1210,842,4039,83,562,0,604,311,454,0,444,278,0,68,11,618,7,1,371,0,3,2162,47,5,202,17,21,0,0,1,2,6,70,5,1,0,0,2,2,0,26,0,1,0,3,0,0,0,0,159,0,0,10,0,187,0,0,0,1280,66,10,0,0,0,17,0,1,0,0,0,24,36,406,0,40,1
sample_71,770,0,405,2233,7,921,1073,2719,103,637,0,555,192,341,0,539,155,2,77,25,402,16,0,273,0,2,1060,18,1,273,21,27,0,0,3,2,4,22,2,1,0,0,6,1,0,43,0,1,0,7,0,0,0,0,182,0,0,14,1,193,0,0,0,359,15,6,0,0,0,20,0,1,0,0,0,42,35,291,0,6,1
sample_72,855,0,364,2025,21,1100,829,2628,78,425,0,630,201,364,0,496,200,0,113,132,383,15,11,461,1,2,1165,3,1,224,15,29,0,0,3,1,8,42,1,5,0,0,12,0,0,28,0,0,0,4,0,0,0,0,212,1,0,17,0,323,0,0,0,63,97,13,0,0,1,27,0,4,0,0,0,37,36,314,0,14,1
sample_73,630,0,371,1549,12,1403,873,2677,26,368,0,604,537,276,2,1172,227,0,71,446,549,9,34,446,5,1,1426,22,1,146,16,15,0,0,2,5,0,22,9,2,0,0,2,0,0,20,0,0,0,4,0,0,0,0,170,0,0,3,1,391,0,0,1,375,97,6,0,0,0,12,1,6,0,0,0,33,48,193,0,27,1
sample_74,833,0,263,2475,3,1388,1265,3188,67,813,0,800,289,306,1,409,231,1,93,7,361,7,2,386,0,0,1480,42,2,231,22,28,0,0,4,3,1,57,1,2,0,0,9,2,0,30,0,0,0,3,0,0,0,0,191,0,0,6,0,220,1,0,1,305,15,12,0,0,0,17,0,3,0,0,0,24,41,307,0,6,1
sample_75,785,0,317,2100,22,1045,782,2718,42,985,0,563,364,338,0,475,237,2,103,151,476,20,10,456,0,1,1303,17,3,316,22,37,0,0,1,6,0,42,4,0,0,0,5,3,0,21,0,0,0,6,0,0,0,0,189,0,0,13,0,197,2,0,0,131,88,18,0,0,0,36,0,6,0,0,0,44,53,276,0,46,1
sample_76,851,0,372,2310,37,1278,950,3256,85,1073,0,687,404,341,1,532,245,0,113,193,431,17,14,528,0,3,1504,10,3,406,27,36,0,0,2,6,8,54,6,1,0,0,8,2,0,34,0,0,0,7,0,0,0,0,252,0,0,8,0,220,0,0,2,187,97,14,0,0,0,42,0,5,0,0,0,40,51,277,0,81,1
sample_77,1164,0,351,3159,7,1551,1244,3775,92,992,0,883,206,464,1,632,217,1,92,42,620,27,3,737,0,4,1513,28,6,282,30,39,0,0,2,3,6,22,1,2,0,0,17,3,0,47,1,2,0,7,0,0,0,0,323,0,0,21,3,422,1,0,1,304,69,24,0,0,0,30,0,5,0,0,0,50,50,322,0,139,1
sample_78,651,0,369,1051,19,805,926,2381,42,267,0,426,346,229,0,1225,146,0,59,159,303,10,27,702,0,2,840,10,4,163,7,27,0,0,1,3,4,17,3,1,0,0,3,3,0,14,0,0,0,5,0,0,0,1,246,0,0,16,1,460,2,0,1,186,66,21,0,0,0,11,0,1,0,0,0,34,101,114,0,18,1
sample_79,739,0,350,2086,1,1215,780,2515,67,674,0,589,226,362,1,566,194,0,57,25,436,13,1,365,0,2,1202,18,2,173,18,28,0,0,0,1,5,67,1,1,0,0,11,1,0,24,1,0,0,2,0,0,0,0,180,1,0,9,0,291,0,0,0,284,44,14,0,0,0,19,0,9,0,0,0,39,31,313,0,37,1
sample_80,728,0,468,2328,4,1172,877,2664,81,669,0,593,213,415,2,557,197,2,62,18,615,16,1,445,0,4,1375,13,0,228,13,36,0,0,1,1,10,83,3,0,0,0,8,1,0,25,0,0,0,4,0,0,0,0,191,0,0,20,0,424,0,0,0,351,41,8,0,0,0,18,0,3,0,0,0,41,28,293,0,25,1
