,ENSG00000006607,ENSG00000019485,ENSG00000044090,ENSG00000049540,ENSG00000055955,ENSG00000075420,ENSG00000080986,ENSG00000081377,ENSG00000087086,ENSG00000091879,ENSG00000103227,ENSG00000104946,ENSG00000105063,ENSG00000105204,ENSG00000111058,ENSG00000112902,ENSG00000112984,ENSG00000114204,ENSG00000119596,ENSG00000120451,ENSG00000123124,ENSG00000124575,ENSG00000124659,ENSG00000125257,ENSG00000128045,ENSG00000131899,ENSG00000132388,ENSG00000136732,ENSG00000136840,ENSG00000142621,ENSG00000145936,ENSG00000151812,ENSG00000152457,ENSG00000155961,ENSG00000161243,ENSG00000163389,ENSG00000163815,ENSG00000170379,ENSG00000173821,ENSG00000173889,ENSG00000174485,ENSG00000174498,ENSG00000174799,ENSG00000178093,ENSG00000178460,ENSG00000182093,ENSG00000184925,ENSG00000196735,ENSG00000197149,ENSG00000197324,ENSG00000197536,ENSG00000198674,ENSG00000199469,ENSG00000199516,ENSG00000200209,ENSG00000201467,ENSG00000201822,ENSG00000203499,ENSG00000204933,ENSG00000205653,ENSG00000209702,ENSG00000212187,ENSG00000212242,ENSG00000213604,ENSG00000213625,ENSG00000214273,ENSG00000215023,ENSG00000216811,ENSG00000220785,ENSG00000221886,ENSG00000224530,ENSG00000225674,ENSG00000226601,ENSG00000226829,ENSG00000227288,ENSG00000227411,ENSG00000227459,ENSG00000227960,ENSG00000228021,ENSG00000228392,ENSG00000229402,ENSG00000230042,ENSG00000230606,ENSG00000231170,ENSG00000231849,ENSG00000232064,ENSG00000232771,ENSG00000232953,ENSG00000233533,ENSG00000233934,ENSG00000234056,ENSG00000235978,ENSG00000236509,ENSG00000236977,ENSG00000237015,ENSG00000237213,ENSG00000240476,ENSG00000241286,ENSG00000242140,ENSG00000242808,ENSG00000243738,ENSG00000244061,ENSG00000244113,ENSG00000244266,ENSG00000244661,ENSG00000244945,ENSG00000246090,ENSG00000246922,ENSG00000247728,ENSG00000248735,ENSG00000249238,ENSG00000249479,ENSG00000249482,ENSG00000250243,ENSG00000250866,ENSG00000251079,ENSG00000251873,ENSG00000252190,ENSG00000252238,ENSG00000252507,ENSG00000252929,ENSG00000252948,ENSG00000253084,ENSG00000253670,ENSG00000254122,ENSG00000254469,ENSG00000255035,ENSG00000255438,ENSG00000256400,ENSG00000256596,ENSG00000257058,ENSG00000257065,ENSG00000257654,ENSG00000257986,ENSG00000258744,ENSG00000259241,ENSG00000259496,ENSG00000259867,ENSG00000259999,ENSG00000260708,ENSG00000261460,ENSG00000262171,ENSG00000262660,ENSG00000264125,ENSG00000264513,ENSG00000264850,ENSG00000265552,ENSG00000266947,ENSG00000267058,ENSG00000267295,ENSG00000268895,ENSG00000269376,ENSG00000270751,ENSG00000271667,ENSG00000272189,ENSG00000273933,ENSG00000275134,ENSG00000275226,ENSG00000275611,ENSG00000276136,ENSG00000276769,ENSG00000276897,ENSG00000276952,ENSG00000277693,ENSG00000278126,ENSG00000279400,ENSG00000279452,ENSG00000279619,ENSG00000279649,ENSG00000279724,ENSG00000279752,ENSG00000281344,ENSG00000283156,ENSG00000283354,ENSG00000283396,Disese Group
sample_47,1965,945,1741,352,115,1140,2,1211,5847,69,701,2313,1909,1184,880,2610,1,2,5305,3982,3322,103,565,223,30,1207,769,195,103,24,4,265,146,581,211,287,20,69,4790,6033,7197,147,572,47,53,3367,215,62,76,1267,384,0,0,0,2,0,0,189,0,3,0,0,0,0,684,30,3,0,149,429,1,4,0,0,67,0,0,23,3,3,0,59,19,6,0,0,0,18,0,0,10,33,0,49,2,0,1,0,6,350,3,13,24,3,0,48,52,10104,81,0,461,0,1,1,0,31,0,0,0,1,0,0,0,0,668,210,9,1,9,19,0,0,0,0,3,1,0,12,21,111,1870,0,0,2,0,1,0,154,189,0,173,28,0,1,14,0,0,0,4,24,0,0,8,1,59,340,0,52,90,0,8,33,24,0,0,1
sample_48,1758,790,1496,398,91,1023,4,1144,4641,33,687,1975,1725,1071,849,2246,1,1,4632,3050,3307,74,465,114,27,1084,761,136,113,10,1,230,158,705,238,258,7,76,6028,6796,6111,90,598,45,44,2809,135,1,55,1149,186,0,0,0,2,0,0,161,0,1,0,0,0,0,609,38,5,0,111,637,2,5,0,0,32,0,0,14,10,1,0,44,13,4,0,0,0,15,0,0,17,20,0,32,0,0,0,1,3,398,5,10,16,4,0,5,47,7391,64,0,343,0,0,0,0,43,0,0,0,0,0,0,0,0,525,190,11,0,8,15,0,0,0,0,3,0,0,5,14,150,1961,0,0,0,1,2,0,192,252,0,153,21,0,0,10,0,0,0,11,34,0,0,15,0,85,79,0,18,123,0,2,40,14,0,0,1
sample_49,1839,953,1513,373,47,1119,4,1130,6086,42,744,2205,1902,1057,821,3650,2,0,4936,4186,3201,83,751,325,21,1311,905,125,93,42,12,105,203,753,232,381,18,114,4102,5754,6502,205,489,48,51,2264,194,20,71,1435,340,0,0,0,1,0,0,211,0,1,1,0,0,0,806,35,5,0,128,461,0,4,2,0,42,0,0,10,2,1,0,68,25,0,0,0,0,14,0,0,9,32,0,30,2,0,0,0,0,295,3,5,14,2,0,28,60,5596,67,1,84,0,0,0,0,31,0,0,0,4,0,0,0,0,655,177,10,0,7,17,1,0,0,0,3,1,0,20,16,113,1226,0,0,1,0,1,0,144,125,0,178,20,0,0,16,0,0,0,4,19,1,0,15,0,59,243,0,40,150,0,1,33,27,0,0,1
sample_50,1779,871,1464,425,89,1005,1,1066,4716,79,698,2429,1896,1302,934,2767,0,6,5847,3723,3238,129,498,279,20,1216,713,198,91,28,1,241,174,716,180,289,13,99,4842,6830,6621,88,760,33,35,2648,152,22,51,1259,340,0,0,0,2,0,0,200,0,3,0,0,0,0,608,30,6,0,124,469,7,4,1,0,70,0,0,20,8,0,0,57,20,3,0,0,0,14,0,0,9,42,0,42,4,0,4,0,2,349,1,7,21,5,0,19,31,5654,55,0,748,0,1,1,0,58,0,0,0,2,0,0,0,0,567,233,26,1,10,37,0,1,0,0,1,0,0,5,40,68,1621,0,0,0,0,3,0,147,308,1,96,33,0,0,5,0,0,0,8,19,0,0,22,0,64,204,0,14,171,0,6,81,18,0,0,1
sample_51,2313,769,1826,485,80,1638,2,1308,7754,174,869,2975,1985,1932,603,2982,0,4,6010,4427,3420,118,649,198,11,1117,721,205,130,34,3,265,184,532,196,377,12,212,5851,7649,7750,125,813,64,74,3862,270,11,57,1481,354,0,0,0,1,0,0,341,0,0,1,0,0,0,854,70,1,0,190,579,3,3,5,0,64,0,0,20,5,3,0,70,24,8,0,0,0,12,0,0,13,25,0,59,0,0,1,0,6,660,4,6,8,3,0,21,103,4582,68,0,676,0,0,0,0,95,0,0,0,3,0,0,0,0,629,287,14,0,11,19,2,0,0,0,3,0,0,15,36,86,1597,0,0,2,0,9,0,172,379,0,142,26,0,1,13,0,0,0,7,24,0,0,12,1,131,343,1,24,151,0,8,39,22,0,0,1
sample_52,1562,662,1523,399,80,1256,1,1209,5466,52,634,2135,1729,1575,732,2652,3,2,4839,2847,3132,69,509,214,21,1071,656,405,96,16,2,248,186,530,187,301,8,105,4979,6407,7274,84,606,47,42,2993,122,49,54,1788,262,0,0,0,4,0,0,143,0,1,1,0,0,0,692,27,1,0,89,443,3,0,1,0,86,0,0,16,9,0,0,45,25,11,0,0,0,4,0,0,19,13,0,30,1,0,1,0,2,424,1,9,5,7,0,9,44,7969,58,0,330,0,0,0,0,71,0,0,0,1,0,0,0,0,474,207,19,0,21,18,1,0,0,0,3,1,0,5,23,135,1985,0,0,1,0,5,0,125,272,0,61,33,0,0,9,1,0,0,8,23,0,0,11,1,70,155,0,28,130,0,10,45,16,0,0,1
sample_53,2395,1082,2243,645,145,1377,2,1380,6760,38,975,3336,2987,1984,904,4407,1,3,7441,4779,3518,77,817,276,28,1594,830,335,179,20,3,429,272,608,244,586,15,80,6000,7435,7678,163,784,43,64,2606,280,85,72,2060,499,0,0,0,6,0,0,308,0,4,5,0,0,0,935,56,0,0,175,525,2,4,0,0,110,1,0,20,9,2,0,78,47,21,0,0,0,19,0,0,17,23,0,67,0,0,0,1,1,416,5,4,1,1,0,27,72,27932,69,2,547,0,0,0,0,90,0,0,0,0,0,0,0,0,948,270,22,1,6,16,1,0,0,0,3,0,0,16,34,120,2168,0,0,1,0,2,0,118,259,0,135,47,0,0,23,0,0,0,6,30,0,0,22,0,133,243,0,25,176,0,2,36,38,0,0,1
sample_54,2097,767,1631,366,101,1354,2,1241,5182,51,772,2986,2098,1579,852,2095,5,3,5640,4045,3149,43,531,230,23,1070,551,132,88,16,1,486,182,456,218,463,11,145,5534,6244,9821,141,618,29,52,2408,217,1,68,1396,423,0,0,0,2,0,0,277,0,5,1,0,0,0,780,29,1,0,111,538,3,2,2,0,79,0,0,20,3,0,0,60,29,8,0,0,0,39,0,0,2,33,0,36,0,0,1,0,6,458,4,4,12,3,0,23,49,12603,75,2,429,0,0,0,0,76,0,0,0,3,0,0,0,0,555,203,4,0,8,36,1,2,0,0,4,0,1,8,23,110,1001,0,0,0,0,8,0,148,166,0,112,22,2,0,8,0,0,0,8,18,1,0,20,1,89,281,0,22,149,0,8,26,15,0,0,1
sample_55,1885,829,1566,371,88,1184,0,1196,5922,37,702,2389,1883,1428,773,2777,2,4,5223,3065,3348,55,528,173,23,1121,703,269,96,20,5,351,188,551,187,422,18,64,5500,6488,6346,188,579,37,45,3287,228,46,56,1655,362,0,0,0,0,0,0,284,0,3,0,0,0,0,834,50,4,0,155,515,2,1,0,0,46,0,0,20,4,3,0,62,16,8,0,0,0,31,0,0,13,17,0,37,0,0,2,0,2,516,5,1,12,1,0,29,59,9632,93,0,341,0,0,0,0,64,0,0,0,1,0,0,0,0,599,225,13,0,22,21,0,0,1,0,4,0,0,7,11,140,1631,1,0,4,0,4,0,128,243,0,94,16,0,0,14,0,0,0,6,15,0,0,10,0,90,230,0,29,116,0,1,53,29,0,0,1
sample_56,1762,757,1774,353,41,1441,4,1329,9984,72,562,2842,1665,1579,782,2081,2,1,5773,3463,3594,95,688,210,26,1017,846,142,150,13,4,328,202,744,220,383,6,76,3850,8482,8023,105,949,58,89,3966,163,73,56,1303,215,0,0,0,0,0,0,192,0,0,1,0,0,0,787,77,3,0,97,620,1,4,2,0,37,0,0,14,6,3,0,38,27,7,0,0,0,6,0,0,11,11,1,34,0,0,0,0,4,581,4,9,10,1,0,5,50,7618,57,2,229,0,0,0,0,19,0,0,0,2,0,0,0,0,541,181,9,0,11,15,1,0,0,0,6,0,0,14,15,282,980,0,0,0,0,3,0,148,275,0,100,21,1,0,18,0,0,0,9,15,0,0,16,0,116,94,0,22,90,0,5,44,18,0,0,1
sample_57,1815,648,1478,363,95,1337,2,1149,6440,54,665,2226,1699,1232,732,2232,3,4,5157,3287,2979,56,476,138,23,876,600,136,93,12,1,282,154,482,173,305,16,123,4407,6049,7546,108,594,33,28,3462,241,52,67,1229,337,0,0,0,1,0,0,172,0,5,4,0,0,0,638,37,1,1,143,373,2,1,0,0,61,0,0,23,9,0,0,50,17,4,0,0,0,14,0,0,7,25,0,39,3,0,2,0,4,436,2,9,15,1,0,55,59,8484,88,0,436,0,0,0,0,32,0,0,0,1,0,0,0,0,576,202,17,0,13,21,0,0,0,0,4,1,0,16,15,152,1473,1,0,1,0,3,0,136,236,0,94,25,0,0,13,0,0,0,7,17,0,0,16,0,67,353,0,28,103,0,5,31,23,0,0,1
sample_58,2019,687,1874,381,99,1282,1,1181,6091,48,729,2468,1904,1411,710,2158,0,2,4901,3020,3348,66,564,75,26,904,680,121,99,14,4,346,148,605,214,293,9,129,6303,7234,6895,76,582,35,39,3139,386,4,55,1404,191,0,0,0,7,0,0,229,1,2,2,0,0,0,671,52,2,0,122,612,1,1,0,0,46,0,0,14,9,0,0,42,19,11,0,0,0,10,0,0,10,13,0,35,2,0,1,0,3,405,5,11,14,1,0,22,54,10717,79,0,374,0,0,0,0,69,1,0,0,5,0,0,0,0,547,212,16,0,19,12,0,0,0,0,3,2,1,8,9,196,1776,0,0,0,0,7,0,183,295,0,139,23,1,0,11,0,0,0,15,25,0,0,17,1,104,100,0,21,133,0,3,38,14,0,0,1
sample_59,2062,785,1567,482,70,1255,2,1229,5373,99,728,2364,1881,1692,1062,2419,3,3,5383,3760,3343,83,467,205,38,1052,685,295,107,13,5,246,186,547,219,303,11,91,5181,6635,6934,154,635,41,39,3041,162,36,40,1633,318,0,0,0,1,0,0,218,0,3,1,0,0,0,729,32,2,0,160,437,2,2,0,0,86,1,0,20,16,0,0,65,13,24,0,0,0,15,0,0,9,20,0,46,0,0,1,0,1,566,4,6,8,7,0,31,53,13080,56,0,432,0,0,1,0,70,0,0,0,5,0,0,0,0,557,220,20,0,15,18,0,0,0,0,3,0,0,5,22,135,1824,0,0,5,0,1,0,135,217,0,78,33,1,0,7,0,0,0,3,18,0,0,20,0,63,353,0,16,165,0,5,50,20,0,0,1
sample_60,2021,737,1719,442,75,1545,2,1300,8722,84,796,2909,2313,2154,958,3598,1,2,6456,3681,3924,174,887,364,36,1139,829,456,129,55,1,364,239,706,215,362,11,157,5000,8267,9418,86,953,48,57,3888,162,39,67,1711,274,0,0,0,0,0,0,301,0,0,1,0,0,0,861,44,1,0,115,758,2,3,1,0,32,0,0,11,4,0,0,51,29,2,0,0,0,12,0,0,8,28,0,32,3,0,1,0,0,513,2,5,15,2,0,12,25,6460,54,0,590,0,0,1,0,62,0,0,0,2,0,0,0,0,609,226,17,0,2,23,1,0,1,0,2,0,0,7,10,103,1947,0,0,0,0,2,0,149,381,0,82,26,0,0,5,0,0,0,8,22,0,0,25,1,104,152,0,24,165,0,2,52,19,0,0,1
sample_61,2548,1309,2141,316,117,1566,2,1528,12370,52,824,2754,2758,1575,1213,2424,1,1,7055,5650,3979,56,562,296,40,1716,1004,388,178,20,4,123,269,883,465,613,11,76,6479,7426,9045,125,712,35,91,2475,354,62,55,1595,624,0,0,0,2,0,0,187,0,1,0,0,0,0,981,32,8,0,162,559,3,5,0,0,78,0,0,38,0,1,0,67,49,6,0,0,0,19,0,0,19,45,0,67,1,0,2,0,2,469,9,11,3,2,0,21,97,10344,71,1,824,0,0,0,0,78,0,0,0,4,1,0,0,0,933,249,21,0,7,20,0,0,0,0,5,0,0,11,30,80,531,0,0,1,0,2,4,119,246,0,169,42,0,0,29,0,0,0,4,21,0,0,20,0,105,479,0,20,128,0,25,46,20,0,0,1
sample_62,1748,737,1338,329,52,1243,1,1137,5788,20,611,2148,1699,1145,544,3184,0,0,5338,3719,3059,60,494,139,17,878,661,255,94,11,3,379,151,607,193,287,14,37,4126,6339,5997,80,692,36,55,2639,121,29,59,1311,212,0,0,0,0,0,0,209,0,1,0,0,0,0,705,58,6,0,90,529,1,3,0,0,51,0,0,17,5,0,0,44,37,9,0,0,0,8,0,0,6,12,0,35,0,0,0,1,3,482,5,5,3,1,0,18,58,11937,54,1,257,0,0,0,0,64,0,0,0,2,0,0,0,0,425,215,8,0,10,9,0,0,1,0,3,1,0,8,10,218,1464,0,0,0,0,5,0,150,196,0,60,28,0,0,11,0,0,0,6,29,0,0,14,0,95,93,1,20,104,0,2,27,28,0,0,1
sample_63,1926,1412,1604,390,94,1014,2,1022,6603,89,851,2597,2083,1158,984,3983,3,8,5497,5012,2826,106,504,284,30,1665,901,120,125,31,2,145,244,692,260,429,18,80,4942,6133,6545,154,679,34,52,1998,304,62,60,1490,488,0,0,0,0,0,0,141,0,2,1,0,0,0,726,9,4,0,147,448,4,3,0,0,114,1,0,38,4,2,0,55,44,8,0,0,0,9,0,0,19,32,0,32,2,0,1,0,1,327,1,4,6,6,0,29,49,7027,61,0,332,0,0,0,0,26,0,0,0,1,0,0,0,0,787,204,27,0,4,21,0,1,0,0,1,6,0,18,27,101,766,0,0,1,0,1,0,127,211,0,133,41,0,0,15,0,0,0,10,27,0,0,10,0,80,398,0,16,117,0,9,63,50,0,0,1
sample_64,1679,772,1426,415,82,1099,0,1050,4606,61,601,2370,1658,1121,741,2600,1,0,4723,3987,2234,89,354,136,22,1066,490,230,97,18,3,175,182,393,154,322,9,56,4429,5226,5528,107,644,41,52,2282,212,46,38,1192,387,0,0,0,1,0,0,189,0,1,2,0,0,0,630,17,5,0,122,402,3,2,0,0,131,0,0,42,3,0,0,43,41,11,0,0,0,6,0,0,16,11,0,55,0,0,0,0,3,407,3,3,4,1,0,27,44,10062,50,1,422,0,0,0,0,39,0,0,0,3,0,0,0,0,628,196,10,0,5,17,2,0,0,0,4,3,0,17,38,113,1415,0,0,5,0,0,0,117,204,0,42,33,0,0,11,0,0,0,1,20,0,0,15,0,94,393,0,14,126,0,9,56,38,0,0,1
sample_65,1878,1041,1462,359,71,1162,3,1191,6762,66,688,2372,1720,1243,864,3648,0,3,5330,4138,3262,195,441,314,20,1258,734,252,95,37,5,150,210,580,203,365,17,74,5112,6384,5993,168,643,34,63,2478,172,69,47,1390,447,0,0,0,1,0,0,199,0,3,0,0,0,0,830,37,3,0,148,445,3,5,0,0,76,0,0,21,6,1,0,59,46,18,0,0,0,10,0,0,18,39,0,48,0,0,3,0,2,564,5,9,13,0,0,41,44,6217,63,2,309,0,0,0,0,34,0,0,0,3,1,0,0,0,671,239,15,0,0,18,0,0,1,0,4,0,0,22,22,84,1462,0,0,0,0,3,0,141,191,0,89,15,1,0,18,0,0,0,6,25,0,0,19,0,72,443,0,23,127,0,6,30,29,0,0,1
sample_66,2076,1101,1662,365,84,1223,2,1274,8650,50,792,2919,2118,1321,1008,3924,0,5,5923,4097,2975,220,565,321,32,1363,696,262,118,55,5,176,197,539,271,414,30,81,5067,6296,6163,197,627,43,61,2367,246,55,66,1514,498,0,0,0,0,0,0,237,0,3,1,0,0,0,825,30,7,0,171,447,2,1,2,0,102,0,0,39,4,3,0,73,47,21,0,0,0,10,0,0,9,30,0,37,1,0,1,0,4,472,0,5,15,5,0,43,48,7638,63,0,342,0,0,0,0,26,0,0,0,4,0,0,0,0,794,233,20,3,0,22,4,0,2,0,7,1,0,18,35,92,1615,0,0,2,1,3,0,140,199,0,97,27,0,0,29,0,0,0,4,22,0,0,15,0,76,410,0,24,144,0,11,30,37,0,0,1
sample_67,1661,715,1324,332,50,1264,1,1089,6860,186,721,2139,1997,1389,998,2694,2,0,5191,3175,2986,113,570,193,52,1243,795,233,115,33,2,185,143,656,199,275,13,192,5094,5931,8044,80,613,29,35,2779,322,77,66,1434,330,0,0,0,1,0,0,128,0,0,2,0,0,0,596,32,0,0,159,417,2,0,0,0,38,0,0,10,5,0,0,54,22,10,0,0,0,20,0,0,7,35,0,26,1,0,0,0,4,287,3,7,11,4,0,16,86,3511,74,1,271,0,0,0,0,2,0,0,0,5,0,0,0,0,645,193,16,0,8,15,2,0,0,0,2,2,0,18,15,215,849,2,0,2,0,0,0,144,272,0,129,23,0,0,12,0,0,0,16,21,0,0,12,0,25,136,0,45,114,0,7,42,6,0,0,1
sample_68,1921,1295,1661,426,87,1222,2,1233,6007,50,818,2878,2230,1595,1136,3891,2,4,6315,4141,3385,60,656,435,48,1478,906,302,121,41,7,271,270,710,275,430,11,90,4584,6700,7194,155,631,26,67,2402,284,94,65,1416,506,0,0,0,1,0,0,219,0,4,0,0,0,0,703,28,3,0,102,516,8,5,0,0,151,1,0,36,9,1,0,43,32,3,0,0,0,9,0,0,15,35,0,30,0,0,4,0,2,350,9,7,6,3,0,17,42,5790,70,0,184,0,0,0,0,79,0,0,0,5,0,0,0,0,766,270,21,1,0,28,0,0,0,0,1,4,0,22,29,104,1030,0,0,0,0,5,0,117,211,0,147,37,0,0,15,0,0,0,12,18,3,0,11,1,93,346,0,21,87,0,15,74,41,0,0,1
sample_69,2619,2144,2406,905,124,1549,1,1640,17367,50,1251,3767,3733,1909,1755,7445,2,3,7791,6789,3843,87,1112,499,101,2706,1456,578,286,48,7,148,362,1235,647,625,30,177,5527,7543,9836,253,790,57,64,2536,298,103,88,3503,621,0,0,0,4,0,0,171,0,1,1,0,0,0,1292,28,11,0,262,807,7,3,1,0,122,0,0,27,19,3,0,53,66,18,0,0,0,24,0,0,14,44,0,51,2,0,2,0,0,632,5,11,4,3,0,27,106,5801,106,0,216,0,0,0,0,56,0,0,0,0,0,0,0,0,1163,243,30,4,14,26,3,0,0,0,8,1,0,28,5,156,474,2,0,2,0,3,0,189,270,0,228,42,0,0,50,1,0,0,5,35,1,0,14,1,88,314,0,56,126,0,6,23,73,0,0,1
sample_70,2437,1572,2072,332,94,1353,7,1502,7790,57,830,3421,2959,1801,845,3843,5,1,6760,6134,5126,73,1164,525,67,2193,1399,141,162,25,3,267,326,1270,455,571,31,59,5700,7728,8844,215,956,50,84,3161,106,32,64,1467,371,0,0,1,6,0,0,217,0,1,2,0,0,0,976,41,9,0,178,869,5,5,0,0,62,0,0,9,4,1,0,68,70,6,0,0,0,17,0,0,4,16,0,34,1,0,3,0,3,429,9,11,16,5,1,7,81,8105,82,0,712,0,0,0,0,59,0,0,0,4,0,0,0,0,678,244,27,0,22,27,1,0,1,0,8,1,0,23,8,157,1899,0,0,6,0,2,0,191,282,0,230,33,0,0,47,0,0,0,2,32,0,0,18,2,96,68,0,17,108,0,4,36,32,0,0,1
sample_71,1988,844,1494,389,80,1235,4,1195,4191,29,620,2429,1823,1140,655,3813,0,2,5523,4457,3226,54,413,178,17,1025,749,133,101,29,3,424,179,586,211,408,10,60,4804,6817,6461,92,737,22,69,2674,180,23,55,1249,273,0,0,1,1,0,0,253,0,2,0,0,0,0,868,59,11,0,133,494,3,4,0,0,96,0,0,24,1,0,0,43,22,8,0,0,0,7,0,0,10,27,0,59,0,0,0,0,4,435,5,10,3,1,0,17,62,13339,67,0,370,0,1,0,0,59,0,0,0,4,0,0,0,0,576,237,12,1,16,15,3,0,0,0,0,0,0,19,9,175,1613,0,0,0,1,7,0,182,232,0,70,27,2,0,11,0,0,0,7,24,0,0,21,0,99,128,0,24,139,0,5,45,23,0,0,1
sample_72,2139,865,1898,435,109,1415,3,1469,11872,38,801,2780,2278,1566,757,1880,2,2,5909,4201,3618,31,417,168,20,1131,641,211,148,21,4,198,220,585,288,608,14,75,5158,6703,7473,99,691,37,84,2381,353,61,41,1473,461,0,0,0,1,0,0,230,0,2,1,0,0,0,784,44,21,0,172,490,3,1,1,0,92,1,0,34,5,2,0,43,42,5,0,0,0,9,0,0,7,23,0,75,1,0,1,1,5,536,0,9,3,1,0,18,88,19239,46,1,597,0,0,0,0,66,0,0,0,2,0,0,0,0,610,196,25,0,8,13,0,0,0,0,4,0,0,9,20,85,674,0,0,1,0,6,0,106,237,0,98,43,1,0,16,0,0,0,6,11,0,0,18,0,95,437,0,23,130,0,11,79,22,0,0,1
sample_73,1806,1072,1446,563,38,2096,1,1261,18715,57,647,1964,1841,993,1762,4101,6,5,5668,4113,2716,178,531,452,49,1231,844,337,181,50,10,152,242,592,252,384,16,145,4833,6414,8977,136,610,44,55,2037,225,224,81,4208,446,0,0,0,0,0,0,155,0,1,1,0,0,0,1178,9,3,0,166,392,7,3,1,0,148,0,0,35,3,3,0,40,22,16,0,0,0,3,0,0,18,51,0,37,3,0,6,0,3,575,9,3,2,9,0,19,142,5392,68,0,211,0,0,0,0,36,0,0,0,5,0,0,0,0,1051,169,12,0,5,14,1,0,5,0,7,1,0,15,15,151,434,0,0,3,0,0,0,149,155,0,41,18,0,0,26,0,0,0,8,21,0,0,13,0,91,1051,1,28,64,0,26,42,62,0,0,1
sample_74,2120,939,1764,442,106,1432,2,1100,6716,33,890,2946,2396,1555,635,3115,1,1,6569,4399,2943,49,529,197,30,1176,666,118,147,20,4,378,175,567,240,345,9,68,5033,6375,5918,139,598,40,42,2416,209,31,72,1677,386,0,0,0,2,0,1,326,0,5,5,0,0,0,691,51,4,0,139,466,2,3,0,0,103,0,0,29,3,0,0,47,57,10,0,0,0,5,0,0,5,21,0,35,3,0,0,0,2,414,3,8,5,3,0,16,58,14180,69,0,415,0,0,0,0,71,0,0,0,6,0,0,0,0,655,226,8,0,7,20,0,0,0,0,3,1,0,11,23,280,1489,0,0,0,0,3,0,147,238,0,62,32,0,0,13,0,0,0,5,24,0,0,15,0,82,149,0,42,155,0,10,22,17,0,0,1
sample_75,2428,805,1779,297,105,1693,2,1326,8677,44,725,2733,1887,1665,817,3382,1,3,5921,4282,3406,140,581,315,26,1092,799,241,111,26,4,259,237,604,176,464,10,104,5191,7480,8515,148,834,46,79,3227,189,76,85,1685,456,0,0,0,2,0,0,313,0,1,3,0,0,0,973,40,3,0,171,480,1,0,1,0,46,0,0,12,6,6,0,61,42,8,0,0,0,4,0,0,9,24,0,42,0,0,1,0,4,537,4,2,8,5,0,76,72,7769,76,2,474,0,0,1,0,31,0,0,0,0,0,0,0,0,603,213,13,3,0,10,2,1,0,0,3,0,0,9,24,112,905,0,0,2,0,3,0,160,197,0,59,16,0,0,14,0,0,0,8,21,1,0,20,0,137,403,0,28,155,0,1,58,21,0,0,1
sample_76,2634,976,1889,417,122,1897,2,1441,9601,73,865,3370,2312,1998,883,3206,1,4,6775,4967,3606,178,621,297,22,1321,827,406,129,56,3,273,240,616,206,521,13,148,6247,7804,8807,188,860,76,87,3264,256,83,76,1867,528,0,0,0,5,0,0,317,0,1,0,0,0,0,1101,39,5,0,182,480,2,2,3,0,72,0,0,22,4,2,0,55,54,17,0,0,0,4,0,0,12,25,0,65,0,0,4,0,0,595,5,6,1,4,0,99,65,8378,70,2,571,0,0,0,0,32,0,0,0,3,0,0,0,0,818,257,10,1,0,16,1,0,0,0,4,0,0,25,21,151,1140,0,0,0,0,3,0,165,213,0,89,29,0,0,9,0,0,0,2,21,0,0,16,0,128,488,0,26,162,0,7,32,20,0,0,1
sample_77,3050,1255,2457,557,165,1666,2,1683,6048,44,1134,3684,3137,1631,990,4072,2,3,8339,5080,4272,87,691,408,34,1260,977,238,149,24,3,358,250,631,312,626,35,71,7408,8505,7947,289,907,33,59,2944,235,23,56,1811,737,0,0,0,1,0,0,418,0,0,5,0,0,0,1060,35,28,0,191,524,3,3,2,0,161,0,0,57,4,1,0,87,22,6,0,0,0,20,0,0,8,43,0,129,1,0,0,0,3,615,6,3,4,5,0,66,63,24774,92,0,630,0,0,0,0,102,0,0,0,0,0,0,0,0,894,297,17,0,19,37,0,0,0,0,11,0,0,10,44,106,1753,0,0,2,0,10,0,185,311,0,99,50,2,0,19,0,0,0,8,27,0,0,31,0,130,432,0,41,248,0,8,55,63,0,0,1
sample_78,1666,832,1137,980,79,1554,6,1223,5492,46,682,1911,1384,763,1208,3508,5,1,4841,2865,2090,218,277,563,72,866,574,203,157,49,3,154,211,379,170,404,7,76,4154,5850,7377,140,483,25,41,1362,309,206,63,1618,702,0,0,0,1,0,0,103,0,0,2,0,0,0,882,33,2,0,220,365,8,0,0,0,155,0,0,50,13,2,0,45,17,13,0,0,0,5,0,0,7,38,0,61,5,0,6,0,2,373,3,5,0,2,0,16,58,3622,47,0,211,0,0,0,0,60,0,0,0,5,0,0,0,0,1020,237,34,0,0,24,2,1,1,0,7,4,1,9,22,53,100,0,0,0,0,3,0,63,151,0,94,38,1,0,19,0,0,0,18,12,0,0,7,0,53,897,1,21,58,0,34,44,42,1,0,1
