,ENSG00000006607,ENSG00000019485,ENSG00000044090,ENSG00000049540,ENSG00000055955,ENSG00000075420,ENSG00000080986,ENSG00000081377,ENSG00000087086,ENSG00000091879,ENSG00000103227,ENSG00000104946,ENSG00000105063,ENSG00000105204,ENSG00000111058,ENSG00000112902,ENSG00000112984,ENSG00000114204,ENSG00000119596,ENSG00000120451,ENSG00000123124,ENSG00000124575,ENSG00000124659,ENSG00000125257,ENSG00000128045,ENSG00000131899,ENSG00000132388,ENSG00000136732,ENSG00000136840,ENSG00000142621,ENSG00000145936,ENSG00000151812,ENSG00000152457,ENSG00000155961,ENSG00000161243,ENSG00000163389,ENSG00000163815,ENSG00000170379,ENSG00000173821,ENSG00000173889,ENSG00000174485,ENSG00000174498,ENSG00000174799,ENSG00000178093,ENSG00000178460,ENSG00000182093,ENSG00000184925,ENSG00000196735,ENSG00000197149,ENSG00000197324,ENSG00000197536,ENSG00000198674,ENSG00000199469,ENSG00000199516,ENSG00000200209,ENSG00000201467,ENSG00000201822,ENSG00000203499,ENSG00000204933,ENSG00000205653,ENSG00000209702,ENSG00000212187,ENSG00000212242,ENSG00000213604,ENSG00000213625,ENSG00000214273,ENSG00000215023,ENSG00000216811,ENSG00000220785,ENSG00000221886,ENSG00000224530,ENSG00000225674,ENSG00000226601,ENSG00000226829,ENSG00000227288,ENSG00000227411,ENSG00000227459,ENSG00000227960,ENSG00000228021,ENSG00000228392,ENSG00000229402,ENSG00000230042,ENSG00000230606,ENSG00000231170,ENSG00000231849,ENSG00000232064,ENSG00000232771,ENSG00000232953,ENSG00000233533,ENSG00000233934,ENSG00000234056,ENSG00000235978,ENSG00000236509,ENSG00000236977,ENSG00000237015,ENSG00000237213,ENSG00000240476,ENSG00000241286,ENSG00000242140,ENSG00000242808,ENSG00000243738,ENSG00000244061,ENSG00000244113,ENSG00000244266,ENSG00000244661,ENSG00000244945,ENSG00000246090,ENSG00000246922,ENSG00000247728,ENSG00000248735,ENSG00000249238,ENSG00000249479,ENSG00000249482,ENSG00000250243,ENSG00000250866,ENSG00000251079,ENSG00000251873,ENSG00000252190,ENSG00000252238,ENSG00000252507,ENSG00000252929,ENSG00000252948,ENSG00000253084,ENSG00000253670,ENSG00000254122,ENSG00000254469,ENSG00000255035,ENSG00000255438,ENSG00000256400,ENSG00000256596,ENSG00000257058,ENSG00000257065,ENSG00000257654,ENSG00000257986,ENSG00000258744,ENSG00000259241,ENSG00000259496,ENSG00000259867,ENSG00000259999,ENSG00000260708,ENSG00000261460,ENSG00000262171,ENSG00000262660,ENSG00000264125,ENSG00000264513,ENSG00000264850,ENSG00000265552,ENSG00000266947,ENSG00000267058,ENSG00000267295,ENSG00000268895,ENSG00000269376,ENSG00000270751,ENSG00000271667,ENSG00000272189,ENSG00000273933,ENSG00000275134,ENSG00000275226,ENSG00000275611,ENSG00000276136,ENSG00000276769,ENSG00000276897,ENSG00000276952,ENSG00000277693,ENSG00000278126,ENSG00000279400,ENSG00000279452,ENSG00000279619,ENSG00000279649,ENSG00000279724,ENSG00000279752,ENSG00000281344,ENSG00000283156,ENSG00000283354,ENSG00000283396,Disese Group
sample_36,1790,761,1453,223,47,1509,1,1142,6186,107,603,1747,1764,1238,821,3059,3,4,5421,3393,3364,42,596,202,40,921,734,155,101,19,2,233,219,616,164,378,7,135,4492,6429,8901,114,670,57,44,2590,113,9,58,1912,261,0,0,0,1,0,0,226,0,0,0,0,0,0,752,18,2,0,120,412,3,3,0,0,30,1,0,3,9,0,0,34,9,3,0,0,0,4,0,0,9,15,0,33,1,0,1,1,3,321,1,0,5,1,0,9,21,3696,58,0,209,0,0,0,0,26,0,0,0,0,0,0,0,0,563,148,8,1,11,18,0,0,2,0,4,1,0,4,20,89,377,0,0,0,0,0,0,158,197,0,72,21,0,1,16,0,0,0,10,22,0,0,10,2,81,192,0,18,106,0,1,25,10,0,0,0
sample_37,1862,994,1449,672,54,1735,0,1478,7883,58,750,2466,2012,1322,1381,3263,2,0,5870,3624,2918,217,745,279,54,1183,822,95,141,25,5,126,240,754,255,452,6,115,3974,7287,8963,103,734,44,58,2634,266,149,86,2644,367,0,0,0,0,0,0,187,0,0,1,0,0,0,952,27,7,0,179,682,1,3,0,0,76,1,0,19,8,1,0,47,31,6,0,0,0,12,0,0,25,17,0,31,4,0,9,0,0,437,2,2,4,0,0,13,66,12091,64,0,346,0,0,0,0,40,0,0,0,1,0,0,0,0,878,180,19,0,10,14,3,0,1,0,1,1,0,6,5,174,622,0,0,0,1,0,0,122,221,0,63,22,2,2,26,0,0,0,13,24,0,0,17,0,72,473,0,37,115,0,6,35,30,0,0,0
sample_38,1821,847,1735,737,80,1518,1,1297,5441,31,728,2870,2004,1600,797,2539,0,3,5869,4460,3691,89,706,287,51,1143,881,178,117,26,1,322,202,634,208,450,13,90,4964,8176,7181,104,728,23,47,4340,168,42,30,1561,290,0,0,0,0,0,0,251,0,0,0,0,0,0,918,36,1,0,66,573,1,8,0,0,48,0,0,14,7,1,0,44,15,5,0,0,0,1,0,0,5,25,0,28,2,0,0,0,2,499,4,4,1,2,0,16,55,9856,60,0,268,0,0,0,0,62,0,0,0,2,0,0,0,0,565,188,14,0,0,6,0,0,0,0,4,3,0,10,16,110,1230,0,0,3,0,5,0,107,248,0,100,21,0,1,7,0,0,0,16,11,0,0,18,0,89,228,0,27,126,0,4,28,24,0,0,0
sample_39,2245,724,1863,789,38,2133,1,2246,22435,69,1001,3845,2491,1362,1128,1368,4,1,3777,3343,3043,488,1487,356,101,1750,1274,169,280,21,6,218,199,757,358,423,3,96,4220,5597,10585,112,583,51,76,4606,262,253,129,3581,322,0,0,0,0,0,0,176,0,0,0,0,0,0,1126,23,8,0,260,921,2,7,0,0,26,1,0,9,8,0,0,17,10,14,0,0,0,7,0,0,24,39,0,13,0,0,3,0,1,463,7,3,3,0,0,2,83,6579,36,0,86,0,0,0,0,14,0,0,0,0,0,0,0,0,810,139,7,0,2,10,4,0,1,1,10,0,0,12,4,437,559,0,0,1,0,1,0,180,205,0,73,11,0,1,32,0,0,2,4,7,0,0,13,0,74,295,0,35,25,0,3,9,16,0,0,0
sample_40,1676,695,1221,569,86,1241,2,893,3862,20,611,2009,1391,1154,656,1690,2,3,4952,4129,2717,78,413,168,22,747,599,124,65,11,1,201,142,411,144,334,6,74,3591,6001,5787,111,640,10,42,2860,168,42,43,965,314,0,0,0,1,0,0,199,0,6,0,0,0,0,607,11,0,0,90,384,1,5,1,0,81,1,0,19,6,1,0,47,13,8,0,0,0,1,0,0,8,16,0,40,1,0,0,0,0,426,2,8,8,1,0,10,69,10779,66,2,428,0,0,0,0,61,0,0,0,6,0,0,0,0,454,188,22,0,16,21,1,0,0,0,4,0,0,4,20,138,1039,0,0,1,0,3,0,77,201,0,52,20,1,0,0,0,0,0,9,10,0,0,20,0,59,259,0,26,101,0,11,28,33,0,0,0
sample_41,2067,1064,1542,267,91,1193,3,1196,6487,101,656,2596,2085,1568,843,2492,1,5,5351,4758,3689,109,704,404,36,1547,943,103,103,19,2,179,244,756,234,443,30,154,4587,6674,7515,163,744,47,80,3207,167,11,61,1192,343,0,0,0,0,0,0,193,0,0,3,0,0,0,883,49,2,0,172,562,0,6,1,0,54,0,0,13,2,3,0,58,24,5,0,0,0,14,0,0,8,25,0,40,1,0,1,0,1,386,3,6,8,4,0,27,63,5160,67,1,253,0,0,0,0,49,0,0,0,3,0,0,0,0,647,220,17,2,9,18,1,0,0,0,0,0,1,5,22,59,1541,0,0,1,1,2,0,141,234,0,173,38,2,0,19,1,0,0,6,21,0,0,10,0,96,188,0,22,118,0,9,32,27,0,0,1
sample_42,1701,837,1573,285,68,1040,3,1221,6155,75,572,2220,1808,1277,747,2380,0,2,4216,3706,3904,86,780,474,37,1394,956,150,95,15,3,230,206,825,234,285,16,105,5248,5946,7363,76,668,59,54,3382,77,31,66,1354,220,0,0,0,0,0,0,134,0,0,1,0,0,0,631,49,1,0,92,527,0,3,1,0,53,1,0,22,1,0,0,51,19,9,0,0,0,6,0,0,12,25,0,21,0,0,0,0,2,295,2,15,24,3,0,11,51,6718,50,1,217,0,0,0,0,58,0,0,0,3,0,0,0,0,447,146,15,1,20,16,1,1,1,0,3,1,0,7,12,135,1914,1,0,5,0,4,0,125,267,0,107,22,0,0,11,1,0,0,12,15,0,0,7,0,68,99,0,19,89,0,14,57,6,0,0,1
sample_43,1778,1136,1540,348,87,952,2,1051,5373,43,728,2529,2342,1309,796,3477,1,0,5677,4210,3388,98,757,318,39,1505,934,209,108,17,5,238,242,834,205,461,13,46,4446,6610,6924,128,732,32,63,2391,156,87,47,1453,345,0,0,0,1,0,0,173,0,4,0,0,0,0,787,36,4,0,111,548,1,4,0,0,45,1,0,11,8,1,0,44,25,11,0,0,0,19,0,0,24,22,0,31,0,0,0,0,4,391,3,3,8,3,0,32,46,12925,58,0,330,0,0,1,0,47,0,0,0,1,0,0,0,0,667,202,21,0,6,21,0,0,0,0,2,0,0,12,16,79,1861,1,0,2,0,1,0,123,207,0,138,23,1,0,20,0,0,0,3,25,0,0,19,0,67,142,0,15,106,0,4,39,31,0,0,1
sample_44,1579,950,1109,162,62,870,1,865,4180,76,664,2042,1825,1203,904,1585,1,2,4649,3828,3002,39,513,249,19,1116,902,133,94,16,2,187,188,740,238,354,20,120,4268,5279,7833,103,528,44,60,1714,94,3,69,1189,389,0,0,0,0,0,0,137,0,0,0,0,0,0,610,21,4,0,87,433,1,1,1,0,42,1,0,9,2,0,0,42,29,18,0,0,0,28,0,0,7,25,0,21,0,0,1,0,1,273,5,8,16,3,0,21,20,5444,55,0,110,0,0,0,0,44,0,0,0,2,0,0,0,0,519,176,12,1,3,29,1,0,0,0,7,0,0,6,13,97,511,0,0,2,0,3,0,122,123,0,158,23,1,0,10,0,0,0,4,13,0,0,11,0,56,187,0,22,89,0,9,29,12,0,0,1
sample_46,1782,1006,1492,333,89,1028,3,1050,4807,85,654,2446,1885,1306,850,2755,2,2,5727,3609,2923,63,437,233,23,1094,738,116,89,15,7,194,207,657,256,378,11,51,3922,7539,6608,104,818,28,58,2341,184,67,67,1121,372,0,0,0,1,0,0,166,0,0,3,0,0,0,708,53,7,0,126,481,5,3,0,0,44,0,0,16,11,0,0,59,39,9,0,0,0,11,0,0,14,32,0,47,3,0,1,0,2,376,3,5,18,4,0,11,43,7858,63,2,117,0,0,0,0,33,0,0,0,3,0,0,0,0,675,233,21,1,19,15,0,0,0,0,3,0,0,9,18,145,850,0,0,0,2,4,0,116,271,0,140,34,0,0,12,0,0,0,10,17,0,0,14,0,90,148,1,18,122,0,9,62,22,0,0,1
