,ENSG00000009780,ENSG00000060069,ENSG00000072135,ENSG00000073111,ENSG00000075275,ENSG00000078142,ENSG00000083223,ENSG00000105656,ENSG00000131748,ENSG00000133083,ENSG00000133961,ENSG00000137393,ENSG00000141736,ENSG00000143294,ENSG00000145936,ENSG00000146966,ENSG00000154252,ENSG00000162576,ENSG00000164754,ENSG00000170819,ENSG00000172062,ENSG00000174326,ENSG00000176349,ENSG00000179412,ENSG00000180264,ENSG00000181873,ENSG00000197149,ENSG00000197536,ENSG00000199591,ENSG00000202374,ENSG00000212856,ENSG00000215016,ENSG00000220181,ENSG00000223717,ENSG00000223720,ENSG00000225912,ENSG00000226526,ENSG00000227131,ENSG00000228597,ENSG00000230373,ENSG00000230793,ENSG00000232091,ENSG00000232715,ENSG00000233686,ENSG00000233840,ENSG00000233873,ENSG00000234229,ENSG00000234931,ENSG00000237194,ENSG00000238468,ENSG00000238924,ENSG00000245849,ENSG00000249052,ENSG00000251079,ENSG00000252461,ENSG00000254703,ENSG00000256006,ENSG00000256902,ENSG00000257640,ENSG00000257643,ENSG00000258066,ENSG00000259140,ENSG00000259921,ENSG00000267083,ENSG00000268061,ENSG00000268738,ENSG00000271612,ENSG00000272209,ENSG00000273515,ENSG00000277435,Diagnosis
sample_38,733,820,798,360,89,2810,1101,495,726,3881,1889,883,984,1528,1,1024,23,265,6777,3,157,40,28,0,3,972,30,290,3,6,0,0,0,0,0,0,6,0,1,31,29,0,4,0,0,1,0,0,35,0,0,477,0,62,5,1,118,22,0,1,5,0,15,26,33,0,0,23,0,0,0
sample_39,836,884,1022,748,193,2341,1062,505,995,3531,1631,1085,1752,2340,6,2944,15,825,7760,21,184,178,42,0,5,600,129,322,3,1,0,0,0,0,0,0,11,0,0,14,4,0,11,0,0,5,0,0,16,0,0,329,0,14,3,1,56,11,0,0,8,0,5,15,69,3,1,14,0,0,0
sample_40,547,576,602,274,85,2138,928,325,455,3214,1519,569,705,1176,1,1032,37,127,4550,2,95,42,7,0,0,914,43,314,14,12,0,0,0,0,0,0,4,0,0,23,25,0,0,0,0,3,0,0,28,0,0,381,0,61,3,0,108,14,0,3,23,0,26,34,22,0,1,4,0,0,0
sample_41,748,853,850,446,182,3075,985,434,669,2688,1716,298,951,1293,2,1390,5,205,6058,5,65,88,47,0,0,1044,61,343,18,13,0,0,0,0,0,0,2,0,0,23,38,0,3,0,0,2,0,0,36,0,0,528,0,49,5,2,72,17,0,0,8,0,32,34,34,10,1,6,0,0,1
sample_42,545,839,698,327,90,2729,1073,295,643,1770,1544,287,711,1152,3,1414,15,147,6458,12,110,64,9,0,2,719,66,220,14,23,0,0,0,0,0,0,4,0,0,14,15,0,8,0,1,4,0,0,24,0,0,373,0,58,2,2,50,11,0,0,12,0,16,16,36,16,3,3,0,0,1
sample_43,823,789,801,439,67,2989,1143,395,714,2452,1541,396,995,1400,5,1154,26,198,6230,8,97,69,6,0,3,1039,47,345,7,9,0,0,0,0,0,0,4,0,0,27,22,0,3,0,0,3,0,0,67,0,0,414,0,47,4,4,24,13,0,1,21,0,22,26,29,0,2,1,0,0,1
sample_44,621,722,702,293,79,2582,935,368,493,1840,1407,230,632,1060,2,927,28,151,4775,5,98,60,16,0,0,853,69,389,4,16,0,0,0,0,0,0,0,0,0,27,16,0,8,0,1,0,0,0,25,0,0,379,0,44,1,2,33,10,1,0,14,0,15,28,18,0,0,4,0,0,1
sample_46,617,591,892,378,87,2755,1083,338,693,2129,1760,280,767,1221,7,925,18,112,5940,4,119,53,18,0,3,831,67,372,11,6,0,0,0,0,0,0,1,0,1,19,18,0,3,0,1,1,0,0,37,0,0,554,0,33,2,0,59,9,0,2,26,0,17,29,30,0,2,4,0,0,1
sample_47,638,809,876,381,97,2628,890,386,630,2295,1613,292,823,1246,4,1364,31,141,5255,4,89,63,25,0,4,933,76,384,10,17,0,0,0,0,0,0,3,0,0,36,23,0,6,0,0,1,0,0,46,0,0,418,0,31,7,1,55,23,0,1,27,0,26,38,29,0,2,6,0,0,1
sample_48,703,802,829,459,74,2331,981,327,533,2076,1563,310,682,1084,1,1296,32,138,6018,5,119,88,17,0,2,910,55,186,6,9,0,0,0,0,0,2,6,0,0,49,16,0,3,0,0,0,0,0,43,0,0,492,0,43,1,1,68,14,0,0,12,0,19,25,33,0,1,10,0,0,1
