,ENSG00000010671,ENSG00000035664,ENSG00000048707,ENSG00000056736,ENSG00000070061,ENSG00000072135,ENSG00000087884,ENSG00000100227,ENSG00000100228,ENSG00000101276,ENSG00000101282,ENSG00000102743,ENSG00000105479,ENSG00000107902,ENSG00000111725,ENSG00000112877,ENSG00000116652,ENSG00000117643,ENSG00000120549,ENSG00000120820,ENSG00000122643,ENSG00000126215,ENSG00000128191,ENSG00000129170,ENSG00000130544,ENSG00000130669,ENSG00000130733,ENSG00000130856,ENSG00000132842,ENSG00000136531,ENSG00000138315,ENSG00000145708,ENSG00000150637,ENSG00000152457,ENSG00000156427,ENSG00000157168,ENSG00000158290,ENSG00000159905,ENSG00000163815,ENSG00000164638,ENSG00000165066,ENSG00000165487,ENSG00000167994,ENSG00000169239,ENSG00000169271,ENSG00000170615,ENSG00000170949,ENSG00000172232,ENSG00000175164,ENSG00000176087,ENSG00000180573,ENSG00000185361,ENSG00000188976,ENSG00000196171,ENSG00000198178,ENSG00000201021,ENSG00000201351,ENSG00000205356,ENSG00000205364,ENSG00000206677,ENSG00000206687,ENSG00000207002,ENSG00000207989,ENSG00000211514,ENSG00000215354,ENSG00000217268,ENSG00000221468,ENSG00000221548,ENSG00000222118,ENSG00000223542,ENSG00000223586,ENSG00000224254,ENSG00000225721,ENSG00000226048,ENSG00000226397,ENSG00000226469,ENSG00000226791,ENSG00000228327,ENSG00000229373,ENSG00000229625,ENSG00000230606,ENSG00000230757,ENSG00000231170,ENSG00000231291,ENSG00000231489,ENSG00000231630,ENSG00000231684,ENSG00000232004,ENSG00000232043,ENSG00000232419,ENSG00000233036,ENSG00000234001,ENSG00000234089,ENSG00000235572,ENSG00000235728,ENSG00000235829,ENSG00000236859,ENSG00000237261,ENSG00000237442,ENSG00000237643,ENSG00000238246,ENSG00000239887,ENSG00000240291,ENSG00000240382,ENSG00000240713,ENSG00000242396,ENSG00000242999,ENSG00000243136,ENSG00000243150,ENSG00000243420,ENSG00000244363,ENSG00000244556,ENSG00000249209,ENSG00000249380,ENSG00000249506,ENSG00000250102,ENSG00000250118,ENSG00000250563,ENSG00000250903,ENSG00000250968,ENSG00000251073,ENSG00000251074,ENSG00000251621,ENSG00000251916,ENSG00000252438,ENSG00000252815,ENSG00000253172,ENSG00000253560,ENSG00000253768,ENSG00000253989,ENSG00000254263,ENSG00000254315,ENSG00000254419,ENSG00000255320,ENSG00000256742,ENSG00000257721,ENSG00000258088,ENSG00000258120,ENSG00000258679,ENSG00000258717,ENSG00000259038,ENSG00000259306,ENSG00000259425,ENSG00000260066,ENSG00000260693,ENSG00000263952,ENSG00000265567,ENSG00000265859,ENSG00000266306,ENSG00000266325,ENSG00000266463,ENSG00000266910,ENSG00000267083,ENSG00000267270,ENSG00000267416,ENSG00000267559,ENSG00000269604,ENSG00000271243,ENSG00000272886,ENSG00000272942,ENSG00000272954,ENSG00000273051,ENSG00000273090,ENSG00000273445,ENSG00000273983,ENSG00000274251,ENSG00000275441,ENSG00000276496,ENSG00000276662,ENSG00000277512,ENSG00000277563,ENSG00000278499,ENSG00000278765,ENSG00000278896,ENSG00000279511,ENSG00000279694,ENSG00000279987,ENSG00000280104,ENSG00000283205,ENSG00000283402,Disese Group
sample_01,8,45,12508,61,3222,644,164,1474,135,29,210,42,53,369,756,211,232,1952,2406,22,406,211,1602,0,454,601,431,1045,815,4022,0,18,48,164,5,1205,1840,387,24,1055,20,1434,223,691,8,33,1542,8,79,673,656,98,1043,0,0,0,0,3123,49,0,4,1,8,10,0,0,0,0,0,0,0,0,5,4,0,13,0,101,0,0,9,0,8,0,0,0,1,2,1,0,2,0,0,0,0,0,191,1,0,0,1,252,53,0,0,2,10,0,2,0,2,0,1,0,2,0,0,0,824,0,0,0,5,0,36,0,0,0,3,0,0,0,18,26,169,0,27,0,0,19,9,0,2,0,11,0,0,2,9,0,3,46,23,129,24,2,1,0,979,2,7,0,0,0,0,32,11,0,0,0,23,0,8,39,0,8,0,0,0,0,0
sample_02,14,57,12983,154,4890,727,247,2104,181,46,167,51,77,411,651,267,258,3063,3454,32,407,182,2028,0,563,884,639,1850,1069,3901,15,107,101,223,13,1359,1723,518,24,1603,12,1063,177,308,5,22,1521,6,175,933,1638,84,1797,0,0,0,0,2575,22,0,1,0,11,11,0,0,0,0,0,0,0,0,3,4,1,14,1,114,2,0,30,0,13,0,0,0,0,3,2,0,4,0,0,0,0,0,176,0,0,0,0,370,66,0,0,13,31,0,8,1,4,0,0,0,0,0,1,1,703,0,3,0,5,0,34,0,0,0,1,0,0,0,17,12,194,0,14,0,0,17,26,0,0,0,9,0,0,3,123,0,1,56,28,584,12,0,1,0,1032,7,4,0,0,0,3,46,13,0,0,0,24,0,3,35,0,3,0,0,0,0,0
sample_03,8,38,12994,135,4575,803,196,1710,155,35,173,72,66,499,584,194,129,2997,2785,23,367,171,1693,0,445,714,490,1551,1026,4249,3,50,106,205,15,1543,1809,382,15,1636,23,1142,209,498,8,28,1517,2,182,862,907,81,1427,0,0,0,0,2853,32,0,3,3,13,7,0,0,0,0,0,0,0,0,7,6,4,8,2,171,2,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,203,0,0,0,0,515,58,0,0,13,25,0,2,2,1,2,1,0,1,0,1,0,678,0,1,0,4,0,37,0,0,0,2,0,0,0,18,16,185,0,41,0,0,25,30,0,0,0,10,0,0,3,39,1,6,50,20,200,22,1,2,0,974,9,12,0,5,0,2,56,5,0,0,0,15,0,8,38,0,11,0,0,0,0,0
sample_04,8,42,12593,55,3605,628,115,1597,199,5,186,58,55,559,818,191,184,2439,1758,20,491,219,1668,1,530,576,557,1364,1183,4414,0,27,88,141,6,1292,2333,316,15,1104,19,1141,242,570,8,28,1719,9,94,933,1177,50,1311,0,0,0,0,3294,254,0,2,1,7,5,0,0,0,0,0,0,2,0,8,3,2,7,1,147,1,0,8,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,173,0,0,0,0,291,66,0,0,10,17,0,1,1,1,0,0,0,0,0,0,1,725,0,0,0,1,0,32,0,0,0,2,0,0,0,13,16,176,0,44,0,1,18,17,0,2,0,10,0,0,0,3,0,7,40,21,113,10,2,1,0,1111,5,4,0,2,0,3,19,7,0,0,0,8,0,6,53,0,7,0,0,0,0,0
sample_05,16,36,16065,121,4582,999,239,2243,239,58,205,70,116,608,1288,353,280,2134,4020,20,705,329,2492,0,713,912,653,1705,1417,3686,1,3,171,215,13,1257,2851,519,23,1212,18,1691,482,1175,9,42,2101,9,72,1063,929,70,1572,0,0,0,0,4844,399,0,5,3,3,11,0,0,0,0,0,0,0,0,9,1,21,11,1,231,1,0,15,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,263,0,0,0,0,252,66,0,0,5,18,0,5,0,3,0,6,0,0,0,0,0,1329,0,1,0,2,0,35,0,0,0,0,0,1,0,14,23,266,0,35,0,0,29,17,0,1,0,24,0,0,0,1,1,3,58,50,200,28,2,4,0,1345,2,13,0,10,0,0,66,5,0,0,0,18,0,11,82,0,18,0,0,0,0,0
sample_06,20,76,15407,98,3945,927,216,2391,241,30,200,124,65,534,1112,260,238,2951,3647,40,725,242,1698,1,774,1008,778,2009,1245,5669,1,124,99,287,7,1559,2897,477,25,1331,20,1365,197,792,17,59,1222,5,117,1314,1110,128,1882,0,0,0,0,4114,37,0,2,3,9,5,0,0,0,0,0,0,0,0,9,5,0,9,2,119,1,0,9,0,8,0,0,0,1,3,0,0,7,0,0,0,0,0,187,0,0,0,0,247,73,0,0,13,35,0,1,0,1,0,3,0,1,0,0,1,816,0,1,0,12,0,14,0,0,0,3,0,0,0,20,23,119,0,28,0,0,20,19,0,2,0,12,0,0,1,4,0,0,71,42,137,15,2,3,0,1228,1,7,0,3,0,0,36,14,0,0,0,26,0,4,46,0,7,0,0,0,0,0
sample_07,11,76,15838,98,4942,1042,237,2563,274,74,203,90,95,485,1293,341,236,3833,3806,34,646,321,2292,0,831,1043,872,2192,1295,6411,11,45,156,312,12,1654,2520,533,18,1659,22,1451,196,535,15,64,1588,9,226,1343,1174,170,2065,0,0,0,0,4446,64,0,6,0,12,21,0,0,0,0,0,0,0,0,5,5,12,6,0,238,0,0,25,0,12,0,0,0,0,0,2,0,8,0,0,0,0,0,292,0,0,0,0,537,75,0,0,10,29,0,1,2,4,1,4,0,0,0,0,0,1039,0,3,0,11,0,33,0,0,0,2,0,0,0,25,21,204,0,27,0,2,16,21,0,0,0,16,0,0,1,6,0,0,59,37,261,27,3,1,0,1449,3,14,0,3,0,3,62,11,0,0,0,22,0,7,53,0,9,0,0,0,0,0
sample_08,14,30,11614,56,3256,672,160,1413,176,19,110,52,65,387,711,259,190,2077,3076,26,501,254,1541,0,473,719,548,1317,973,3700,3,11,145,128,9,1416,1989,331,23,1011,23,1277,222,689,8,30,1258,3,67,872,887,58,1217,0,0,0,0,3053,100,0,8,4,7,4,0,0,0,0,0,0,0,0,8,3,0,10,1,125,0,0,18,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,212,0,0,0,0,283,58,0,0,7,18,0,0,0,0,0,1,0,0,0,0,0,772,0,2,0,8,0,45,0,0,0,1,0,0,0,14,26,202,0,19,0,1,14,22,0,0,0,9,0,0,0,4,0,3,58,21,126,32,2,0,0,925,8,9,0,0,0,0,42,8,0,0,0,8,0,4,44,0,9,0,0,0,0,0
sample_09,22,44,13164,47,3950,922,189,1911,196,35,152,60,67,427,911,277,180,2288,2087,14,440,199,1827,0,579,975,613,1728,898,3007,6,11,157,222,9,1115,1697,417,16,918,26,1079,167,383,6,23,1133,1,110,989,993,72,1647,0,0,0,0,4528,30,0,5,0,14,20,0,0,0,0,0,0,0,0,9,3,12,21,2,127,0,0,21,0,3,0,0,0,1,2,1,0,4,0,0,0,0,0,223,0,1,0,0,238,85,0,0,1,24,0,1,1,1,1,2,0,0,0,0,0,912,0,1,0,4,0,43,0,0,0,3,0,0,0,17,20,197,0,24,0,1,17,7,0,0,0,8,0,0,1,16,1,1,63,28,224,22,2,2,0,1080,1,12,0,3,0,1,58,10,0,0,0,24,0,9,49,0,4,0,0,0,0,0
sample_10,12,26,11404,35,3376,823,186,1608,154,22,190,56,70,399,873,288,192,1750,2684,19,379,271,1609,0,453,779,457,1371,1007,2797,2,22,103,159,4,893,1700,310,20,943,13,1029,169,610,3,25,1104,5,66,869,972,50,1254,0,0,0,0,3642,137,0,5,3,4,4,0,0,0,0,0,0,0,0,6,4,4,18,1,110,0,0,14,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,171,0,0,0,0,230,77,0,0,3,21,0,3,0,1,1,1,0,0,0,0,0,920,0,1,0,6,0,50,0,0,0,0,0,0,0,17,20,163,0,29,0,0,19,18,0,0,1,13,0,0,0,5,1,1,52,28,109,26,4,0,0,859,2,7,0,3,0,0,34,11,0,1,0,18,0,7,47,0,6,0,0,0,0,0
sample_11,9,43,12530,55,3126,634,187,1923,165,30,169,63,52,355,956,301,179,1417,2540,15,488,258,2169,0,415,979,490,1115,695,2523,0,13,68,137,11,850,1774,412,15,767,12,1584,353,1088,9,37,1576,5,22,771,1013,47,1037,0,0,0,0,4272,74,0,2,1,2,7,0,0,0,0,0,0,0,1,12,0,1,9,1,113,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,155,0,0,0,1,260,39,0,0,8,10,0,7,0,2,2,1,0,2,0,0,0,696,0,1,0,1,0,40,0,0,0,0,0,0,0,16,34,210,0,13,0,0,11,18,0,0,0,11,0,0,2,4,0,3,43,22,157,22,0,2,0,1296,2,15,0,0,0,0,49,5,0,0,0,13,0,1,46,0,13,0,0,0,0,0
sample_12,36,39,14013,126,4646,905,177,2376,300,34,141,89,72,376,1298,319,240,1508,3120,26,690,258,2092,0,778,1231,653,1705,1133,2200,9,1,189,206,6,1133,2704,496,20,907,8,1463,191,682,9,8,1231,2,24,1210,1650,60,1707,0,0,0,0,5110,141,0,3,2,1,9,0,0,0,0,0,0,0,1,7,1,75,17,3,145,1,0,23,0,8,0,0,0,0,2,1,0,4,0,0,0,0,0,254,0,0,0,0,324,66,0,0,2,30,0,0,0,2,0,5,0,1,0,0,0,905,0,0,0,0,0,33,0,0,1,2,0,0,0,17,7,240,0,44,0,0,4,15,0,0,0,5,0,0,2,7,1,0,59,28,245,24,3,1,0,1372,6,19,0,2,0,1,68,12,0,0,0,12,0,8,32,0,4,0,0,0,0,0
sample_13,3,15,11461,46,2828,510,109,1271,190,6,99,50,38,563,792,203,176,993,1636,12,379,199,1742,0,404,691,396,1081,1018,1685,0,3,106,73,4,687,1713,269,18,710,16,1056,344,480,4,11,1746,3,17,600,1312,23,880,0,0,0,0,3796,192,0,0,1,2,5,0,0,0,0,0,0,0,0,11,3,2,10,0,149,0,0,11,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,167,0,0,0,0,191,44,0,0,1,10,0,0,0,2,2,4,0,3,0,0,0,691,0,0,0,2,0,45,0,1,0,0,0,0,0,11,11,138,0,44,0,0,10,16,0,1,0,8,0,0,0,0,0,3,42,25,123,12,1,1,0,1049,2,9,0,8,0,0,32,4,0,0,0,2,0,4,42,0,16,0,0,0,0,0
sample_14,16,26,11361,76,3341,672,213,1764,168,28,168,53,77,475,889,215,227,1402,3093,15,476,269,1803,0,522,744,425,1185,1240,2261,1,1,134,166,5,765,2256,397,5,946,15,1413,326,932,10,17,1516,3,23,685,825,39,973,0,0,0,0,3258,215,0,4,0,7,4,0,0,0,0,0,1,0,3,3,1,16,11,0,160,0,0,12,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,170,0,1,0,0,205,64,0,0,4,19,0,23,0,3,0,7,0,0,0,0,0,1041,0,0,0,2,0,42,0,0,0,3,0,0,0,6,18,159,0,50,0,0,10,17,0,1,0,8,0,0,2,2,0,5,51,31,137,21,0,2,0,1050,1,9,0,2,0,1,65,10,0,0,0,14,0,3,62,0,13,0,1,1,0,0
sample_15,15,28,10809,85,2909,635,140,1496,122,15,175,65,26,333,864,268,192,1159,2305,20,383,237,1417,0,437,826,408,1248,795,1839,1,17,74,181,5,702,1730,321,10,545,6,1165,116,761,4,46,814,1,33,725,946,46,1092,0,0,0,0,3372,55,0,1,0,3,3,0,0,0,0,0,0,0,0,2,3,0,11,1,109,0,0,10,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,166,0,0,0,0,179,55,0,0,1,19,0,3,0,0,0,3,0,0,0,0,0,682,0,0,0,2,0,45,0,0,0,1,0,0,0,20,13,89,0,37,0,0,11,12,0,1,0,9,0,0,2,1,0,0,66,31,127,12,1,1,0,859,1,7,0,1,0,0,58,7,0,0,0,17,0,4,47,0,4,0,0,0,0,0
sample_16,19,42,12029,96,3853,707,164,1913,180,71,101,59,57,291,1109,330,222,1663,3247,13,610,256,1712,0,591,927,464,1581,1020,2651,5,13,157,220,11,1002,2074,443,9,888,11,1469,147,633,7,38,1197,2,58,842,1118,48,1307,0,0,0,0,3643,75,0,2,0,6,13,0,0,0,0,0,0,0,0,9,5,11,14,0,203,1,0,23,0,8,0,0,0,1,3,0,0,0,0,0,0,0,0,237,0,0,0,0,367,54,0,0,2,35,0,3,0,1,0,5,0,0,0,0,0,1011,0,1,0,3,0,38,0,0,0,1,0,0,0,18,19,191,0,44,0,0,3,15,0,0,0,3,0,0,3,2,0,0,42,25,226,24,0,2,0,1181,3,10,0,4,0,2,87,10,0,0,0,12,0,10,47,0,4,0,0,0,0,0
sample_17,10,39,11624,52,3077,639,127,1457,159,26,92,55,40,351,904,226,148,1351,2936,24,453,257,1529,0,475,870,414,1225,883,2192,3,3,175,146,3,966,1910,325,16,831,12,1285,337,842,16,11,1344,2,13,767,875,30,1112,0,0,0,0,3323,194,0,2,0,3,10,0,0,0,0,0,0,0,1,8,2,0,18,2,132,0,0,12,0,9,0,0,0,0,1,0,0,2,0,0,0,0,0,178,0,0,0,0,225,64,0,0,3,21,0,3,0,0,0,2,0,1,0,0,0,735,0,1,0,4,0,40,0,0,0,3,0,0,0,21,30,158,0,18,0,0,5,17,0,0,0,9,0,0,1,3,0,0,47,19,134,5,3,0,0,923,5,12,0,0,0,0,30,15,0,0,0,17,0,9,27,0,18,0,0,0,0,0
sample_18,20,28,14452,103,4009,956,234,2507,290,63,72,129,112,902,1168,334,238,1910,3276,36,728,308,2465,1,793,1660,603,1769,1158,2823,1,13,163,212,9,849,3147,521,18,1641,12,1635,553,1369,4,20,2365,5,12,1284,2053,77,1425,0,0,0,0,4640,76,0,4,1,4,11,0,0,0,0,0,0,0,1,12,1,0,11,0,162,1,0,21,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,295,0,0,0,0,524,87,0,0,2,11,2,3,0,3,0,0,0,3,0,0,0,1286,0,0,0,0,0,22,0,0,0,0,0,0,0,12,26,266,0,84,0,0,27,36,0,0,0,15,0,0,0,0,1,0,63,20,260,26,4,0,0,1587,8,18,0,2,0,1,38,15,0,3,0,12,0,9,60,0,24,0,0,0,0,0
sample_19,22,37,11928,121,4868,661,178,1909,180,46,101,46,41,331,948,269,166,1550,2969,20,477,187,1712,1,488,1122,448,1769,920,2452,7,0,137,185,11,915,2108,430,11,975,11,1243,127,563,6,12,1334,1,35,976,1399,42,1355,0,0,0,0,3227,84,0,2,1,5,5,0,0,0,0,0,0,0,0,5,2,0,20,3,170,0,0,12,0,5,1,0,0,0,2,0,0,1,0,0,0,0,0,175,0,0,0,0,359,58,0,0,1,25,0,10,0,2,0,1,0,0,0,0,3,838,0,0,0,0,0,32,0,0,0,1,0,0,0,6,16,193,0,40,0,0,7,23,0,0,0,3,0,0,2,5,1,0,46,21,295,17,1,3,0,1045,3,7,0,2,0,0,59,15,0,0,0,8,0,5,22,0,7,0,0,0,1,0
sample_20,7,22,12010,37,3497,758,163,1610,161,18,130,59,48,377,971,315,229,1180,2806,18,463,280,1756,0,475,944,402,1339,1086,1792,3,6,132,163,5,566,1897,345,16,721,7,1434,255,862,8,22,1210,1,5,748,1253,22,998,0,0,0,0,3770,67,0,6,1,3,4,0,0,0,0,0,0,0,0,4,1,16,11,0,148,0,0,39,0,3,0,0,0,0,2,3,0,2,0,0,0,0,0,168,0,0,0,0,205,70,0,0,1,19,0,5,0,2,0,5,0,0,0,0,0,1053,0,0,0,0,0,80,0,0,0,2,0,0,0,16,14,169,0,51,0,0,8,11,0,2,0,13,0,0,2,1,0,2,69,28,162,22,1,1,0,1074,1,15,0,3,0,0,43,10,0,0,0,14,0,7,39,0,11,0,0,0,0,0
sample_21,6,22,9042,102,3042,650,154,1275,121,22,116,42,41,350,547,171,126,1951,2463,19,355,118,1410,0,432,681,402,1163,760,2586,6,17,71,149,7,799,1328,323,15,1058,7,919,147,398,4,37,1077,1,95,682,778,60,1182,0,0,0,0,2139,23,0,2,0,6,7,0,0,0,0,0,0,0,1,7,3,0,2,3,76,0,0,29,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,128,0,1,0,0,490,51,0,0,6,20,0,1,0,2,0,0,0,0,0,0,0,468,0,1,0,3,0,33,0,0,0,2,0,0,0,14,6,166,0,26,0,0,13,17,0,0,0,4,0,0,0,11,0,0,34,30,157,12,1,2,0,741,2,6,0,1,0,1,32,7,0,0,0,18,0,6,32,0,6,0,0,0,0,0
sample_22,13,39,11742,96,4119,761,201,1715,185,37,106,52,105,488,714,255,167,2723,2668,24,498,199,1515,3,499,778,423,1425,1064,2953,3,12,119,182,8,908,1846,415,8,1201,9,1093,213,386,3,29,1690,9,57,807,932,58,1324,0,0,0,0,2855,58,0,4,1,3,5,0,0,0,0,2,0,0,0,6,6,21,21,2,132,2,0,19,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,206,0,0,0,0,526,95,0,0,10,16,1,3,0,1,0,0,0,0,0,0,0,897,0,1,0,1,0,42,0,1,0,0,0,0,0,14,15,245,0,25,0,1,11,15,0,0,1,15,0,0,0,23,0,5,47,19,235,18,1,2,0,1045,4,7,0,2,0,1,55,13,0,0,0,34,0,8,48,0,5,0,1,0,0,0
sample_23,4,38,10386,47,3129,781,154,1607,183,18,77,68,36,464,970,256,202,1764,2328,20,526,243,1441,0,650,752,566,1436,842,3129,1,8,182,193,5,1032,2081,311,30,892,15,1041,202,370,4,55,1019,3,72,1065,1010,67,1508,0,0,0,0,3271,46,0,4,0,9,10,0,0,0,0,0,0,0,1,5,1,4,14,2,109,0,0,22,0,3,1,0,0,0,3,1,0,3,0,0,0,0,0,189,0,1,0,0,212,62,0,0,2,24,0,0,0,2,0,1,0,2,0,0,0,654,0,0,0,11,0,9,0,0,0,0,0,0,0,15,23,95,0,27,0,1,12,15,0,0,0,9,0,0,1,0,0,0,49,16,106,15,4,2,0,946,4,7,0,4,0,0,35,11,0,0,0,10,0,6,36,0,4,0,0,0,0,0
sample_24,4,34,10350,53,3969,722,176,1925,163,10,90,69,51,371,961,207,228,1567,2445,17,606,180,1579,0,682,737,612,1624,880,2925,5,47,123,211,8,927,2147,354,5,959,9,1269,86,499,23,32,1100,0,22,980,1278,44,1344,0,0,0,0,3122,52,0,2,0,1,3,0,0,0,0,0,0,0,1,7,5,0,9,2,90,0,0,11,0,15,0,0,0,0,3,2,0,5,0,0,0,0,0,177,0,1,0,0,352,53,0,0,1,14,0,2,0,3,1,2,0,1,0,0,0,803,0,1,0,4,0,15,0,0,0,1,0,0,0,17,13,172,0,39,0,0,23,19,0,0,0,4,0,0,0,6,1,0,40,14,141,12,1,0,0,961,2,9,0,1,0,0,22,13,0,0,0,8,0,10,30,1,11,0,0,0,0,0
sample_25,6,62,12493,47,3567,790,205,1722,183,34,105,91,80,406,1079,243,222,2026,2725,32,565,276,1778,0,682,901,643,1593,1044,3826,3,26,126,227,3,1407,2359,422,26,1039,24,1278,187,751,9,41,1194,5,77,1090,1152,99,1653,0,0,0,0,3646,114,0,2,5,6,6,0,0,0,0,0,0,0,1,11,3,1,12,1,151,0,0,15,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,189,0,0,1,0,337,71,0,0,3,20,0,0,0,1,0,2,0,0,0,0,0,820,0,1,0,10,0,34,0,0,0,1,0,0,0,19,29,152,0,17,0,2,16,19,0,0,0,11,0,0,0,3,0,0,62,34,126,27,1,1,0,1114,1,5,0,3,0,0,20,9,0,0,0,17,0,1,71,0,9,0,0,0,0,0
sample_26,4,73,11559,42,3639,777,177,1961,139,15,140,65,94,406,790,266,161,2132,2696,23,506,293,1599,0,645,722,581,1378,970,4344,4,20,113,234,6,1335,1840,394,14,962,20,1069,173,656,6,81,1220,2,135,991,918,83,1496,0,0,0,0,3218,37,0,1,3,6,6,0,0,0,0,0,0,0,1,2,1,0,5,1,123,0,0,20,0,3,0,0,0,1,3,0,0,2,0,0,0,0,0,177,0,0,0,0,257,87,0,0,7,25,0,1,0,2,0,0,0,0,0,1,0,642,0,1,0,12,0,26,0,0,0,0,0,0,0,13,15,185,0,33,0,0,6,18,0,0,0,8,0,0,0,6,0,0,50,24,188,21,0,2,0,873,8,5,0,0,0,1,48,4,0,1,0,23,0,9,52,0,7,0,0,0,0,0
sample_27,3,13,8294,48,2780,462,137,1279,120,31,33,38,50,299,494,262,107,1061,1778,13,359,170,1166,0,349,686,268,1041,687,1459,5,3,124,122,4,691,1347,301,4,596,6,941,152,516,1,15,1020,0,14,532,1041,16,786,0,0,0,0,2365,65,0,6,0,2,12,0,0,0,0,0,0,0,0,1,2,1,18,2,90,1,0,12,0,6,0,0,0,1,0,1,0,3,0,0,0,0,0,153,0,0,0,0,267,48,0,0,0,12,0,1,0,1,0,0,0,1,0,0,0,682,0,0,0,0,0,38,0,1,0,1,0,0,0,7,7,148,0,29,0,0,15,13,0,0,0,11,0,0,0,1,1,2,18,21,187,18,0,4,0,705,2,7,0,3,0,0,45,6,0,0,0,9,0,8,29,0,7,0,0,0,0,0
sample_28,19,51,8733,105,2985,645,120,1368,164,17,90,59,47,326,601,153,158,1196,3926,20,358,128,1247,0,343,734,349,1092,811,2035,8,9,118,115,1,802,1470,252,8,580,17,1099,147,769,0,29,1208,2,26,731,1009,35,871,0,0,0,0,2361,82,0,7,1,1,5,0,0,0,0,0,0,0,0,5,3,1,6,3,175,1,0,11,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,136,0,0,0,1,446,61,0,0,1,17,1,3,0,1,0,1,0,0,0,0,1,692,0,1,0,0,0,38,1,0,0,0,0,0,0,10,8,150,0,51,0,0,15,27,0,0,0,8,0,0,0,4,0,1,31,30,103,8,3,2,0,764,4,6,0,5,0,1,25,5,0,0,0,22,0,0,25,0,13,0,0,0,0,0
sample_29,5,39,12227,51,4082,844,202,1791,176,47,72,61,107,450,682,259,129,2759,2516,32,428,211,1485,0,532,708,489,1568,1011,3926,1,19,150,203,6,1536,1959,442,12,967,25,940,190,542,13,18,1523,2,103,960,1108,82,1421,0,0,0,0,2944,34,0,0,0,7,5,0,0,0,0,0,0,0,1,4,2,5,15,1,133,0,0,25,0,2,0,0,0,0,1,1,0,3,0,0,0,0,0,202,0,0,0,0,326,77,0,0,4,29,0,3,0,2,0,0,0,0,0,0,0,874,0,2,0,4,0,22,0,0,0,0,0,0,0,13,22,198,0,40,0,0,19,13,0,0,0,11,0,0,0,11,1,4,44,32,205,17,2,0,0,971,2,8,0,1,0,1,39,4,0,0,0,11,0,3,53,0,2,0,0,0,0,0
sample_30,8,45,11751,76,3928,687,148,1954,142,37,159,52,50,435,809,266,130,1554,3125,12,435,196,1550,0,463,1049,514,1373,924,2656,0,13,128,173,4,932,1934,355,10,807,15,1176,249,554,9,17,1173,3,35,1026,1718,50,1387,0,0,0,0,3170,82,0,3,0,4,5,0,0,0,0,0,0,0,0,5,3,1,6,1,164,2,0,15,0,7,0,0,0,0,1,0,0,2,0,0,0,0,0,184,0,0,0,0,227,47,0,0,5,12,0,2,1,1,0,9,0,0,0,0,0,802,0,2,0,5,0,23,0,0,0,0,0,0,0,16,25,154,0,37,0,1,12,22,0,0,0,4,0,0,0,6,0,0,38,28,119,20,1,1,0,915,2,9,0,2,0,1,19,9,0,0,0,14,0,5,31,0,11,0,0,0,0,0
sample_31,20,40,12536,261,4282,707,210,2026,212,43,122,56,61,365,808,322,146,1707,3926,19,490,201,2124,0,602,1239,505,1555,976,2066,12,1,109,193,8,765,1804,496,17,1004,9,1365,198,679,14,29,1382,5,28,942,1426,54,1354,0,0,0,0,3337,85,0,3,0,7,11,0,0,0,0,0,0,0,1,10,2,0,16,0,128,0,0,33,0,6,0,0,0,0,1,1,0,4,0,0,0,0,0,163,0,0,0,0,494,62,0,0,1,37,0,4,0,2,0,0,0,0,0,0,0,691,0,0,0,1,0,41,0,0,0,1,0,0,0,20,11,215,0,43,0,0,10,38,0,2,0,5,0,0,3,6,0,1,47,38,236,21,3,3,0,1147,7,8,0,2,0,0,61,21,0,0,0,15,0,9,25,0,13,0,0,0,0,0
sample_32,7,22,13387,99,4417,755,201,2156,144,21,67,52,90,537,925,332,171,1545,2188,30,555,262,2001,0,550,1095,468,1639,1083,1753,2,3,138,211,8,649,2173,499,6,828,7,1330,246,606,4,25,1858,6,17,861,1351,55,1467,0,0,0,0,3882,79,0,3,1,5,14,0,0,0,0,0,0,0,0,8,5,22,15,0,143,1,0,17,0,9,0,0,0,1,6,2,0,5,0,0,0,0,0,243,0,0,0,0,375,85,0,0,0,18,0,6,1,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,39,0,0,0,0,0,0,0,7,28,270,0,42,0,1,15,29,0,0,2,6,0,0,1,6,1,5,52,46,266,21,0,2,0,1348,6,15,0,0,0,1,76,15,0,0,0,13,0,9,51,0,15,0,0,0,0,0
