,ENSG00000010671,ENSG00000035664,ENSG00000048707,ENSG00000056736,ENSG00000070061,ENSG00000072135,ENSG00000087884,ENSG00000100227,ENSG00000100228,ENSG00000101276,ENSG00000101282,ENSG00000102743,ENSG00000105479,ENSG00000107902,ENSG00000111725,ENSG00000112877,ENSG00000116652,ENSG00000117643,ENSG00000120549,ENSG00000120820,ENSG00000122643,ENSG00000126215,ENSG00000128191,ENSG00000129170,ENSG00000130544,ENSG00000130669,ENSG00000130733,ENSG00000130856,ENSG00000132842,ENSG00000136531,ENSG00000138315,ENSG00000145708,ENSG00000150637,ENSG00000152457,ENSG00000156427,ENSG00000157168,ENSG00000158290,ENSG00000159905,ENSG00000163815,ENSG00000164638,ENSG00000165066,ENSG00000165487,ENSG00000167994,ENSG00000169239,ENSG00000169271,ENSG00000170615,ENSG00000170949,ENSG00000172232,ENSG00000175164,ENSG00000176087,ENSG00000180573,ENSG00000185361,ENSG00000188976,ENSG00000196171,ENSG00000198178,ENSG00000201021,ENSG00000201351,ENSG00000205356,ENSG00000205364,ENSG00000206677,ENSG00000206687,ENSG00000207002,ENSG00000207989,ENSG00000211514,ENSG00000215354,ENSG00000217268,ENSG00000221468,ENSG00000221548,ENSG00000222118,ENSG00000223542,ENSG00000223586,ENSG00000224254,ENSG00000225721,ENSG00000226048,ENSG00000226397,ENSG00000226469,ENSG00000226791,ENSG00000228327,ENSG00000229373,ENSG00000229625,ENSG00000230606,ENSG00000230757,ENSG00000231170,ENSG00000231291,ENSG00000231489,ENSG00000231630,ENSG00000231684,ENSG00000232004,ENSG00000232043,ENSG00000232419,ENSG00000233036,ENSG00000234001,ENSG00000234089,ENSG00000235572,ENSG00000235728,ENSG00000235829,ENSG00000236859,ENSG00000237261,ENSG00000237442,ENSG00000237643,ENSG00000238246,ENSG00000239887,ENSG00000240291,ENSG00000240382,ENSG00000240713,ENSG00000242396,ENSG00000242999,ENSG00000243136,ENSG00000243150,ENSG00000243420,ENSG00000244363,ENSG00000244556,ENSG00000249209,ENSG00000249380,ENSG00000249506,ENSG00000250102,ENSG00000250118,ENSG00000250563,ENSG00000250903,ENSG00000250968,ENSG00000251073,ENSG00000251074,ENSG00000251621,ENSG00000251916,ENSG00000252438,ENSG00000252815,ENSG00000253172,ENSG00000253560,ENSG00000253768,ENSG00000253989,ENSG00000254263,ENSG00000254315,ENSG00000254419,ENSG00000255320,ENSG00000256742,ENSG00000257721,ENSG00000258088,ENSG00000258120,ENSG00000258679,ENSG00000258717,ENSG00000259038,ENSG00000259306,ENSG00000259425,ENSG00000260066,ENSG00000260693,ENSG00000263952,ENSG00000265567,ENSG00000265859,ENSG00000266306,ENSG00000266325,ENSG00000266463,ENSG00000266910,ENSG00000267083,ENSG00000267270,ENSG00000267416,ENSG00000267559,ENSG00000269604,ENSG00000271243,ENSG00000272886,ENSG00000272942,ENSG00000272954,ENSG00000273051,ENSG00000273090,ENSG00000273445,ENSG00000273983,ENSG00000274251,ENSG00000275441,ENSG00000276496,ENSG00000276662,ENSG00000277512,ENSG00000277563,ENSG00000278499,ENSG00000278765,ENSG00000278896,ENSG00000279511,ENSG00000279694,ENSG00000279987,ENSG00000280104,ENSG00000283205,ENSG00000283402,Disese Group
sample_69,51,115,15859,244,6122,1333,295,3631,504,27,318,152,150,707,1434,380,198,3722,8336,48,706,398,2507,0,1064,1687,1159,2306,1433,5465,16,18,135,362,14,2702,3337,576,30,2288,21,1562,274,1218,14,58,1777,2,99,2133,3505,112,2580,0,0,0,0,4794,286,0,3,2,14,6,0,0,0,0,0,0,0,0,15,5,44,17,7,165,0,0,66,0,18,0,0,0,0,2,2,0,1,0,0,0,0,0,315,0,0,0,0,687,104,0,0,3,51,0,2,0,3,0,0,0,1,0,0,0,1040,0,5,0,7,0,24,0,0,0,0,0,1,0,23,30,218,0,50,0,0,36,82,0,1,0,9,0,0,1,5,0,1,54,42,204,34,2,5,0,1538,15,10,0,2,0,1,44,18,0,0,0,41,0,14,57,0,24,0,0,0,0,1
sample_70,12,51,17039,73,6339,1207,253,3242,295,24,86,110,82,600,1442,446,212,2952,3965,25,885,341,2342,0,1045,1210,975,2386,1196,4616,13,27,155,326,5,1544,2961,521,31,1185,19,1522,346,670,4,67,1646,1,104,1940,2378,81,2546,0,0,0,0,4958,99,0,13,0,4,16,0,0,0,0,0,0,0,0,7,5,4,17,0,146,0,0,70,0,6,0,0,0,1,7,1,0,8,0,0,0,0,0,287,0,2,0,0,483,72,0,0,5,43,0,5,0,5,0,0,0,0,0,0,0,1145,0,2,0,4,0,22,0,0,0,7,0,0,0,8,21,194,0,36,0,1,24,33,0,1,0,9,0,0,1,6,0,1,58,28,233,22,3,3,0,1427,9,9,0,5,0,0,37,17,0,0,0,20,0,6,58,0,10,0,0,0,0,1
sample_71,11,46,12329,79,3827,754,194,1932,136,16,108,68,66,472,1061,322,236,1129,4431,10,553,321,1948,2,636,921,472,1538,1064,2078,5,14,215,179,10,913,2270,389,10,659,14,1704,314,767,6,51,1392,0,13,907,1279,31,1292,0,0,0,0,3877,92,0,5,0,2,6,0,0,0,0,0,2,0,3,8,5,6,21,1,241,1,0,22,0,8,0,0,0,0,2,1,0,1,0,0,0,0,0,192,0,0,0,0,231,80,0,0,2,26,0,6,0,5,0,3,0,0,0,0,0,897,0,0,0,2,0,49,0,0,0,6,0,1,0,13,23,165,0,31,0,1,15,24,0,0,0,9,0,0,0,0,2,2,46,30,172,31,2,0,1,1044,11,10,0,7,0,2,42,15,0,0,0,21,0,2,62,0,20,0,0,0,0,1
sample_72,19,48,12024,95,4293,1052,184,2106,325,10,130,77,71,422,1032,424,195,1309,2873,23,434,258,1979,0,618,1100,522,1822,1092,1263,7,2,129,220,6,701,1943,423,14,696,2,1117,268,402,3,24,1347,5,15,1065,1470,46,1893,0,0,0,0,4403,101,0,6,1,2,7,0,0,0,0,0,0,0,0,7,1,0,15,6,181,0,1,42,0,5,0,0,0,0,1,1,0,2,0,0,0,0,1,213,0,0,0,0,535,68,0,0,3,23,0,7,0,0,0,0,0,0,0,0,0,1172,0,3,0,0,0,57,0,0,0,1,0,0,0,27,17,142,0,32,0,0,6,19,0,0,0,3,0,0,1,1,0,0,52,48,228,31,1,3,0,1142,4,18,0,4,0,1,77,13,0,0,0,30,0,7,45,0,4,0,0,0,0,1
sample_73,51,152,10937,293,3137,871,176,2532,529,12,104,100,57,416,908,311,182,1547,4571,136,460,210,1456,1,663,1403,563,1430,1244,1969,3,8,181,242,4,897,2493,302,16,1462,5,1079,338,995,7,14,1279,0,7,1297,2083,55,1267,0,0,0,0,3017,240,0,4,0,4,7,0,0,0,0,0,0,0,1,6,0,2,16,7,141,1,0,22,0,16,0,0,0,1,2,1,0,3,0,0,0,0,0,204,0,0,0,0,608,70,0,0,3,14,0,10,1,6,0,0,0,0,0,0,0,894,0,3,0,0,0,22,0,0,0,1,0,0,0,20,8,125,0,56,0,0,10,30,0,0,0,24,0,0,1,1,2,0,47,30,157,21,2,7,0,1122,1,12,0,4,0,18,38,7,0,0,0,15,0,7,60,0,28,0,0,1,0,1
sample_74,14,47,12506,67,3503,951,229,2272,203,28,56,66,66,566,1183,443,146,1339,5058,22,426,413,2204,0,579,1388,589,1809,995,1506,9,4,188,175,5,897,1824,370,9,852,8,1304,372,855,4,54,1413,0,14,1194,2107,38,1508,0,0,0,0,4840,126,0,6,2,4,6,0,0,0,0,0,0,0,2,12,1,11,22,0,279,0,0,57,0,10,0,0,0,0,1,1,0,4,0,0,0,0,0,206,0,0,0,0,319,49,0,0,1,7,0,5,0,4,0,3,0,1,0,0,0,976,0,2,0,0,0,62,0,0,0,1,0,0,0,10,25,199,0,39,0,1,5,33,0,0,0,8,0,0,1,0,2,0,49,38,240,30,0,2,0,1102,2,11,0,0,0,0,82,17,0,0,0,36,0,5,67,0,19,0,0,0,0,1
sample_75,26,39,12554,94,3997,925,152,1878,453,14,45,103,83,506,1305,401,262,1410,3210,46,585,402,2163,1,745,1045,583,1717,1233,1393,0,2,175,237,3,595,2735,376,10,1119,4,1572,449,761,5,63,1532,1,1,1058,2193,38,1526,0,0,0,0,4845,106,0,3,1,1,7,0,0,0,0,0,0,0,0,14,2,3,22,0,203,1,0,42,0,8,0,0,0,0,2,1,0,1,0,0,0,0,0,244,0,0,0,0,460,99,1,0,0,18,0,46,0,1,1,3,0,0,0,0,0,1132,0,1,0,1,0,29,0,0,0,3,0,1,0,27,18,187,0,35,0,0,30,19,0,0,1,10,0,0,0,1,0,2,67,33,173,28,2,4,0,1264,4,16,0,3,0,2,56,6,0,0,0,24,0,5,38,0,13,0,0,0,0,1
sample_76,29,72,14194,129,4463,1080,206,2239,494,34,116,106,114,522,1422,420,243,1856,3852,34,589,399,2460,1,778,1278,649,2091,1433,1577,3,1,182,240,3,662,2650,390,13,1302,4,1587,534,852,3,59,1648,2,10,1178,2297,35,1807,0,1,0,0,5448,97,0,5,2,1,4,0,0,0,0,0,0,0,2,14,0,7,27,4,232,1,2,54,0,17,0,0,0,0,2,0,0,2,0,0,0,0,0,239,0,0,0,0,522,113,0,0,3,25,0,70,0,2,0,1,0,0,0,0,0,1209,0,3,0,0,0,40,0,0,2,13,0,1,0,30,33,212,0,62,0,1,29,28,0,1,0,21,0,0,0,1,2,2,80,37,168,26,2,2,0,1362,8,18,0,3,0,3,68,12,0,0,0,18,0,3,43,0,14,0,0,0,0,1
sample_77,13,79,18176,77,5237,1210,303,2362,273,46,246,95,93,628,1662,513,365,1674,5951,37,655,476,3048,0,811,1551,680,1898,1597,2881,12,4,254,250,6,1166,2711,531,35,955,21,2367,388,1345,10,126,2137,3,14,1184,2138,45,1836,0,1,0,0,7026,145,0,15,0,8,12,0,0,0,0,0,0,0,2,10,5,0,30,0,320,0,1,22,0,6,0,0,0,2,2,0,0,6,0,0,0,0,0,267,0,0,0,0,421,109,0,0,1,39,0,4,0,0,0,0,0,0,0,0,0,1260,0,3,0,0,0,97,0,0,0,1,0,0,0,31,34,265,0,60,0,0,14,39,0,0,0,16,0,0,0,0,0,0,89,62,256,28,1,3,0,1522,9,16,0,6,0,0,75,12,0,0,0,36,0,11,77,0,20,0,0,0,0,1
sample_78,60,119,9370,193,3192,790,150,1589,296,12,84,64,74,399,672,239,208,1980,4385,42,358,228,1190,0,482,805,414,1234,1021,2335,7,3,124,211,1,935,1701,248,7,2132,4,1009,226,776,1,5,1223,1,54,635,1424,23,1049,0,0,0,0,2104,67,0,5,0,3,9,0,0,0,0,0,0,0,1,5,5,7,7,1,181,0,0,17,1,13,0,0,0,0,1,0,0,4,0,0,0,0,0,140,0,0,0,0,510,105,0,0,2,35,0,0,0,3,0,0,0,0,0,0,0,935,0,4,0,1,0,20,0,0,1,0,0,0,0,20,16,134,0,71,0,2,7,24,0,0,0,18,0,0,2,2,0,1,38,39,173,13,2,3,0,854,9,3,0,1,0,9,46,9,0,0,0,38,0,2,47,0,13,0,0,0,0,1
sample_79,11,48,12602,106,4212,787,182,2142,256,12,59,82,75,430,1061,363,235,1326,4248,15,600,280,1874,0,676,1215,492,1539,944,1879,17,1,135,206,2,912,2207,434,15,798,2,1562,247,840,12,78,1336,0,23,1154,2004,35,1397,0,0,0,0,3846,143,0,6,0,4,8,0,0,0,0,0,0,0,2,7,5,2,18,2,146,0,0,67,0,16,0,0,0,0,2,1,0,2,0,0,0,0,0,207,0,0,0,0,533,66,0,0,1,36,0,12,0,2,0,0,0,0,0,0,0,790,0,0,0,3,0,28,0,0,0,0,0,0,0,16,23,161,0,37,0,0,5,20,0,1,0,11,0,0,0,0,0,0,40,41,191,29,1,3,1,1182,8,17,0,1,0,0,66,9,0,0,0,25,0,7,45,0,14,0,0,0,0,1
sample_80,11,53,13781,129,4667,802,208,2354,285,13,58,71,65,446,1148,413,274,1507,4314,29,722,324,1907,0,762,1172,566,1691,1211,2626,5,2,180,258,10,1138,2452,496,14,1015,10,1819,198,1078,9,80,1500,0,11,1124,1979,53,1488,0,0,0,0,3971,118,0,15,1,0,9,0,0,0,0,0,0,0,1,17,6,3,13,0,170,0,0,83,0,13,0,0,0,1,1,1,0,4,0,0,0,0,0,256,0,0,0,0,564,78,0,0,0,49,0,13,0,1,0,0,0,1,0,0,0,919,0,3,0,1,0,40,0,0,0,5,0,1,0,12,20,163,0,30,0,1,5,22,0,0,0,8,0,0,2,0,1,0,57,56,183,16,1,3,0,1289,5,10,0,4,0,0,51,11,0,0,0,28,0,15,65,0,9,0,0,1,0,1
