,ENSG00000100031,ENSG00000100297,ENSG00000105669,ENSG00000168348,ENSG00000181744,ENSG00000183423,ENSG00000184060,ENSG00000186350,ENSG00000199036,ENSG00000199424,ENSG00000205452,ENSG00000227533,ENSG00000230107,ENSG00000230606,ENSG00000231095,ENSG00000233565,ENSG00000234296,ENSG00000235748,ENSG00000235759,ENSG00000236854,ENSG00000250412,ENSG00000250903,ENSG00000254016,ENSG00000254903,ENSG00000256223,ENSG00000263613,ENSG00000267083,ENSG00000269821,ENSG00000273541,ENSG00000278202,Diagnosis
sample_42,113,212,1162,189,867,835,103,1607,5,0,0,433,0,19,3,0,0,0,0,0,71,914,48,0,530,1,16,5948,0,1,1
sample_43,172,256,1172,187,715,987,113,1886,11,0,0,377,1,25,2,0,0,0,0,0,33,751,31,0,730,0,26,3286,0,1,1
sample_44,117,272,1193,158,599,709,87,1426,2,0,0,206,2,29,0,0,2,0,0,1,35,694,45,0,538,0,28,3275,0,1,1
sample_46,160,326,1029,151,591,844,137,1634,3,0,0,312,1,39,1,0,0,0,0,0,34,873,79,0,581,0,29,4650,0,3,1
sample_47,164,371,1250,211,622,857,118,1841,11,0,0,400,2,19,0,0,0,0,0,1,45,938,103,0,558,0,38,4820,0,0,1
sample_48,135,352,864,217,594,707,115,1788,5,0,0,570,1,13,0,0,0,0,0,0,29,785,70,0,657,0,25,3632,0,3,1
sample_49,183,276,1285,265,714,840,76,1921,11,0,0,488,1,25,0,0,0,0,1,0,34,881,38,0,700,0,29,3638,0,2,1
sample_50,187,386,930,154,611,788,124,2179,4,0,0,453,0,20,2,0,0,0,0,0,71,935,33,0,467,0,55,7210,0,1,1
sample_51,190,565,1105,278,915,1255,117,3157,5,0,0,678,2,24,0,0,0,0,0,0,107,1057,42,0,931,0,34,4342,0,4,1
sample_52,114,320,780,169,723,1037,128,2353,4,0,0,603,0,25,0,0,0,0,0,0,40,882,41,0,530,0,28,5178,0,1,1
sample_53,254,464,1337,267,677,1401,134,2951,7,0,0,630,0,47,2,0,0,0,0,1,40,984,63,0,846,0,61,3820,0,4,1
sample_54,142,338,1039,241,589,1226,122,2549,2,1,0,342,0,29,0,0,0,2,0,2,44,1082,42,0,684,0,43,3720,0,1,1
sample_55,153,508,970,256,644,1088,111,1731,9,0,0,562,0,16,2,0,0,0,0,0,40,832,30,0,710,0,24,2847,0,0,1
sample_56,115,334,1275,330,773,1254,129,1893,3,0,0,344,1,27,0,0,0,1,1,0,50,1017,35,0,676,0,20,1902,0,6,1
sample_57,125,337,854,244,549,960,96,1792,4,0,0,472,0,17,0,0,0,0,0,0,46,948,88,0,591,0,36,3779,0,1,1
sample_58,159,501,910,240,757,832,122,2338,4,0,0,789,0,19,1,0,0,0,0,0,40,861,53,0,1047,0,30,2907,0,1,1
sample_59,144,368,953,254,577,1086,153,2199,1,0,0,462,1,13,1,0,0,0,0,0,48,902,57,0,627,1,44,3842,0,4,1
sample_60,150,570,1232,262,894,1326,160,3004,5,0,0,576,0,29,0,0,0,0,0,0,98,1080,28,0,698,0,30,2953,0,3,1
sample_61,202,345,1371,265,642,933,134,2420,5,0,0,347,1,49,0,0,0,0,0,0,44,1121,127,0,759,0,42,8214,0,0,1
sample_62,71,355,1062,215,619,895,95,1926,2,0,0,333,0,37,0,0,0,0,0,0,22,753,22,0,980,0,23,1736,0,2,1
sample_63,243,282,1162,137,793,728,99,2343,7,0,0,449,0,44,0,0,0,0,0,1,49,867,75,0,630,0,33,8032,0,0,1
sample_64,170,346,768,167,525,750,125,2218,2,0,0,352,0,41,0,0,0,0,0,1,50,916,55,0,625,0,53,4072,0,1,1
