,ENSG00000002586,ENSG00000009413,ENSG00000049768,ENSG00000058063,ENSG00000089335,ENSG00000091181,ENSG00000100605,ENSG00000104047,ENSG00000105428,ENSG00000105948,ENSG00000108417,ENSG00000108465,ENSG00000111247,ENSG00000112877,ENSG00000113593,ENSG00000114735,ENSG00000121486,ENSG00000127249,ENSG00000127564,ENSG00000134640,ENSG00000138356,ENSG00000140854,ENSG00000141497,ENSG00000141510,ENSG00000144730,ENSG00000145375,ENSG00000145700,ENSG00000145982,ENSG00000148985,ENSG00000149260,ENSG00000149932,ENSG00000152240,ENSG00000157890,ENSG00000161921,ENSG00000165120,ENSG00000165655,ENSG00000167384,ENSG00000171496,ENSG00000172954,ENSG00000173662,ENSG00000176723,ENSG00000178700,ENSG00000182197,ENSG00000183111,ENSG00000183604,ENSG00000183638,ENSG00000184260,ENSG00000185904,ENSG00000188626,ENSG00000188897,ENSG00000189320,ENSG00000203737,ENSG00000206106,ENSG00000206685,ENSG00000206839,ENSG00000206871,ENSG00000207129,ENSG00000207165,ENSG00000210191,ENSG00000211668,ENSG00000211770,ENSG00000214204,ENSG00000216708,ENSG00000217643,ENSG00000218676,ENSG00000221375,ENSG00000224050,ENSG00000224970,ENSG00000225230,ENSG00000225760,ENSG00000226002,ENSG00000226617,ENSG00000226762,ENSG00000227726,ENSG00000227757,ENSG00000228532,ENSG00000228759,ENSG00000230054,ENSG00000230606,ENSG00000230793,ENSG00000231004,ENSG00000231068,ENSG00000231134,ENSG00000233691,ENSG00000234127,ENSG00000234568,ENSG00000235172,ENSG00000236576,ENSG00000237007,ENSG00000237194,ENSG00000237574,ENSG00000238290,ENSG00000239887,ENSG00000240877,ENSG00000241431,ENSG00000241963,ENSG00000242850,ENSG00000244610,ENSG00000247373,ENSG00000248492,ENSG00000248564,ENSG00000248671,ENSG00000249364,ENSG00000249715,ENSG00000249859,ENSG00000249920,ENSG00000250927,ENSG00000252206,ENSG00000254913,ENSG00000255726,ENSG00000255920,ENSG00000256299,ENSG00000257292,ENSG00000259236,ENSG00000259347,ENSG00000260974,ENSG00000261075,ENSG00000261284,ENSG00000261315,ENSG00000261460,ENSG00000263445,ENSG00000263666,ENSG00000263815,ENSG00000264322,ENSG00000265494,ENSG00000266450,ENSG00000266745,ENSG00000267980,ENSG00000268355,ENSG00000269837,ENSG00000270906,ENSG00000271074,ENSG00000271184,ENSG00000273077,ENSG00000273211,ENSG00000273398,ENSG00000273454,ENSG00000273554,ENSG00000274911,ENSG00000275226,ENSG00000275552,ENSG00000277467,ENSG00000279009,ENSG00000279025,ENSG00000279384,ENSG00000280300,ENSG00000280703,ENSG00000283225,ENSG00000283393,ENSG00000283505,Disese Group
sample_33,261,5366,46,4125,1996,4,1881,1470,0,450,0,2293,92,371,882,2053,806,288,892,0,39,668,34,225,32,1096,168,469,793,480,603,189,2545,226,1,385,455,3,888,15,130,259,1085,940,425,15576,1541,22,15,49,0,56,0,4,0,0,1,0,4,0,0,0,0,6,1,0,17,4,2,11,156,0,0,16,0,0,0,0,13,23,0,0,0,0,1468,0,1,64,10,64,0,4,246,7,0,1,1,0,233,0,0,95,505,74,21,0,0,5,1,0,8,80,0,1,11,0,0,0,34,1182,1,36,0,5,0,0,2,46,2,243,1,1,0,9,43,1,21,0,5,0,39,0,0,0,24,0,0,0,0,0,0
sample_34,788,5486,26,4618,2143,0,3247,908,0,357,0,2512,71,292,811,946,1149,305,635,0,46,949,48,209,30,1312,145,763,555,737,1409,338,1254,450,0,554,341,3,1093,8,143,325,1476,846,182,15726,3620,71,7,30,0,32,0,0,0,0,0,0,5,0,2,0,0,12,0,0,18,1,0,0,39,0,0,6,0,6,1,0,11,8,0,1,1,0,1892,0,0,40,2,14,0,7,156,14,0,0,0,1,83,0,0,69,750,41,51,0,0,1,0,0,2,43,0,0,10,0,0,0,16,859,0,10,1,3,0,0,1,38,1,137,1,0,0,3,30,2,5,1,2,0,66,0,0,0,6,0,0,0,0,0,0
sample_35,285,6733,28,5414,2399,6,2385,1504,5,503,0,2097,117,348,1085,1340,778,296,1280,0,31,848,37,194,48,1214,138,414,718,817,731,283,2340,222,1,487,343,2,977,7,116,242,1421,1250,354,15573,1429,20,23,61,0,81,0,4,0,0,2,0,2,0,0,0,0,9,0,0,18,0,0,1,104,0,0,24,0,9,0,0,25,26,0,0,2,0,1798,0,0,85,6,68,0,3,394,13,0,8,0,0,249,2,0,93,645,92,21,0,0,3,0,0,9,76,0,0,22,0,0,0,50,1421,3,48,0,6,0,0,5,44,1,327,0,0,0,11,39,2,39,0,6,0,56,0,0,0,36,0,0,4,0,0,0
sample_36,267,5526,12,4473,1780,3,2033,1244,0,448,0,1185,105,282,826,965,609,197,517,0,49,675,48,176,63,853,98,269,473,632,635,195,1290,308,0,552,380,4,847,3,110,226,1379,730,244,12722,1167,23,5,90,0,41,0,1,0,0,1,0,2,0,0,0,0,5,3,0,14,0,1,0,54,0,0,16,0,2,0,0,9,7,0,0,1,0,1577,0,0,35,4,31,1,1,197,8,0,8,1,0,143,0,0,60,504,30,25,0,0,5,0,0,1,47,0,0,13,0,0,0,48,377,0,39,1,1,1,0,4,48,0,189,1,2,0,1,24,5,9,1,1,0,32,0,0,0,65,0,0,3,0,0,0
sample_37,362,7532,18,4506,2077,7,2298,1514,7,398,0,2174,104,226,889,1534,924,227,384,0,85,663,54,257,153,1032,142,401,667,768,695,192,2421,362,0,640,406,4,920,13,139,333,1734,1416,279,12769,1640,100,24,130,2,57,0,9,0,0,1,0,3,0,0,0,0,11,0,0,12,4,0,0,92,0,1,17,0,3,0,0,31,21,0,0,1,0,1449,2,1,42,5,37,0,5,656,4,1,3,0,0,151,1,3,127,863,94,38,0,0,3,0,0,8,50,0,0,28,0,0,0,39,622,1,21,3,3,0,0,1,46,0,172,0,2,0,4,31,1,27,0,5,0,45,0,1,2,37,1,0,3,0,0,0
sample_38,243,7227,24,5813,2325,4,2405,1527,1,468,0,2375,84,264,835,1697,806,370,650,0,49,633,42,167,29,1200,149,423,751,626,616,238,1799,225,0,353,434,4,841,8,127,264,1203,1280,131,17448,1113,38,11,83,0,46,0,9,0,0,0,0,0,0,0,0,0,8,0,0,10,3,0,1,39,0,0,15,0,1,0,0,15,29,0,0,3,0,1370,0,1,50,5,35,0,9,511,8,0,3,1,0,177,0,0,71,851,60,23,0,0,8,0,0,5,121,0,0,9,0,0,0,33,1230,0,25,1,9,0,0,3,72,0,201,0,2,0,6,24,5,19,0,2,0,52,0,0,0,66,0,0,0,0,0,0
sample_39,646,5696,25,2978,2442,5,3392,899,5,376,0,3001,88,270,847,1111,978,177,513,0,148,1015,79,435,131,1122,126,766,663,999,1942,336,2857,557,0,789,464,0,1082,46,138,311,1597,2456,273,8183,5899,88,12,206,1,18,0,8,0,0,0,0,3,0,0,0,0,10,2,0,18,0,0,1,116,0,0,5,0,4,0,0,10,4,0,0,2,0,1800,0,0,13,0,16,0,7,487,9,1,3,0,0,125,0,1,117,419,89,16,0,0,1,0,1,5,14,0,0,22,0,0,0,18,559,4,8,1,1,0,0,0,31,1,200,1,1,0,6,38,2,9,0,4,2,41,0,0,1,10,1,0,1,0,0,0
sample_40,227,6260,17,4367,1353,5,1620,1065,2,331,0,1626,71,234,899,1206,576,262,532,2,18,428,19,144,23,838,103,384,591,384,450,135,1435,142,1,256,289,1,684,6,74,213,1083,1441,141,17605,762,10,23,72,0,61,0,4,0,0,4,0,1,0,0,0,0,3,2,0,2,0,1,0,45,0,0,25,0,5,1,0,13,25,0,0,0,0,1173,0,0,72,4,28,0,8,336,6,0,7,0,0,236,0,0,55,684,56,21,0,0,5,0,0,8,126,0,0,10,0,0,0,56,1039,1,51,0,9,0,0,1,55,0,130,0,6,0,3,24,5,19,1,3,0,32,0,0,1,32,0,0,1,0,0,0
sample_41,222,6217,30,3952,1986,4,3110,1552,1,456,0,2030,109,300,970,1625,861,332,580,0,18,782,35,255,29,1055,198,447,589,535,570,211,1968,296,0,400,402,3,930,7,141,223,1355,1451,304,18062,971,32,16,18,0,69,0,5,0,0,2,0,3,0,0,0,0,12,2,0,10,3,0,5,81,0,0,31,1,12,0,0,24,38,0,0,1,0,1432,0,0,73,6,36,1,2,378,19,0,4,0,0,249,0,0,127,536,44,90,0,0,9,0,0,3,64,0,0,7,0,0,0,40,1541,0,43,0,8,0,0,0,69,1,218,1,4,0,5,36,2,22,2,8,0,29,1,0,1,28,0,0,2,0,0,1
sample_42,438,5660,9,4553,1746,2,2755,1323,3,329,0,1934,64,283,784,1322,724,303,367,0,17,645,32,90,9,992,107,482,367,304,585,160,1382,212,2,332,383,3,900,5,95,268,1404,1492,175,14989,729,13,7,19,0,82,1,5,0,0,1,0,2,0,0,1,0,12,2,0,13,0,0,13,81,0,0,14,0,2,0,0,19,15,0,0,0,0,1256,0,0,51,2,24,0,9,302,24,0,2,0,0,171,0,0,68,384,17,55,0,0,5,0,0,6,98,0,0,10,0,0,0,55,1914,0,36,0,5,0,0,8,59,1,176,1,0,0,1,41,1,25,1,13,0,32,0,0,3,25,0,0,3,0,0,1
