,ENSG00000002586,ENSG00000009413,ENSG00000049768,ENSG00000058063,ENSG00000089335,ENSG00000091181,ENSG00000100605,ENSG00000104047,ENSG00000105428,ENSG00000105948,ENSG00000108417,ENSG00000108465,ENSG00000111247,ENSG00000112877,ENSG00000113593,ENSG00000114735,ENSG00000121486,ENSG00000127249,ENSG00000127564,ENSG00000134640,ENSG00000138356,ENSG00000140854,ENSG00000141497,ENSG00000141510,ENSG00000144730,ENSG00000145375,ENSG00000145700,ENSG00000145982,ENSG00000148985,ENSG00000149260,ENSG00000149932,ENSG00000152240,ENSG00000157890,ENSG00000161921,ENSG00000165120,ENSG00000165655,ENSG00000167384,ENSG00000171496,ENSG00000172954,ENSG00000173662,ENSG00000176723,ENSG00000178700,ENSG00000182197,ENSG00000183111,ENSG00000183604,ENSG00000183638,ENSG00000184260,ENSG00000185904,ENSG00000188626,ENSG00000188897,ENSG00000189320,ENSG00000203737,ENSG00000206106,ENSG00000206685,ENSG00000206839,ENSG00000206871,ENSG00000207129,ENSG00000207165,ENSG00000210191,ENSG00000211668,ENSG00000211770,ENSG00000214204,ENSG00000216708,ENSG00000217643,ENSG00000218676,ENSG00000221375,ENSG00000224050,ENSG00000224970,ENSG00000225230,ENSG00000225760,ENSG00000226002,ENSG00000226617,ENSG00000226762,ENSG00000227726,ENSG00000227757,ENSG00000228532,ENSG00000228759,ENSG00000230054,ENSG00000230606,ENSG00000230793,ENSG00000231004,ENSG00000231068,ENSG00000231134,ENSG00000233691,ENSG00000234127,ENSG00000234568,ENSG00000235172,ENSG00000236576,ENSG00000237007,ENSG00000237194,ENSG00000237574,ENSG00000238290,ENSG00000239887,ENSG00000240877,ENSG00000241431,ENSG00000241963,ENSG00000242850,ENSG00000244610,ENSG00000247373,ENSG00000248492,ENSG00000248564,ENSG00000248671,ENSG00000249364,ENSG00000249715,ENSG00000249859,ENSG00000249920,ENSG00000250927,ENSG00000252206,ENSG00000254913,ENSG00000255726,ENSG00000255920,ENSG00000256299,ENSG00000257292,ENSG00000259236,ENSG00000259347,ENSG00000260974,ENSG00000261075,ENSG00000261284,ENSG00000261315,ENSG00000261460,ENSG00000263445,ENSG00000263666,ENSG00000263815,ENSG00000264322,ENSG00000265494,ENSG00000266450,ENSG00000266745,ENSG00000267980,ENSG00000268355,ENSG00000269837,ENSG00000270906,ENSG00000271074,ENSG00000271184,ENSG00000273077,ENSG00000273211,ENSG00000273398,ENSG00000273454,ENSG00000273554,ENSG00000274911,ENSG00000275226,ENSG00000275552,ENSG00000277467,ENSG00000279009,ENSG00000279025,ENSG00000279384,ENSG00000280300,ENSG00000280703,ENSG00000283225,ENSG00000283393,ENSG00000283505,Disese Group
sample_54,285,6342,30,4320,1992,2,1846,1338,0,368,0,2231,89,360,885,1705,671,244,1055,1,51,611,38,233,33,1119,114,455,707,716,604,157,1759,211,0,417,331,9,699,4,158,208,2060,1360,474,17591,1055,20,22,96,0,99,0,9,0,0,0,0,1,0,1,0,0,5,0,0,4,0,0,0,99,0,0,31,0,6,4,0,29,28,0,0,5,0,1746,0,0,91,6,54,0,9,278,23,0,3,0,0,289,0,0,104,775,60,25,0,0,11,0,0,8,113,0,0,10,0,0,0,84,1001,1,60,1,14,1,0,2,53,0,171,2,4,0,7,40,3,30,0,4,0,21,0,1,0,27,0,0,1,0,0,1
sample_55,308,6125,25,4835,1994,5,2109,1272,3,456,0,2250,125,326,866,1303,630,279,912,3,41,726,39,183,18,964,120,176,642,703,559,184,2009,222,2,442,340,5,787,7,126,267,1213,1427,287,17774,1237,42,12,75,0,78,0,10,0,0,0,0,7,0,0,1,0,4,1,0,10,3,0,6,141,0,2,24,0,2,0,0,16,30,0,0,5,0,1696,0,0,63,10,44,0,7,320,15,0,3,0,0,215,0,1,87,768,116,22,0,0,7,0,0,8,96,0,0,14,0,0,0,40,1631,2,39,0,6,0,0,4,33,0,225,0,1,0,4,41,1,24,0,3,0,32,0,0,1,24,0,0,0,0,0,1
sample_56,293,5510,24,4855,2396,5,2142,1163,0,427,0,1901,133,290,1007,1426,972,214,535,0,47,599,44,163,35,1299,144,484,624,517,796,211,1825,197,0,409,409,3,977,9,93,297,1452,1115,333,18480,2192,28,19,29,0,54,0,4,0,0,1,0,2,0,0,0,0,13,0,0,9,1,0,14,74,0,0,9,0,0,0,0,27,13,0,0,0,0,1639,0,0,49,3,33,1,11,378,12,0,3,0,0,213,0,0,64,839,79,16,0,0,7,0,0,3,42,0,0,12,0,0,0,34,980,0,26,0,3,0,0,3,36,0,159,2,0,0,5,37,0,14,0,5,0,66,0,0,1,22,0,0,3,0,0,1
sample_57,332,5229,23,3783,1430,0,1801,983,0,300,0,2364,78,276,733,1441,559,293,482,0,34,576,35,181,46,839,107,442,561,439,574,165,2234,192,0,354,277,3,680,2,112,305,1481,757,266,22671,1149,23,20,71,0,76,0,6,0,0,1,0,10,0,0,0,0,8,1,0,3,3,0,0,29,0,0,15,0,3,1,0,17,14,0,0,2,0,1203,0,1,46,12,39,0,5,335,20,0,7,0,0,175,0,0,102,861,84,35,0,0,8,0,0,3,151,0,0,16,0,0,0,47,1473,1,32,0,6,0,0,4,50,1,184,0,8,0,9,45,2,26,1,2,0,11,0,0,1,20,0,0,2,0,0,1
sample_58,188,6337,12,5042,2131,0,2200,964,2,381,0,2525,95,311,972,1970,729,277,795,0,48,550,68,147,39,781,94,340,634,689,646,221,4528,326,0,311,312,1,808,3,149,184,971,1855,323,25632,687,34,16,141,2,74,0,1,0,0,2,0,5,0,0,0,0,4,4,0,14,1,0,1,84,0,0,19,0,1,0,0,19,15,0,0,1,0,1239,0,0,55,3,44,0,5,458,16,1,4,0,0,223,2,0,67,841,51,18,0,0,3,0,0,10,110,0,0,11,0,0,0,34,1776,3,43,0,4,0,0,6,60,0,260,0,4,0,7,43,2,22,1,2,0,21,0,0,1,48,0,0,5,0,0,1
sample_59,258,6482,12,4502,1931,2,2122,1154,0,353,0,2084,98,330,847,1524,568,378,653,0,45,568,30,230,34,834,101,401,498,476,574,162,1961,200,0,362,341,2,729,7,122,245,1327,1629,303,19806,796,63,19,50,0,111,0,10,0,0,0,0,2,0,1,0,0,7,1,0,11,4,0,0,78,0,1,10,2,4,0,0,13,23,0,0,2,0,1774,0,0,67,5,93,0,4,376,12,0,14,0,0,180,0,0,59,735,78,35,0,1,9,0,0,5,143,0,0,10,0,0,0,42,1824,1,35,0,6,1,0,3,37,2,247,1,2,0,7,37,2,24,0,2,0,22,0,0,0,44,0,0,1,0,0,1
sample_60,395,6170,8,5980,2324,5,2905,1371,2,440,0,2283,132,418,931,1773,685,396,673,0,76,708,70,324,44,1049,85,369,622,688,711,233,5028,362,0,472,427,4,1052,6,143,301,1233,1996,439,36142,1543,63,24,56,0,50,0,12,0,0,0,0,3,0,0,0,0,4,0,0,13,1,0,0,68,0,0,15,0,3,0,0,29,18,0,0,4,0,2269,0,0,53,0,48,0,3,636,11,2,3,0,0,222,1,0,100,1563,74,25,0,0,7,0,0,7,93,0,0,7,0,0,0,47,1947,0,37,0,12,0,0,2,58,1,193,1,1,0,6,37,3,20,0,6,0,109,0,0,1,24,0,0,1,0,0,1
sample_61,554,6679,37,4035,2124,3,3469,1454,1,495,0,3051,61,349,975,2124,919,420,406,0,55,842,39,361,50,1438,155,673,686,622,713,213,2298,239,0,491,445,5,1014,3,127,233,2174,1046,389,17183,1160,30,32,97,0,94,0,6,0,0,1,0,4,0,0,0,0,13,0,0,15,1,0,0,40,0,1,19,0,2,1,0,49,42,0,0,6,0,1895,0,0,109,11,76,0,11,687,26,0,5,1,0,157,0,0,166,1224,54,106,0,0,7,1,0,16,58,0,0,11,0,0,0,105,531,6,31,0,10,0,1,6,124,0,337,2,2,0,15,51,2,44,0,8,0,28,0,0,1,43,3,0,1,0,0,1
sample_62,126,5170,31,4872,1929,0,2131,1066,2,410,0,1509,123,354,809,1332,708,226,830,0,49,601,41,175,19,1207,139,440,642,462,632,189,2269,196,0,374,343,3,815,11,87,218,1014,1287,335,18637,1772,16,11,69,0,59,0,10,0,0,1,0,5,0,1,0,0,2,0,0,5,1,0,0,31,0,0,5,1,0,1,0,37,17,0,0,1,0,1563,0,0,46,7,41,2,5,165,13,0,2,0,0,196,0,0,109,713,48,12,0,0,2,0,0,4,72,0,0,10,0,0,0,33,1464,0,29,0,2,0,0,3,46,1,191,0,2,0,14,37,4,27,0,5,0,32,0,0,1,18,0,0,1,0,0,1
sample_63,330,5824,28,3086,1650,5,2927,1313,4,318,0,2007,73,267,846,1466,765,248,383,1,25,721,40,200,50,905,109,489,625,455,522,158,2152,238,0,416,325,5,782,3,104,181,1158,1826,331,8840,659,9,38,42,0,57,0,11,0,0,2,0,2,0,0,0,0,11,0,0,13,5,0,33,40,0,1,33,0,2,2,0,44,34,0,0,0,0,1375,0,0,98,13,47,0,5,419,15,0,4,2,0,201,0,0,129,530,65,128,0,0,8,0,0,13,79,0,0,10,0,0,0,55,766,6,28,0,8,0,0,5,60,0,296,2,4,0,6,43,2,24,1,8,0,18,0,1,0,63,0,0,4,0,0,1
sample_64,203,5049,21,2623,1374,2,1622,1151,1,358,0,1952,96,349,722,1561,507,326,564,0,37,545,30,168,30,906,117,408,526,383,386,160,2608,185,0,269,302,1,736,12,90,174,1259,1551,248,14337,847,20,13,66,0,112,0,5,0,0,0,0,4,0,0,1,0,5,2,0,4,0,0,14,33,0,0,14,0,5,4,0,41,34,0,0,5,0,1353,0,0,107,9,47,0,3,262,19,0,8,2,0,251,0,0,85,568,78,52,0,1,3,0,0,4,141,0,0,9,0,0,0,41,1415,7,35,1,8,0,0,5,59,2,226,0,1,0,5,25,0,27,1,3,0,13,0,1,0,47,0,0,0,0,0,1
sample_65,202,5664,32,3732,1915,0,2435,1244,1,326,0,1950,108,293,814,1674,696,295,681,1,89,740,47,194,41,980,190,486,662,426,532,164,2661,261,0,371,314,1,887,11,86,232,1349,1555,317,14333,1017,34,20,32,0,76,0,4,0,0,1,0,7,0,1,0,0,3,0,0,2,3,0,13,35,0,0,32,1,3,2,0,46,24,0,0,3,0,1488,0,0,76,5,66,0,9,518,8,0,10,1,0,190,0,0,130,525,65,75,0,0,4,0,1,3,88,1,0,16,0,0,0,42,1462,3,24,1,16,1,0,6,54,0,208,1,9,0,5,39,2,34,1,10,0,14,0,0,0,60,0,0,0,0,0,1
sample_66,226,5781,40,3538,1818,5,2408,1260,1,369,0,2299,92,336,759,1747,673,229,847,1,72,722,66,233,27,1040,154,532,691,494,600,173,2748,267,0,396,329,4,932,14,121,234,1338,1764,330,16196,1273,33,28,31,0,72,0,3,0,0,1,0,8,0,1,0,0,9,2,0,2,2,0,17,44,0,3,29,1,5,1,0,47,29,0,0,1,0,1720,0,0,67,9,65,0,9,571,15,0,9,1,0,221,0,1,118,523,77,65,0,1,5,0,0,9,78,0,0,17,0,0,0,40,1615,7,37,0,4,0,0,1,80,1,258,2,3,0,7,43,4,36,0,8,0,15,0,1,0,44,0,0,3,0,0,1
sample_67,414,6221,17,3246,1651,6,2738,1138,1,295,0,2195,56,266,788,1398,756,300,253,0,47,604,39,132,29,910,115,405,557,565,535,138,1688,309,0,428,293,5,790,2,113,185,1323,1705,252,21049,774,51,21,40,0,60,0,0,0,0,1,0,0,0,0,0,0,18,2,0,7,2,0,0,24,0,3,31,0,27,0,0,22,17,0,0,3,0,1169,0,0,61,5,25,1,11,574,16,0,2,0,0,159,0,0,63,640,53,69,0,0,9,0,0,3,89,0,0,8,0,0,0,43,849,0,21,0,4,0,0,5,59,0,240,2,2,0,14,33,2,20,0,12,0,24,0,1,1,30,0,0,0,0,0,1
sample_68,235,6690,37,4488,2003,0,2945,1301,0,371,0,2242,80,322,820,1200,844,391,636,1,35,895,41,213,32,1195,141,561,652,377,593,168,2819,231,0,465,363,5,793,15,86,248,1751,2036,181,15602,982,50,23,40,0,85,0,13,0,0,0,0,1,0,0,0,0,6,2,0,2,1,0,0,55,0,0,19,0,0,0,0,32,19,0,1,1,0,1720,0,0,88,8,73,0,8,537,17,0,6,2,0,230,2,0,81,303,89,103,0,0,6,0,0,11,63,0,0,8,0,0,0,71,1030,3,39,0,13,0,0,6,37,3,200,0,0,0,3,34,2,32,0,4,0,30,0,0,0,48,1,0,1,0,0,1
sample_69,678,7862,32,3761,2527,2,5001,1685,1,440,0,3256,97,380,1040,1849,1254,471,397,0,70,1375,88,416,66,1276,136,689,864,998,1010,382,2404,564,0,892,629,5,1179,19,194,362,1862,3547,578,8720,2156,43,40,38,1,68,0,19,0,0,0,0,1,0,0,0,0,34,1,0,19,2,0,17,85,0,1,39,1,1,0,0,66,47,0,0,6,0,2234,0,0,68,6,44,0,15,687,23,0,7,0,0,237,0,0,131,728,153,107,0,0,3,0,0,22,52,0,2,15,0,0,0,41,474,2,17,0,10,1,0,4,69,2,350,3,4,0,7,57,2,46,0,9,0,69,1,0,2,40,1,0,2,0,0,1
sample_70,347,6619,21,5390,2767,1,4492,1676,0,459,0,2645,112,446,1046,1579,1201,268,700,0,15,1055,51,184,20,1681,180,689,623,384,982,329,2600,311,1,677,605,1,1161,7,166,288,1363,1767,480,21451,1747,25,17,4,0,61,0,8,0,0,0,0,1,1,0,0,0,11,1,0,8,5,0,14,94,0,1,19,1,3,1,0,70,27,0,0,0,0,2128,2,0,89,1,44,0,8,483,16,0,4,0,0,212,0,0,85,1529,41,78,0,0,8,0,0,2,63,0,0,9,0,0,0,57,1899,1,31,0,4,0,0,7,62,0,233,2,1,0,11,47,3,35,0,10,0,92,0,0,2,41,0,0,0,0,0,1
sample_71,145,5779,29,5057,1984,1,2016,1314,1,393,0,2003,129,322,964,1529,766,251,967,0,48,616,25,164,25,1295,159,447,659,493,560,201,2572,192,1,412,360,0,896,10,93,185,1194,1409,472,16344,1269,20,18,59,0,97,0,10,0,0,2,0,5,0,4,0,0,4,3,0,3,1,0,0,35,0,0,15,0,1,3,0,22,25,0,0,2,0,1638,0,0,88,6,51,1,6,231,19,0,3,2,0,232,0,3,83,626,90,31,0,0,12,0,0,3,82,0,0,15,0,0,0,46,1613,1,41,0,5,0,0,4,34,1,201,2,4,0,9,26,4,26,1,5,0,36,0,0,0,20,1,0,1,0,0,1
sample_72,294,5704,36,3928,1801,3,1971,1304,1,486,0,2783,58,424,890,2268,665,306,539,1,54,719,51,318,45,1275,144,564,751,569,600,165,2473,201,0,413,420,2,805,4,78,211,1834,934,342,19696,1063,34,20,192,0,107,0,2,0,0,0,0,6,0,0,0,0,3,0,0,5,5,0,0,31,0,0,9,0,2,1,0,42,29,0,0,1,0,1914,0,0,87,6,52,1,6,535,12,0,5,0,0,185,0,0,153,818,78,42,0,0,5,0,0,14,56,0,0,16,0,0,0,107,674,3,62,0,2,0,0,5,87,0,288,0,1,0,13,31,3,31,0,1,0,18,0,0,1,51,1,0,1,0,0,1
sample_73,546,6136,25,3370,1819,4,2267,1228,1,475,0,1758,79,311,722,1158,853,216,313,2,198,693,76,510,430,1005,95,434,519,943,779,201,3596,537,0,684,404,1,903,12,124,320,1501,2226,203,8580,2121,21,26,278,0,64,0,12,0,0,2,0,4,0,0,1,0,5,3,0,9,1,0,15,39,0,1,15,0,1,1,0,22,33,0,1,6,0,1624,0,0,50,7,43,1,5,608,7,0,8,3,0,166,0,0,142,487,128,48,0,0,2,0,0,13,64,0,2,18,0,0,0,49,434,6,19,1,3,0,0,4,37,2,330,1,3,0,2,30,2,19,0,5,0,20,1,0,0,52,1,0,0,0,0,1
sample_74,185,5385,46,3954,1751,3,2622,1033,4,411,0,2136,119,443,769,1782,618,200,1108,0,60,745,52,212,68,1121,125,491,803,694,656,196,2730,289,2,454,341,1,813,14,125,187,1362,1464,424,24467,1802,21,29,182,0,88,0,4,0,0,0,0,3,0,1,0,0,5,2,0,5,4,0,0,40,0,0,8,0,3,2,0,57,22,0,0,4,0,2093,0,0,74,8,70,0,12,319,30,0,10,1,0,230,0,0,106,790,105,23,0,0,5,0,0,10,82,0,0,21,0,0,0,51,1489,1,48,1,2,0,0,4,39,0,208,2,2,0,6,40,3,17,0,5,0,41,0,0,0,37,0,0,1,0,0,1
sample_75,269,6257,43,4497,2266,5,2108,1432,0,495,0,2116,160,401,995,2078,777,160,1137,0,79,677,58,318,69,1170,219,459,776,658,678,193,2709,364,2,397,398,2,1110,13,127,248,1903,1015,314,18191,2119,57,24,71,2,69,0,0,0,0,1,0,5,0,0,0,0,9,1,0,1,2,0,13,37,0,0,28,1,4,1,0,42,23,0,0,3,0,1941,0,0,50,5,71,0,16,460,15,0,6,2,0,210,0,2,135,931,57,37,0,1,8,0,0,9,94,0,0,16,0,0,0,45,905,4,18,0,5,0,0,5,77,1,221,1,2,0,6,31,5,18,0,8,0,27,0,0,0,51,0,0,1,0,0,1
sample_76,327,6680,44,4647,2433,4,2362,1564,2,531,0,2697,156,420,903,2619,869,245,1379,0,105,838,84,338,48,1298,231,602,855,777,780,221,3285,404,1,421,415,6,1208,21,138,273,2089,1374,384,21741,2233,53,34,90,0,89,0,6,0,0,0,0,13,0,1,0,0,7,0,0,2,1,0,17,60,0,0,24,0,2,1,0,54,35,0,0,2,0,2281,0,0,71,12,73,1,6,522,15,1,10,1,0,247,0,0,146,948,96,48,0,0,9,0,0,5,93,0,0,19,0,0,0,61,1140,4,40,0,10,0,0,7,79,1,290,0,3,0,3,45,1,24,1,6,0,38,0,0,0,52,0,0,1,0,0,1
sample_77,299,8988,37,5565,2512,7,2696,1971,9,588,0,3971,104,513,1253,2219,757,453,1201,1,40,900,58,308,54,1426,173,626,1106,875,662,238,3843,206,2,550,492,2,994,8,130,256,1974,2037,491,24008,1363,22,38,83,0,113,2,3,0,0,0,0,7,0,0,0,0,3,1,0,8,4,0,17,62,0,0,32,0,4,2,0,22,58,0,0,4,0,2482,0,0,132,11,102,0,12,421,21,0,5,1,0,221,1,0,172,1034,114,50,0,0,10,0,0,8,91,0,2,17,0,0,0,86,1753,6,68,0,13,0,0,5,73,1,336,0,5,0,7,43,7,53,0,4,0,14,0,0,0,55,0,0,2,0,0,1
sample_78,259,6160,18,2743,1339,7,1657,1286,0,319,0,2163,59,239,714,993,720,374,170,4,110,548,40,285,266,709,109,437,631,832,443,132,2291,346,2,537,270,4,584,12,72,230,2039,1599,177,3353,819,47,49,529,3,115,1,22,0,0,0,0,2,0,1,0,0,10,1,0,1,4,0,0,31,0,1,35,0,0,0,0,17,35,0,0,11,0,1114,0,0,95,7,36,1,8,510,10,0,7,2,0,197,0,0,102,302,127,68,0,1,10,0,0,11,85,0,1,17,0,0,0,43,100,8,25,0,10,1,0,7,46,0,246,0,0,0,2,35,3,21,2,4,0,12,0,0,2,54,0,0,1,0,0,1
sample_79,225,5845,22,4352,1881,5,2233,1319,4,441,0,1879,87,363,821,1537,732,254,752,0,27,629,40,177,38,1073,142,447,723,407,617,225,2612,226,0,441,451,1,942,10,118,233,1024,1518,435,20179,1357,27,31,25,0,77,1,11,0,0,0,0,1,0,1,0,0,8,1,0,4,5,0,9,79,0,0,14,0,2,1,0,67,33,0,0,3,0,1717,0,0,53,6,46,1,6,533,12,0,8,1,0,172,0,0,92,1250,69,19,0,0,5,0,0,11,61,0,0,10,0,0,0,46,1568,1,39,1,7,0,1,3,49,0,220,0,4,0,11,39,1,42,0,8,0,84,0,1,1,20,0,0,3,0,0,1
sample_80,226,6909,28,5678,2149,3,2366,1649,1,549,0,2014,106,413,1005,1488,1000,321,765,3,30,657,31,220,62,1326,171,521,743,466,574,240,2689,213,0,459,551,4,1083,8,119,254,1259,978,480,18214,1276,25,26,47,0,106,0,13,0,0,1,0,1,0,1,0,0,9,1,0,5,1,0,14,106,0,0,24,0,2,1,0,83,40,0,0,1,0,1764,0,0,123,8,58,0,7,564,15,2,8,3,0,201,1,0,92,1606,74,34,0,0,5,0,0,6,61,0,1,16,0,0,0,62,1423,2,51,0,11,0,0,5,40,0,247,0,2,0,4,44,7,39,1,4,0,55,0,1,0,31,1,0,1,0,0,1
